;Dimension 4: Open Data Impact;;;;;;;;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;;;;;;;;
;4.1. Strategic awareness;;;;;;;;;;;;;;;;;;
I1;"Do you have a definition of Open Data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"Definition of Open Data re-use is specifed in the Law of Ukraine on Access to Public Information https://zakon.rada.gov.ua/laws/show/2939-17#n259 in the very definition of Open Data: ""Public information in the form of Open Data is public information in a format that allows its automated electronic processing, free and free access to it, and its further re-use. Dataproviders are obliged to provide public information in the form of Open Data on request, publish and regularly update it on the national portal and on their websites. Public information in the form of Open Data is allowed for its further free re-use and dissemination. Any person is free to copy, publish, distribute, re-use, including for commercial purposes, in combination with other information or by including in their own product, public information in the form of Open Data with mandatory reference to the source of such information .";Complement;;"Definition of Open Data re-use is specifed in the Law of Ukraine on Access to Public Information https://zakon.rada.gov.ua/laws/show/2939-17#n259 in the very definition of Open Data: ""Public information in the form of Open Data is public information in a format that allows its automated electronic processing, free and free access to it, and its further re-use. Data providers are obliged to provide public information in the form of Open Data on request, publish and regularly update it on the national portal and on their websites. Public information in the form of Open Data is allowed for its further free re-use and dissemination. Any person is free to copy, publish, distribute, re-use, including for commercial purposes, in combination with other information or by including in their own product, public information in the form of Open Data with mandatory reference to the source of such information.

Also Ukraine is one of the Open Data Charter adopters since 2016 and it is set forth in the Decree № 835 of the Cabinet of Ministers of Ukraine that publication of datasets is to be in conformity with principles of For Improved Governance & Citizen Engagement (ensuring the use of public information in the form of Open Data by state authorities and local self-government bodies during the exercise of their powers) and For Inclusive Development and Innovation (providing data providers with support and facilitating the creation of new information resources and services based on public information in the form of Open Data). ";;;;;;;;;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's Open Data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"There are few mechanisms on monitoring the level of Open Data re-use in Ukraine.
Key measuring mechanism  of  Open Data development across ministries and cities is institutionalised in the legislation. The mechanism has 4 key chapters - policy, capacity, publishing the data and quality and use of the data. 
Also catalogues of apps that use the Open Data are available which is regularly updated by users and the Ministry of  Digital Transformation https://diia.data.gov.ua/services                                                                                                                                                In addition, the national portal has the ability to track the level of use of data sets (number of views and downloads separately for each set) and to track which services based on Open Data use the data set";Complement;;"There are few mechanisms on monitoring the level of Open Data re-use in Ukraine.
Key measuring mechanism of Open Data development across ministries and cities is institutionalised in the legislation. The mechanism has 5 key chapters - policy, capacity, publishing the data and quality and use of the data and Open Data impact.
Also catalogues of apps that use the Open Data are available which is regularly updated by users and the Ministry of  Digital Transformation https://diia.data.gov.ua/services                                                                                                                                                In addition, the national portal has the ability to track the level of use of datasets (number of views and downloads separately for each set) and to track which services based on Open Data use the dataset";;;;;;;;;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;Key measuring mechanism  of  Open Data development across ministries and cities is institutionalised in the legislation. The mechanism has 4 key chapters - policy, capacity, quality of the data and the use of the data. The questions in the chapter regarding the use of data collects the estimation of the re-use from different public bodies.Since the measuring mechanism is institutionalised in the legislation all public bodies are  obligated to to measure their Open Data programs, including the re-use of their own or other public bodies' Open Data to measure their Open Data programs, including the re-use of their own or other public bodies' Open Data. Data is collected, analysed and reported to the Cabinet of Ministers                                                                                                                                                                         The results of such monitoring of published data by the public bodies and data providers itself are in special servey available via link https://data.gov.ua/uploads/files/2021-10-11-151345.820104--2020.pdf ;Complement;Yes;"Key measuring mechanism of Open Data development across ministries and cities is institutionalised in the legislation. The mechanism has 5 key chapters - policy, capacity, quality of the data and the use of the data, Open Data impact. The questions in the chapter regarding the use of data collects the estimation of the re-use from different public bodies. Since the measuring mechanism is institutionalised in the legislation all public bodies are obligated to to measure their Open Data programs, including the re-use of their own or other public bodies' Open Data to measure their Open Data programs, including the re-use of their own or other public bodies' Open Data. Data is collected, analysed and reported to the Cabinet of Ministers                                                                                                                                                                         The results of such monitoring of published data by the public bodies and data providers itself are in special servey available via link https://data.gov.ua/uploads/files/2021-10-11-151345.820104--2020.pdf 
Based on the results of this assessment, reports on the state of publicizing and updating Open Data by data providers in 2021 and 2022 were created, which analyzed the level of data openness in cities and state authorities. https://diia.data.gov.ua/news/yakii-z-derzorganiv-je-liderom-za-vidkritistyu-danix-doslidzennya-mincifri-1  ";;;;;;;;;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;;;;;;;;;;;;;;
I5;"Has your government specified what 'impact of Open Data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of Open Data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"Impact of Open Data is specified as ""Impact of Open Data means anti-corruption, social, political, economic and other effects caused by the disclosure and re-use of public information in form of Open Data.""https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf                                                                                                                                                                                                                                                                                                                                                           Also we used privious approach to specified Open Data impact in Ukraine. For micro studies that we currently conduct  to assess the impact of Open Data in particular sectors we usually follow this KPIs -  number of views of the dataset  - number of services and products that were created or additinal finctions were created or integrated  the dataset into the existing product - number of users(citizens) of these services. If there is high use of services by citizens it shows that the dataset solves particular problems for them. 
For macro economic impact study that was conducted the following metric were calculated - the rise in GDP, economic gain in UAH and  creation of jobs was calculated ";Confirm;;;;;;;;;;;;;;;
I6;"Do you have a methodology in place to measure the impact of Open Data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"The Ministry of Digital Transformation employ a framework to measure the impact of Open Data. We have utilized international best practices such as NYU’s GovLab project https://odimpact.org/ . Qualitative approach to its Open Data impact measurement is used . Typical Open Data impact research involves pre-screening of potential subjects either from a bottom-up approach (a large number of Open Data products found in a specific domain or from a specific Open Dataset) or a top-down one (research into a specific governmental body or domain, e.g. ecology, state regulatory commission, health, etc). The research relies heavily on interviews and focus-groups with parties involved in opening the data (state officials, data scientists), creating and using products based on these data (NGOs, civil activists, journalists, etc). The impact is measured by analysis of several key categories, namely: does it help prevent or detect corruption; does it provide new tools for civil impact; how many users of the Open Data and tools created on the basis of the Open Data? and does it improve social standards? Interviews with the before-mentioned parties allow to gain as much of an objective view of Open Data impact as possible.";Confirm;;;;;;;;;;;;;;;
I7;"Is there collaboration between government and civil society or academia to create Open Data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";new question;new question;Change;Yes;"In order to increase the transparency of state institutions to solve socio-economic problems and to support innovative projects, grant competitions for startups are organized based on Open Data.
In June 2023, the competition ""Open Data. Unbroken"" together with OSCE was organized. https://www.openunbroken.org/. Winners: ""Where's the shelter?"" — a chatbot for finding the nearest bomb shelter in Ukraine. https://shelteruabot.com/. ""VPO Nazar"" is a chatbot to help internally displaced persons integrate into a new environment https://citybot.pro/vpo. ""Plant Varieties"" is an information aggregator that brings together resources such as Plant Varieties and Controlled Pesticides https://agrarii-razom.com.ua/. 
Also in November 2023 the competition ""Open Datathon reUkraine"" together with TAPAS project was organized https://datathon.data.gov.ua/. Among the winners of the competition is the service for providing access to public registers for citizens and businesses ""Opendatabot"" https://opendatabot.ua/, the solution for finding barrier-free locations ""Dostupno!"" from the Ukrainian Center for Social Data https://dostupno.ua/mapa-dostupnosti/, chatbot ""I'll be a mother"" from the ""Liky Kontrol"" team https://chats.viber.com/iwillbemother_bot, a system of dashboards with analytics from the Clarity Project — Clarity Hromada https://clarity-project.info/hromada.
In addition ""Open Data Hackathon"" with support of DTA project is running now. More than 230 applications for participation received. https://www.opendatatech.org/hackathon. 
In addition, increasing the level of competence in the field of Open Data is one of the priority directions of the Open Data community in Ukraine.
With the support of international partners, a course on Open Data was prepared for journalism students and other humanities majors. Currently, this course is being implemented in the educational system of certain institutions of higher education.
This will ensure the sustainability of Open Data (a ready-made audience of interested youth), which will attract new users of Open Data, encourage data providers to publish more information in the form of Open Data, and replenish the labor market with specialists who know how to use Open Data.
In the future, the program will be implemented in other higher education institutions and in other specialties.";;;;;;;;;;;;;
