ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG: Federal Ministry of Labour and Economy (BMAW) (https://www.bmaw.gv.at/Themen/Europa/Wettbewerbspolitik/Open-Data.html)
o Responsible authority for the national data portal: Federal Ministry of Finance (BMF)
o Austrian Digital Action Plan (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html) of the Federal Ministry of Finance (BMF)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)";Complement;Yes;"o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG 2022: Federal Ministry of Labour and Economy (BMAW) (possible change after the federal elections in 2024)
o Responsible authority for the national data portal: Federal Chancellery of Austria (BKA)
o Austrian Digital Action Plan (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html) of the Federal Chancellery of Austria (BKA)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)";;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"o The Austrian open data policy “Framework for Open Government Data platforms” initated by the Cooperation OGD Austria sets out a framework consisting of legal, technical and organizational requirements to be adhered to when providing public, non-personalized data. Proper alignment with these key elements should foster a smooth transition from traditional government structures to a government 2.0, where transparency, participation and collaboration are of paramount priority.
URL: https://go.gv.at/ogdframeen 
o The Chief Digital Officers have adopted a white paper on introducing a national open data strategy.
o The Austrian Digital Action Plan (2020) contains a dedicated action plan on data, including open data (https://www.digitalaustria.gv.at/digitalisierungsbericht.html)";Confirm;;;;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"The State/City of Vienna pursues a ""Data Excellence strategy"" with the leading principle ""open by default"" for open data 
(https://go.gv.at/l9dxstrategie)";Complement;;"The State/City of Vienna pursues a ""Data Excellence strategy"" with the leading principle ""open by default"" for open data 
(https://go.gv.at/l9dxstrategie). The Open Data Strategy of the City of Vienna has been evaluated in 2024 (https://www.data.gv.at/2024/05/06/evaluation-der-open-data-strategie-der-stadt-wien)";;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;The Austrian Digital Action Plan on Data contains a leading theme on data. The aim is to position Austria as digital innovation location. Data solidarity should be achieved through sharing data. Main measures are e.g.: Increased social and economic added value through better use of data, better data literacy through education and training, Austria as an attractive data location for science and the economy, ensuring transparency and the traceable use of data. The Action Plan also envisages the establishment of a national data hub.;Confirm;;;;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;The Framework for Open Government Data platforms determines that data available in real time needs to be retrievable through an application programming interface (API). The published records should be available to the public within an adequate period in a timely manner. They have to be published as soon as they are collected and compiled. National efforts on implementing EU high value datasets and national core datasets should give a significant impetus on the availability of dynamic data.;Confirm;;;;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;Through opendataportal.at the provision of citizen-generated data is encouraged. The Open Science Policy Austria adopted in 2022 is geared towards enhancing the contribution of citizen science and citizen-generated data.;Confirm;;;;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;According to the national policy and the Austrian Federal Law on the Re-Usability of Information (Informationsweiterverwendungsgesetz), metadata to Austrian open government data has to be linked with data.gv.at. This ensures the basic discoverability of the entirety of Austrian open government data across all levels of government. Furthermore, data.gv.at is interconnected with data.europa.eu to allow for a pan-European searchability of open government data. ;Confirm;;;;;;;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;The Digital Action Plan defines the goal of a data-oriented, data-driven administration and the vision of a data ecosystem. Support and the exchange of best practices is established via the Cooperation OGD Austria. The Federal Ministry of  Labour and Economy and the Federal Ministry of Finance continuously encourage and inform public sector bodies to increase the re-use of open data. ;Complement;Yes;The Digital Action Plan defines the goal of a data-oriented, data-driven administration and the vision of a data ecosystem. Support and the exchange of best practices is established via the Cooperation OGD Austria. The Federal Ministry of  Labour and Economy and the Federal Chancellery continuously encourage and inform public sector bodies to increase the re-use of open data. ;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Digital Action Plan on Data is aimed at measures to increasing the re-use of data by the private sector. for example:
- Data Hub
- Data Partnerships
- Funding Programs for SMEs regarding data usage and data literacy";Confirm;;;;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;The Austrian “Framework for Open Government Data Platforms” determines the obligation for publishing open government data via the data.gv.at portal. This includes all levels of government (from the federal to the local level).;Confirm;;;;;;;;
