ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;Transposition of 2nd version of the PSI (3rd version in progress) https://www.ejustice.just.fgov.be/eli/loi/2016/05/04/2016009236/justel  (Loi relative à la réutilisation des informations du secteur public);Complement;Yes;The law (https://www.ejustice.just.fgov.be/eli/loi/2016/05/04/2016009236/justel) has been updated to transpose the 3rd version of the EU PSI/Open Data Directive
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"https://data.gov.be/sites/default/files/public/content/compressed_fr-strategisch-dossier.pdf, focus on ""open by default"", economic aspects, and interaction with the community";Confirm;Yes;The 2015 document has not yet been updated (draft of new strategy in preparation)
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;E.g. Flanders Region, part of the general data strategy: https://www.vlaanderen.be/digitaal-vlaanderen/vlaamse-digitale-strategie/vlaamse-datastrategie;Complement;;"Flanders Region: https://www.vlaanderen.be/digitaal-vlaanderen/vlaamse-digitale-strategie/vlaamse-datastrategie, Vlaamse Data Strategie, focus on data awareness / ecosystem and governance / quality. 
Walloon Region: part of https://www.wallonie.be/sites/default/files/2021-10/plan_de_relance_de_la_wallonie_octobre_2021.pdf, Plan de Relance de la Wallonie (projects 139 - develop and govern open data, 297 - data centric approach, 298 - operalization of open data)"
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;Response to reviewer: the datasets being released are mostly request-driven, in communication with open data users and community. Main points of the plan are listed on pg 7: e.g reduce number of licenses, using DCAT for metadata exchange;Confirm;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;The 2015 document has not yet been updated (draft of new strategy in preparation)
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"Action 8: ""un portail fédéral unique renvoie … vers les
portails des entités fédérées…  et le portail pan-européen""";Complement;Yes;The 2015 document has not yet been updated (draft of new strategy in preparation), but the law (art 17) mentions the EU Data portal.
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;promotion and communication with the open data community;Confirm;Yes;The 2015 document has not yet been updated (draft of new strategy in preparation)
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;Mandatory publication on the federal open data portal;Complement;;Required by law to have the (meta)data published on the federal portal, art 17. Also, all the 3 Regions maintain and encourage or mandate publication on their portal(s)
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;Some data repositories harvested by the federal open data portal do contain data sets that are not open data (eg geo.be in relation to INSPIRE and transportdata.be in relation to ITS);Complement;Yes;In addition to geo.be, also the regional MetaWal, Vlaamse Datavindplaats and DataStore Brussels contain INSPIRE (or other) datasets that are not necessarily open data
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"Currently working with the geo department of the Walloon Region to obtain the metadata of HvD datsasets and service (geo and environment data, many of them available as free webservice, though not clear yet if environmental data has been standardised), and with the federal Statistical department + FPS Social Security to harvest metadata and make sure the data itself is available via API.
Company register is available, but license needs to be changed / fees to be dropped and metadata needs to be provided.
Mobility: talking to the transportdata hub"
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Some have (e.g statistics at federal level / geospatial, earth observation and mobility at Walloon Region), but not all of them
E.g Walloon Region: https://metawal.wallonie.be/ (scroll down, in the left column there is an option to filter on HvD and HvD categories)"
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"At federal level there is an open data task force and ""FedAX"" network of CDOs + informal meetings with members of the ""OpenKnowledge Foundation"" + by allowing anyone to request access to datasets, similar initiatives/governance at regional level
At Walloon Level, this is carried out by the SPW"
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;practical considerations: sometimes demand for opening up data comes top-down, sometimes driven bottom-up, and so is the structure of the governance + political landscape with strong Regions and projects by larger cities;Confirm;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Not Applicable;While there are cooperations on open data initiatives and projects between federal/regional/local administrations, due to the political landscape, the federal level has no authority over open data projects on regional level
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";all public bodies;All 3 Regions have open data initiatives + a few larger cities (smaller cities require support of Regional level);Confirm;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";yes;Explained in Royal Decree, chapitre 4 (https://www.ejustice.just.fgov.be/eli/arrete/2019/06/02/2019013333/justel#LNK0004);Complement;Yes;In addition to the answer from 2023, at the Walloon Region the structure of the regional team is also mentioned in a Decree (https://wallex.wallonie.be/eli/loi-decret/2022/11/24/2022207332)
