ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The general policy is integrated into the national Open Data and PSI Re-Use Law.
URL: https://bit.ly/3Q0Vuzw 

The main highlights of the Policy are: 
a. All Public Sector Data is Open by default with the exception of data to which access is prohibited.
b. Public Sector Bodies annually update their data catalogue and publish their data online on the National Open Data Portal.
c. Implementation mechanism set up through the PSI law (Licencing Authority, Charging Authority, Review Body, Open Data Board, etc).
d. All data is made available under the Creative Commons Attribution Only and the Creative Commons Share-Alike Licences unless the Licensing Authority grants permission to Public Body use any other licence or impose additional rules.";Confirm;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"The National Strategy 2023-2027 is based on four main Pillars:

A. Providing the required legal framework that promotes and encourages the supply of high quality and PSI for Re-Use (free or marginal cost, simple licences, dispute mechanism, etc).
B. Providing the necessary infrastructure for the dissemination of PSI in the form of a National Open Data Portal that is modern and fit for purpose.
C. Maintaining, expanding and supporting (through the provision of training, etc) the already existing network of PSI Liaison Officers in PSBs.
D. Promoting PSI Re-Use in both Private and Public Sector, through joint events and facilitating constant dialogue between suppliers and users.

URL: https://bit.ly/3Iee1Gk";Change;Yes;"The National Strategy 2023-2027 is based on four main Pillars:

A. Providing the required legal framework that promotes and encourages the supply of high quality and PSI for Re-Use (free or marginal cost, simple licences, dispute mechanism, etc).
B. Providing the necessary infrastructure for the dissemination of PSI in the form of a National Open Data Portal that is modern and fit for purpose.
C. Maintaining, expanding and supporting (through the provision of training, etc) the already existing network of PSI Liaison Officers in PSBs.
D. Promoting PSI Re-Use in both Private and Public Sector, through joint events and facilitating constant dialogue between suppliers and users.

Open Data National Strategy 2023-2027
URL: https://www.data.gov.cy/sites/default/files/%CE%91%CE%94%CE%94%20-%20%CE%A3%CF%84%CF%81%CE%B1%CF%84%CE%B7%CE%B3%CE%B9%CE%BA%CE%AE%20%CE%91%CE%BD%CE%BF%CE%B9%CE%BA%CF%84%CF%8E%CE%BD%20%CE%94%CE%B5%CE%B4%CE%BF%CE%BC%CE%AD%CE%BD%CF%89%CE%BD%202023-2027.pdf"
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";not applicable;"response to reviewer
Due to the small size of the country and to the centralised government system the policy/strategy making process exists only at a national level. ";Confirm;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"The action plan includes a total of 38 actions (with relevant timeframes) allocated to each of the following 4 main pillars (as outlined in Q2, above):

1) Providing a legal framework that promotes and encourages the use and re-use of Open Data
2) Providing the necessary infrastructure for the dissemination of Open Data.
3) Maintaining, expanding, and supporting the existing network of Open Data Liaison Officers.
4) Promoting Open Datareuse.

Furthermore, actions range from strengthening the open data governance and reviewing the national law, to improving the infrastructure (National Portal), to organising events to promote the re-use of open data in Cyprus and engage all actors (hackathons, open days, etc), to supporting and providing much needed training to PSBs to release their data.";Confirm;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Provision of support for publishing dynamic data and HVDs (Action Γ9 of the Analytical Action Plan)
Access to Consulting Services and Technical Support (internal and external) [Action B9 of the Analytical Action Plan]";Confirm;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Strategy provides the opportunity to publish citizen generated data that was initially based on government open data to be published on the portal in the form of related content. (see Section ""Εμπλουτισμός Πύλης με Επιλεγμένα Δεδομένα Μη Κυβερνητικών Φορέων""(page 14) of the Open Data Strategy 2023-2027 URL: https://bit.ly/3Iee1Gk)
i.e.  Pothen Eshes citizen tranformed data that builds on a public datatset relating to the declaration of assets of politically exposed persons. link: https://bit.ly/3NZdnNe";Change;Yes;"The Strategy provides the opportunity to publish citizen generated data that was initially based on government open data to be published on the portal in the form of related content. (see Section """"Εμπλουτισμός Πύλης με Επιλεγμένα Δεδομένα Μη Κυβερνητικών Φορέων""""(page 14) of the Open Data Strategy 2023-2027.

Open Data National Strategy 2023-2027
URL:
https://www.data.gov.cy/sites/default/files/%CE%91%CE%94%CE%94%20-%20%CE%A3%CF%84%CF%81%CE%B1%CF%84%CE%B7%CE%B3%CE%B9%CE%BA%CE%AE%20%CE%91%CE%BD%CE%BF%CE%B9%CE%BA%CF%84%CF%8E%CE%BD%20%CE%94%CE%B5%CE%B4%CE%BF%CE%BC%CE%AD%CE%BD%CF%89%CE%BD%202023-2027.pdf

i.e.  Pothen Eshes citizen tranformed data that builds on a public datatset relating to the declaration of assets of politically exposed persons. Open Dataset New URL: https://www.data.gov.cy/el/dataset/diloseis-perioysiakon-stoiheion-orismenon-dimosia-ektetheimenon-prosopon-kai-orismenon"
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"Action Γ11 of the 2023-2027 Analytical Action Plan for the examination/adoption of ways to imporove the discoverability of data on the National Data Portal, especially for the cases of 'data categories of special interest' such as non-public sector data, HVDs, geospacial data, Inpire data, etc.
This resulted to the  latest update of the ""Technical Guidelines Document"", which defined specific data tags to be used for each special interest category.";Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Action Γ6  of the Analytical Action Plan refers to the design and delivery of a training program for middle-management and top-management civil servants in collaboration with the Cyprus Academy of Public Administration. The particular program aims to promote Open Data to the high levels of the hierarchy and includes modules on:
a. Open Data and Government Policies
b. Public Sector Bodies' obligations under the Open Data law
c. Show cases of Re-Use 
d. Benefits and Opportunities of Open Data
e. Evidence based and data-driven policies

UPDATE 29/08
The trainning program described in the CY Open Data Strategy is a measure designed to raise middle and top manahement awareness about  how open data, if re-used by public institutions, can enhance decision making  and policy formulation. Modules c, d and e of the described training program are designed to do exactly this.";Confirm;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Action Δ.10 of the of the Analytical Action Plan refers to the support of measures that  
promote the concepts of smart cities, sustainable mobility, etc through open data.
Further the applications/re-use cases of open data are published on the National Portal and their developers are offered the opportunity to present their work in events organised by the Open Data Team and through articles published on the portal.";Confirm;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"National Open Data and PSI Law - Article 16 - All PSBs must prepare / maintain and update their data catalogue

URL:https://bit.ly/3Q0Vuzw 

UPDATE 29/08/23
The preparation and maintenance of data inventories by public bodies is obligatory by Law 143(I)/2021 for Open Data and PSI Re-Use.

More specifically, according to Article 16 of the above mentioned Law, public bodies must maintain data catalogues that lists : a) data available for publication as open data through data.gov.cy  b) data for which access is permitted according to the applicable law regulating access to information and which are
available for further use but not available online.  c)  data for which the public sector bodies, exceptionally, impose conditions for further use, through special permission or through enforcement of fees in accordance with the provisions of articles 13 to 15;";Confirm;;
