ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Czech National Open Data Policy is defined by the Free Access to Information Act No. 106/1999 Coll. that enables public bodies to publish their data in open and machine readable formats. It introduces the term “open data” and underlines the role of National Open Data Portal as its main information platform for open data in the Czech Republic. It is obliged by the Free Access of Information Act that all public bodies that publish open data, have to catalog it into the National Open Data Portal. Moreover, Free Access to Information Act No. 106/1999 Coll. defines data which must be mandatorily published as open data. The previous government regulation No. 425/2016 Coll. with a list of datasets was replaced by the new obligation defined in section 5a of the Free Access to Information Act No. 106/1999 Coll. The Open Data Directive transposition was the part  the amendment of the Act No. 106/1999 Coll. came into force in September 2022.
The obligations related to the Public Data Fund, which should be provided by guaranteed open data, are defined in Act No. 111/2009 Coll., on Basic Registers. See https://www.zakonyprolidi.cz/cs/1999-106.";Complement;;Czech National Open Data Policy is defined by the Free Access to Information Act No. 106/1999 Coll. that enables public bodies to publish their data in open and machine readable formats. It introduces the term “open data” and underlines the role of National Open Data Catalog as its main information platform for open data in the Czech Republic. It is obliged by the Free Access of Information Act that all public bodies that publish open data, have to catalog it into the National Open Data Catalog. Moreover, section 5a of the Free Access to Information Act No. 106/1999 Coll. defines that data that are public by law must be mandatorily published as open data (Open Data by Default). The Open Data Directive transposition was the part of the amendment of the Act No. 106/1999 Coll. that came into force in September 2022. See: https://www.e-sbirka.cz/sb/1999/106/2024-01-01?zalozka=text.
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"The National Open Data Strategy is defined by the national digitisation strategy Digital Czechia adopted in 2018 and the main document that sets out the basic framework for this strategy called Information Conception. Open Data Strategy is fragmented into several principles and main goals of the Conception since it is not seen as a self-sustaining policy, but one of the building blocks of the digitization process. OD Strategy is supported primarily by the Principles P4 called Openness and Transparency and P13 called Open Data by Default of the Conception and the main objective 1.5 Development of the National Open Data Catalog and 5.10 Public Data Fund that strengthen the position of the open data both practically by supporting its position in data sharing process and legislatively by introducing the Open Data by Default principle. The Public Data Fund should provide guaranteed open data that users can rely on. In the first phase, these should be the code lists. 
See https://www.digitalnicesko.cz/informacni-koncepce-cr/ and https://archi.gov.cz/en:ikcr.";Complement;;"The National Open Data Strategy is defined by two documents. The first one is the national digitisation strategy Digital Czechia adopted in 2018 and its main part that sets out the basic framework called Information Conception. Open Data Strategy is fragmented into several principles and main goals of the Conception since it is not seen as a self-sustaining policy, but one of the building blocks of the digitization process. OD Strategy is supported primarily by the Principles P4 called Openness and Transparency and P13 called Open Data by Default of the Conception and the main objective 1.5 Development of the National Open Data Catalog and 5.10 Public Data Fund that strengthen the position of the open data both practically by supporting its position in data sharing process and legislatively by introducing the Open Data by Default principle. See https://digitalnicesko.gov.cz/vize/#ctyri-pilire-digitalniho-ceska and https://archi.gov.cz/en:ikcr.
The second one, adopted by the Government in 2024, is called the Strategy for Data Management in Public Administration of the Czech Republic 2024-2030, where Objective 4.1 Publication of Open Data aims to fulfill legal obligations related to the publication of open data and to ensure their traceability, quality and reuse. See: https://data.gov.cz/přílohy/články/projekt-DIA-pomůže-úřadům-zlepšit-správu-dat/Strategie%20pro%20správu%20dat%20ve%20VS.pdf."
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;Yes, there are several regional or local Open Data Strategies, usually as a part of an overall development/smart/digitalisation strategy. For example: Action Plan 2050 for the City of Brno (https://brno2050.cz/wp-content/uploads/2018/12/Strategie_BRNO_2050_AP-2020_pracovn%C3%AD-verze_31-10-2018_web.pdf ), Smart Prague 2030 Strategy (https://smartprague.eu/files/koncepce_smartprague.pdf), Smart City Strategy of the City Uherský Brod (https://www.ub.cz/Public/docs/KOMPAS/Strategie_Smart_City.pdf ), or Smart Bohemian Region Strategy 2019-2023 (https://www.kraj-jihocesky.cz/sites/default/files/inline-files/SRJK_finalni%20verze%20dokumentu_pro%20zverejneni.pdf).;Complement;;"There are several regional or local Open Data Strategies, usually as a part of an overall development/smart/digitalisation strategy. For example:
Action Plan 2050 for the City of Brno (https://brno2050.cz/wp-content/uploads/2018/12/Strategie_BRNO_2050_AP-2020_pracovn%C3%AD-verze_31-10-2018_web.pdf) 
Smart Prague 2030 Strategy (https://smartprague.eu/files/koncepce_smartprague.pdf)
Hradec Kralove Region (https://www.kr-karlovarsky.cz/system/files/migrate/samosprava/dokumentykk/dokumenty/ADE_KUKK_ICT_Strategie_20221217_final_signed.pdf)
Olomouc Region (https://www.olkraj.cz/koncepce-open-datoveho-portalu-olomouckeho-kraje-aktuality-11682.html)
Moravian-Silesian Region (https://www.msk.cz/assets/temata/strategicke_dokumenty/ik_msk_2020.pdf)
Smart City Strategy of the City Uherský Brod (https://www.ub.cz/Public/docs/KOMPAS/Strategie_Smart_City.pdf)
Poruba (https://poruba.ostrava.cz/cs/o-porube/strategicke-dokumenty/strategicke-dokumenty/Koncepc_ICT_mestskeho_obvodu.pdf) 

Moreover, the new Strategy for Data Management in Public Administration of the Czech Republic 2024-2030 is aimed at both national and regional/local level. Objective 4.1 of the Strategy called Publication of Open Data aims to fulfill legal obligations related to the publication of open data and to ensure their traceability, quality and reuse. See: https://data.gov.cz/přílohy/články/projekt-DIA-pomůže-úřadům-zlepšit-správu-dat/Strategie%20pro%20správu%20dat%20ve%20VS.pdf"
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"See Information Conception and Implementation Plans of IC. https://www.mvcr.cz/webpm/clanek/rada-vlady-pro-informacni-spolecnost.aspx?q=Y2hudW09Ng%3d%3d 
The main measures to be implemented are:
Development of the National Open Data Catalog
Development of open formal standards for quality open data
Promotion of open data among the public
Update of Government Regulation 425/2016 Coll., on the list of information published as open data
Expansion of number of CZSO open data sets
Compilation of publication plans for open data by individual central public authorities
Publication of data on current activities, management and public administration, ideally in the form of barometers with the support of open data according to the definition of Act No. 106/2000 Coll.
The conversion of already published public data (by law) into open data (classes 3 and above)
Publication of open data in the Public Data Fund
Open data of the Ministry of the Environment

Moreover, with the transition of the digitization agenda strategy to the Government Council for Information Society, for the year 2023 were defined the another measurements to be implemented:
Fulfillment of legal obligations related to Open Data by Default principle
Metadata searchability of all official boards, public registers, HVDs and code books in one place - in the National Open Data Catalogue
Greater transparency of public administration
Possibility of further use of data in public administration and the private sector/ the public";Complement;;"The Government Council for Information Society for the year 2024 has issued the Implementation Plan of the Digital Czech Republic 2024 programme. It includes currently monitored activities linked to the implementation of the principles and objectives of the strategy mentioned above. For the 2024, the following objectives are registered:
Technology Platform for Interoperability
Creation of new open datasets - a prerequisite for a data-driven economy
Changing the governance and publication of open data 
Development of the National Open Data Catalogue with advanced features 
Making environmental open data and HVDS available 
Information system for reporting the results of continuous emission measurements 
Creation of new open datasets - Hydrometeorological products and services
The status of implementation is recorded for the individual projects that have secured funding.
The implementation plan is also contained in the Public Sector Data Management Strategy itself. It monitors the implementation of four actions to be implemented in the period 2024-2025:
Publish public data as open data
Monitor compliance with open data obligations
Provide practical support for the re-use of open data
Ensure the operation and development of the National Open Data Catalogue
Digital and Information Agency will provide information on the current status of the implementation of the measures before the end of 2024 and again before the end of 2025 with summary information on the implementation strategy to the Government."
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;The amendment of the Act No. 106/1999 Coll. From September 2023 introduces the provision of dynamic data as open data and one of the mains is to ensure the usability of dynamic information that can carry high social and economic value. See https://www.zakonyprolidi.cz/cs/1999-106.;Complement;;The amendment of the Act No. 106/1999 Coll. From September 2023 introduces the provision of dynamic data as open data and one of the mains is to ensure the usability of dynamic information that can carry high social and economic value. See https://www.e-sbirka.cz/sb/1999/106/2024-01-01?zalozka=text. The fulfilment of legal obligations is reported annually by the Digital and Information Agency directly to the  Government Council for Information Society on the basis of reporting from the Open Data Providers Working Group. From 2024, providers can indicate in the National Open Data Catalogue which datasets are dynamic data, which will make monitoring easier in the future.
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Change;Yes;"The Digital Czechia strategy also includes the document Czechia in Digital Europe 2024, which focuses on building digital single market in Europe and sets out the main objectives of the Czech Republic in the negotiations on the EU digital agenda. Goal 3.2 states, among other things, that the Czech Republic will support initiatives that will lead to more intensive and easier data creation and sharing among all actors, whether they are organisations, public authorities or academic institutions. At the same time the Czech Republic will promote the sharing of good practice in the European debate and the overall raising of public awareness of the benefits of data sharing. The priority for data remains the process of opening up data, not only in public authorities but also on a voluntary basis by businesses and the public.

See Czechia in Digital Europe - 3.2 Supporting the European data economy: https://digitalnicesko.gov.cz/vize/#ctyri-pilire-digitalniho-ceska."
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;The National Open Data Portal created in accordance with Information Conception of the Czech Republic and legislatively enforced by the Act No. 106/1999 Coll., directly and automatically sends all metadata to the European Data Portal, aforementioned types of data included. For the process see: https://docs.google.com/presentation/d/1PtaZCXN3VBlAgXdeE6y4-qjPP3aPGJHs3Re6wI84jFc/edit#slide=id.ge280a34ec0_0_6 (slide 20). Regarding the geospatial and dynamic data, open data providers are, in accordance with the metadata standards, obliged to describe the format of data and key words to ensure their discoverability at the Portal. Citizen-generated data are not part of the Czech National Open Data Portal, therefore are not automatically sent to the European Data Portal.;Complement;;The National Open Data Portal created in accordance with Information Conception of the Czech Republic and legislatively enforced by the Act No. 106/1999 Coll., directly and automatically sends all metadata to the European Data Portal, aforementioned types of data included. For the process see: https://docs.google.com/presentation/d/1PtaZCXN3VBlAgXdeE6y4-qjPP3aPGJHs3Re6wI84jFc/edit#slide=id.ge280a34ec0_0_6 (slide 20). Regarding dynamic data, in accordance with the new standards (from May 2024), which are mandatory, providers should mark the data with a link to the relevant legislation (dynamic data are part of the specific paragraph of the Act 106/1999 Coll.). In the past, they have used keywords and descriptions, which have made their way into the European Data Portal. In the case of citizen generated data, currently, according to the findings in the National Open Data Team, they are published in the National Catalog (and therefore in the European Data Portal) through public authorities and their affiliation to the aforementioned group is usually part of the description (e.g. https://data.gov.cz/datov%C3%A1-sada?iri=https%3A%2F%2Fdata.gov.cz%2Fzdroj%2Fdatov%C3%A9-sady%2F65993390%2F1087749998, https://data.gov.cz/datov%C3%A1-sada?iri=https%3A%2F%2Fdata.gov.cz%2Fzdroj%2Fdatov%C3%A9-sady%2F44992785%2Faee8d88c79b4e167a10b57c0ce827ec5).
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;The Information Conception of the Czech Republic fosters the existence of the Public Data Fund. The Public Data Fund should provide guaranteed open data (in the first phase the code lists). To support the re-use of data in the Public Data Fund, a notification hub will be created, which will send notifications of data changes. Due to new obligations related to fulfillment the base Register of Rights and Duties, the data users will have an overview which public data are collected following the agendas and gain the link to the dataset in the National Open Data Catalog. See Goal  5.10 of the Conception at https://archi.gov.cz/en:ikcr#sub-objective_510develop_open_data_and_public_data_and_public_services or https://archi.gov.cz/en:nap:verejny_datovy_fond.;Complement;;"existence of the Public Data Fund. The Public Data Fund should provide guaranteed open data.  Due to new obligations related to fulfillment the base Register of Rights and Duties, the data users will have an overview which public data are collected following the agendas and gain the link to the dataset in the National Open Data Catalog. See Goal 5.10 of the Conception at https://archi.gov.cz/en:ikcr#sub-objective_510develop_open_data_and_public_data_and_public_services.
In addition, action to promote the re-use of open data is also part of the Strategy for Data Management in Public Sector as part of the strategic area entitled Using data to support decision making in public administration. The measure foresees the use of data through tools in the National Catalogue, where the services using the data are then registered. See: https://data.gov.cz/p%C5%99%C3%ADlohy/%C4%8Dl%C3%A1nky/projekt-DIA-pom%C5%AF%C5%BEe-%C3%BA%C5%99ad%C5%AFm-zlep%C5%A1it-spr%C3%A1vu-dat/Strategie%20pro%20spr%C3%A1vu%20dat%20ve%20VS.pdf."
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Information Conception of the Czech Republic fosters the existence of the Public Data Fund. The Public Data Fund should provide guaranteed open data (in the first phase the code lists). Due to new obligations related to fulfillment the base register of rights and duties, the data users will have an overview which public data are collected following the agendas and gain the link to the dataset in the National Open Data Catalog. See Goal  5.10 of the Conception at https://archi.gov.cz/en:ikcr#sub-objective_510develop_open_data_and_public_data_and_public_services or https://archi.gov.cz/en:nap:verejny_datovy_fond 
Moreover, the amendment to the Act No. 106/1999 introduces the so-called standard conditions of use, which must be respected by obliged entities when providing information (in open data format included). These are defined in § 4a as conditions that are ""objective, reasonable, non-discriminatory, non-exclusive and do not limit the method or purpose of subsequent use of the information provided"". Therefore, obliged entities cannot limit further use of data and information to non-commercial use only and should support the reuse by the private sector in any possible way.";Complement;;"The Act No. 106/1999 introduces the so-called standard conditions of use, which must be respected by obliged entities when providing information (in open data format included). These are defined in § 4a as conditions that are ""objective, reasonable, non-discriminatory, non-exclusive and do not limit the method or purpose of subsequent use of the information provided"". Therefore, obliged entities cannot limit further use of data and information to non-commercial use only and should support the reuse by the private sector in any possible way.  

The Act further states that information about products and services that use open data and other information should be registered in the national catalog, which, according to the explanatory report to the act, should support reuse by the public and business. Finally, support for re-use is also part of the measures in the Strategy of Data Management for Public Sector - 4.1.3: Provide practical support for the reuse of open data."
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;In the Czech Republic there is an inventory called The Register of Rights and Duties - a register that provides a basic overview of the agendas carried out by public authorities and the related data. According to the Act No. 111/2009 Coll., public authorities are obliged to identify what data in agenda is classified and to distinguish public and non-public data. A new methodology for defining data in the agenda has been developed in 2022/2023, according to which organisations should proceed. The objective 3.04 of the Information Conception is aimed at improving, updating and validating the content of the Register.;Complement;;"Moreover, the Strategy of Data Management for Public Sector includes measures to create local inventories that contain metadata about all data sources, including information about
from which source systems the data comes and how and to whom it is shared. Local inventories are harvested by national inventory."
