ID;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
D1.1;;;;;
P1;ja;"Ja, es gibt ein Open-Data-Gesetz auf Bundesebene. Im Juli 2017 trat § 12a des E-Government-Gesetzes (EGovG) in Kraft (Erstes Open-Data-Gesetz), mit dem erstmals eine gesetzliche Grundlage für die verpflichtende Bereitstellung offener Verwaltungsdaten durch Bundesbehörden geschaffen wurde. Durch das im Juli 2021 in Kraft getretene Zweite Offene-Daten-Gesetz wurden die bestehenden Pflichten nach § 12a EGovG inhaltlich weiter angepasst und auf die gesamte Bundesverwaltung ausgeweitet.

Das ebenfalls am 23. Juli 2021 in Kraft getretene Datennutzungsgesetz (DNG) soll das Informationsweiterverwendungsgesetz (IWG) modernisieren und ersetzen. Um die Nutzbarkeit von Daten zu verbessern, müssen offene Daten in maschinenlesbaren Formaten verwendet werden. Darüber hinaus regt der DNG Open-Data-Initiativen über die Grenzen der Bundesverwaltung hinaus an und etabliert das Prinzip „Open by Default“ auch für die Nutzung von Daten durch Länder, Kommunen und öffentliche Unternehmen in den Bereichen Wasser-, Verkehrs- und Energieversorgung . Das DNG setzt außerdem die EU-Richtlinie 2019/1024 (Richtlinie über offene Daten und Informationen des öffentlichen Sektors) um, die 2019 neu gefasst wurde.

Linkquellen:
(Zweites) Open-Data-Gesetz: http://www.gesetze-im-internet.de/egovg/__12a.html
Datennutzungsgesetz (DNG): http://www.gesetze-im-internet.de/dng/index.html";Confirm;;
P2;ja;"Linkquellen:
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.html

Die am 6. Juli 2021 verabschiedete Open-Data-Strategie der Bundesregierung gibt einen Handlungsrahmen zur Verbesserung des Open-Data-Ökosystems des Bundes vor. Die Datenstrategie der Bundesregierung bildet den übergeordneten datenpolitischen Rahmen für die Open-Data-Strategie. Über einen Zeitraum von fünf Jahren umfasst die Open-Data-Strategie drei Handlungsfelder mit insgesamt 68 Umsetzungsmaßnahmen verschiedener Bundesministerien und -behörden. Zu den drei Handlungssträngen gehören die Verbesserung der Datenbereitstellung und der Ausbau von Dateninfrastrukturen, die Steigerung des innovativen, öffentlich-interessanten und verantwortungsvollen Umgangs mit Daten sowie die Förderung von Datenkompetenz und Datenkultur zur Steigerung der Qualität und Nutzbarkeit der bereitgestellten Daten. Die Umsetzung der Open-Data-Strategie wird durch ein kontinuierliches Monitoring begleitet.";Confirm;;
P3;ja;"Es gibt viele Beispiele auf regionaler und lokaler Ebene (Bundesländer), siehe unten:
Berlin (Bundesland)
Open Data ist im §13 E Landesgesetz des Landes Berlin verankert (https://gesetze.berlin.de/bsbe/document/jlr-EGovGBEpP13); darüber hinaus haben wir ein Open-Data-Gesetz zur Konkretisierung des Open-Data-Gesetzes: https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/rvo.pdf?ts=1673410120; Berlin verfügt über eine neue Open-Data-Strategie, die in breiter Beteiligungsform mit den Akteuren aus Wirtschaft, Verwaltung, Wissenschaft und Zivilgesellschaft entwickelt wurde: https://www.berlin.de/moderne-verwaltung/e-government/open-data/strategieprozess/eregbnisse-der-beteiligungsworkshops-des-open-data-strategieprozesses.pdf?ts=1682690426

Nordrhein-Westfalen (NRW)
Open-Data-Verordnung (Bereitstellung behördlicher Daten, §16a EGovG NRW): https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085
Open Data-Verordnung (schreibt vor, wie Daten veröffentlicht werden sollen): https://recht.nrw.de/lmi/owa/br_vbl_detail_text?anw_nr=6&vd_id=20121&ver=8&val=20121&sg=0&menu=0&vd_back=N
Open.NRW-Strategie: Teil 1: https://open.nrw/system/files/media/document/file/opennrwt1web.pdf / Teil 2: https://open.nrw/system/files/media/document/file/opennrwt2web.pdf
Open Government Pakt (Zusammenarbeit zwischen Kommunen und Bundesland): https://open.nrw/open-gouvernement/open-gouvernement-pakt

Rheinland-Pfalz
Ein Beispiel für eine Open-Data-Richtlinie finden Sie unter: https://www.landesrecht.rlp.de/bsrp/document/jlr-TranspGRPrahmen
Am 1. Januar 2016 ist das Landestransparenzgesetz Rheinland-Pfalz (LTranspG) in Kraft getreten. Es regelt den Zugang zu „Informationen“, also amtlichen Informationen und Umweltinformationen. Das Gesetz sieht ein Antragsverfahren vor, nach dem jeder bei jeder sog. zur Transparenz verpflichteten Stelle (dazu zählen alle rheinland-pfälzischen Behörden, soweit sie Verwaltungstätigkeiten ausüben) Einsicht in die vorliegenden Informationen beantragen kann. Darüber hinaus regelt das Gesetz, dass die in § 7 Abs. 1 und 2 LTranspG müssen von den zur Transparenz verpflichteten Stellen proaktiv (amtlich, ohne dass ein Antrag gestellt werden muss) veröffentlicht werden. Ort der Veröffentlichung ist eine elektronische Plattform, die sogenannte Transparenzplattform des Landes Rheinland-Pfalz. Ergänzend zum Transparenzgesetz plant die rheinland-pfälzische Landesregierung die Einführung einer Open-Data-Politik ähnlich wie auf Bundesebene, um sicherzustellen, dass noch mehr Regierungsdaten der Öffentlichkeit kostenlos und in einer einheitlichen maschinenlesbaren Form zur Verfügung stehen. In diesem Zusammenhang ist auch die Einführung einer Open-Data-Strategie vorgesehen.

Schleswig-Holstein
Offene-Daten-Gesetz (ODaG): https://www.gesetze-rechtsprechung.sh.juris.de/bssh/document/jlr-OpenDataGSHrahmen

Thüringen
Für die hochwertigen Datensätze auf regionaler Ebene plant Thüringen, im Jahr 2023 mit der Identifizierung dieser Datensätze zu beginnen.

auf lokaler Ebene:
Hansestadt Hamburg (HH)
Transparenzgesetz seit 2012. Auf dieser Grundlage ist das Hamburger Transparenzportal entstanden.
- Transparenzportal: https://transparenz.hamburg.de/13435532/reform-hmbtg/

Ein Verweis kann auch auf die Stadt Braunschweig erfolgen: https://www.braunschweig.de/digitalisierung-online-services/open-data.php#:~:text=The%20city%20of%20Braunschweig%20has%20measured%20values%20from%20sensors%20(Echtzeitdaten).";Change;ja;"Richtlinien auf regionaler Ebene (Beispiele):
Berlin (Bundesland)
Open Data ist im §13 E Landesgesetz des Landes Berlin verankert (https://gesetze.berlin.de/perma?j=EGovG_BE_!_13);
Ergänzend zum bereits erwähnten Open-Data-Gesetz wurde eine Verordnung mit detaillierten Vorgaben veröffentlicht: https://www.berlin.de/moderne-verwaltung/e-government/open-data/rvo.pdf?ts=1673410120;

Hansestadt Hamburg (HH, Bundesland)
Transparenzgesetz seit 2012: https://transparenz.hamburg.de/gesetzestext-des-hmbtg-796514/

Nordrhein-Westfalen (NRW, Bundesland)
Open-Data-Verordnung (Bereitstellung behördlicher Daten, §16a EGovG NRW): https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085
Open Data-Verordnung (schreibt vor, wie Daten veröffentlicht werden sollen): https://recht.nrw.de/lmi/owa/br_vbl_detail_text?anw_nr=6&vd_id=20121&ver=8&val=20121&sg=0&menu=0&vd_back=N 

Schleswig-Holstein (Bundesland)
Offene-Daten-Gesetz (ODaG): https://www.gesetze-rechtsprechung.sh.juris.de/bssh/document/jlr-OpenDataGSHrahmen


Strategien auf regionaler Ebene (Beispiele):
Berlin (Bundesland)
Berlin hat seine Open-Data-Strategie 2023 veröffentlicht, die in einem breiten Beteiligungsverfahren mit den Akteuren aus Wirtschaft, Verwaltung, Wissenschaft und Zivilgesellschaft entwickelt wurde.
Download-Link: https://www.berlin.de/moderne-verwaltung/e-government/open-data/strategieprozess/artikel.1257333.php (unten auf der Webseite)

Nordrhein-Westfalen (NRW, Bundesland)
Open.NRW-Strategy: Teil 1: https://open.nrw/system/files/media/document/file/opennrwt1web.pdf / Teil 2: https://open.nrw/system/files/media/document/file/opennrwt2web.pdf

Rheinland-Pfalz (Bundesland)
Als Teil einer Open-Data-Richtlinie siehe: https://www.landesrecht.rlp.de/bsrp/document/jlr-TranspGRPrahmen;
Das Gesetz regelt, dass die in § 7 Abs. 1 und 2 LTranspG in einer konkreten Liste aufgeführten Informationen von den transparentheitspflichtigen Stellen proaktiv veröffentlicht werden müssen.

auf lokaler Ebene:
Ein Bezug kann auch zur Stadt Braunschweig hergestellt werden:
https://www.braunschweig.de/digitalisierung-online-services/open-data.php#:~:text=The%20city%20of%20Braunschweig%20has%20measured%20values%20from%20sensors%20"
P4;ja;"Das Open-Data-Gesetz verpflichtet die Bundesregierung, dem Deutschen Bundestag regelmäßig alle zwei Jahre über die Fortschritte bei der Umsetzung von Open Data zu berichten (§ 12a Abs. 11 EGovG), siehe: http://www.gesetze- im-internet.de/egovg/__12a.html.
Ein neuer Fortschrittsbericht ist derzeit in Vorbereitung und wird im Herbst 2023 veröffentlicht.

Die Open-Data-Strategie sieht verschiedene Umsetzungsmaßnahmen vor, beispielsweise Initiativen, Projekte und digitale Lösungen. Parallel dazu wurde im Jahr 2022 ein Monitoring-Prozess gestartet, der die Umsetzung einzelner Maßnahmen unter anderem durch Meilensteine und regelmäßige Statusberichte dokumentiert.
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html;jsessionid=65E5C4C2408071FC3ABAB79141BF2AED.intranet251";Complement;ja;"Das Open-Data-Gesetz verpflichtet die Bundesregierung, dem Deutschen Bundestag regelmäßig alle zwei Jahre über die Fortschritte bei der Umsetzung offener Daten zu berichten (§ 12a Abs. 11 EGovG), siehe: http://www.gesetze-im-internet.de/egovg/__12a.html.

Ein neuer Fortschrittsbericht wird derzeit erstellt und soll 2024 veröffentlicht werden.

Die Open-Data-Strategie sieht verschiedene Umsetzungsmaßnahmen vor, darunter Initiativen, Projekte und digitale Lösungen. Parallel dazu startete 2022 ein Monitoringprozess, der die Umsetzung der einzelnen Maßnahmen unter anderem durch Meilensteine ​​und regelmäßige Statusberichte dokumentiert.
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html;jsessionid=65E5C4C2408071FC3ABAB79141BF2AED.intranet251"
P5;ja;"Gemäß § 12a EGovG fallen alle Arten von Verwaltungsdaten, die keinen Personenbezug haben, unter die Pflicht zur Bereitstellung offener Daten der Bundesverwaltung (z. B. Geodaten, Statistiken, statische oder dynamische Daten).

Die Open-Data-Strategie der Regierung umfasst 68 Maßnahmen in den Dimensionen Datenbereitstellung und -infrastrukturen, Datennutzung und Datenkompetenzen, den Aufbau wettbewerbsfähiger und nachhaltiger Open-Data-Infrastrukturen und ein unterstützendes Ökosystem, um die Veröffentlichung und den Zugriff auf Echtzeit- und dynamische Daten zu ermöglichen. (Die komplette Maßnahmenübersicht finden Sie im Anhang).
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5 (ab Seite 19)";Confirm;;
P6;nein;"Die Open-Data-Strategie enthält zumindest einige Maßnahmen, die zivilgesellschaftliche Akteure in die Debatte einbeziehen.
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5

Einzelmaßnahmen als Beispiel:
- Digitale Stadt gemeinwohlorientiert gestalten durch Community Data Skills (BMSWB) (Seite 28)
„Wir unterstützen Forschungsprojekte, die darauf abzielen, die Datenkompetenz in der Kommunalverwaltung zu identifizieren und zu steigern. Ziel ist es unter anderem zu erheben, welche Strategien und Infrastrukturen das kommunale Datenmanagement steuern und in welchem Umfang Qualifizierungsmaßnahmen für Verwaltungsmitarbeiter umgesetzt werden. Außerdem wird die Bereitstellung von Daten für Bürger und Akteure der Zivilgesellschaft untersucht.“
- Jährlicher Round Table Open Data (BMI) (Seite 27)
„Wir fördern die Intensivierung und Fortführung des Austauschs zwischen Bund und Ländern unter Einbeziehung von Vertretern der Zivilgesellschaft relevanter Interessengruppen.“";Confirm;;
P7;ja;Mit der gesetzlichen Verpflichtung zur Einstellung der Metadaten im nationalen Metadatenportal GovData (vgl. § 12a Abs. 5 EGovG) werden diese Daten aufgrund der GovData-Schnittstelle zum Europäischen Datenportal dort automatisch verfügbar bzw. sichtbar gemacht.;Confirm;;
P8;ja;"Die Wiederverwendung von Daten wird insbesondere dadurch unterstützt, dass die Qualität der Daten erhöht wird, was ihre Wiederverwendung erleichtert.

Darüber hinaus fördert der Bund die Weiterverwendung von Open Data im Rahmen des Copernicus-Projekts, wobei der Gesamtbetrag der Fördermittel im späteren Verlauf einzuzahlen ist.

Die Datenstrategie und auch die Open-Data-Strategie der Regierung sehen vor, dass der Staat Vorreiter/Führer im Bereich der Datennutzung und -bereitstellung werden soll. Dazu gehört die verstärkte Bereitstellung offener Daten; Datenkompetenz und Nutzung der Daten für die Politikgestaltung (datengesteuerte Regierung). Das Potenzial von Daten wird zunehmend für einen effizienteren und bürgerfreundlicheren Service genutzt. Darüber hinaus wird die Umsetzung und Evaluierung politischer Maßnahmen durch die Nutzung offener Daten erfolgen
verbessert. Die Stellungnahmen der Regierung zur Datenstrategie finden Sie hier: https://www.bundesregierung.de/resource/blob/975226/1693626/60b196d5861f71cdefb9e254f5382a62/2019-11-18-pdf-datenstrategie-data.pdf?download=1";Confirm;;
P9;ja;"Es gibt eine europaweite Initiative zur Schaffung einer Cloud für den Datenaustausch zwischen dem öffentlichen Sektor und dem privaten Sektor. Das nationale Open Data Portal (GovData) ist Teil dieser Initiative, die offene Daten und „geschlossene“ Daten zusammenführt: https://www.bmwi.de/Redaktion/DE/Dossier/gaia-x.html

In diesem Zusammenhang wurde 2021 ein Förderwettbewerb zur Einreichung von Ideen zur Antragstellung ins Leben gerufen, siehe: https://www.bmwk.de/Redaktion/DE/Dossier/Dateninfrastruktur-GAIA-X/gaia-x-foerderwettbewerb.html

Darüber hinaus sieht die Open-Data-Strategie der Bundesregierung Anreize für die Nutzung staatlicher Daten durch den privaten Sektor vor (jedoch keine konkreten Maßnahmen).";Complement;ja;"Es gibt eine europaweite Initiative zur Schaffung einer Cloud für den Datenaustausch zwischen öffentlichem und privatem Sektor. Das nationale Open-Data-Portal (GovData) ist Teil dieser Initiative und führt offene und geschlossene Daten zusammen: https://www.bmwk.de/Redaktion/DE/Dossier/gaia-x.html

In diesem Zusammenhang wurde 2021 ein Förderwettbewerb (Laufzeit bis Dezember 2024) gestartet, um Ideen für Anträge einzureichen (siehe: https://www.bmwk.de/Redaktion/DE/Dossier/Dateninfrastruktur-GAIA-X/gaia-x-foerderwettbewerb.html)

Darüber hinaus sieht die Open-Data-Strategie der Bundesregierung Anreize für die Nutzung staatlicher Daten durch den privaten Sektor vor (jedoch keine konkreten Maßnahmen)."
