ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Spain has had a national open data policy since 2007. This open data policy has been evolving in accordance with the guidelines set by Europe. This policy is reflected in Law 37/2007

In addition to the aforementioned regulatory framework, Spain has a series of strategic documents that reinforce the open data policy for the 2020-2025 period. These documents include:

- The Digital Agenda for 2025, which contemplates the implementation of a National Artificial Intelligence Strategy that includes measures related to the availability of open data, which are essential for the correct operation and training of Artificial Intelligence systems.
- The Digitalization Plan for Public Administrations 2021-2025, which highlights the intention to evolve the model of access to public and private information to facilitate the development of high value-added services, based on the work developed by the Aporta Initiative.
- The IV Open Government Plan of Spain 2020-2024, which includes actions such as the improvement of real-time access to dynamic data through appropriate technical means and the promotion of data sets with high reuse value through their selection, the definition of common vocabularies and their publication.
Likewise, the Data Office, which assumes the governance policies and standards in data management and analysis that should govern the General State Administration, is working on a national data strategy and an update of the national open data strategy. See more: https://www.boe.es/eli/es/o/2020/07/31/etd803";Complement;Yes;"The national open data policy, reflected in Law 37 on the re-use of public sector information, has been aligned with new European guidelines. The last update took place on 9 May 2023. See here: https://www.boe.es/buscar/act.php?id=BOE-A-2007-19814&tn=1&p=20230509. 
This amendment is reflected in the fifth additional provision of Regulation (EU) 2022/868 of the European Parliament and of the Council of 30 May 2022 on European data governance and amending Regulation (EU) 2018/1724 (Data Governance Regulation). See here: https ://www.boe.es/buscar/act.php?id=BOE-A-2007-19814&tn=1&p=20230509#:~:text=%5BBloque%2025%3A%20%23dtunica%5D
Likewise, on 27 February 2024, as reflected in Royal Decree 210/2024, the Directorate General for Data and the Directorate General for Digitalisation and Artificial Intelligence, management bodies under the Secretary of State for Digitalisation and Artificial Intelligence of the recently created Ministry for Digital Transformation and the Civil Service, were set up.
1. The Directorate General for Data, as referred to in article 4, is constituted as the unit in charge of promoting the use of data by Public Administrations, companies and citizens, as well as the sharing of data in interoperable data spaces, contributing to the development of the digital single market for Europe, in coordination with the competent sectorial ministerial departments and in collaboration with the Autonomous Communities and Local Entities. 
2. The Directorate General for Digitalisation and Artificial Intelligence, as stated in article 3, assumes among its functions the definition and coordinated management of programmes and actions, boosting and promoting I+D+i in the field of artificial intelligence, including the coordination of the application of open data to artificial intelligence and other digital enabling technologies in the productive sectors of the economy and society."
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"Spain has a national open data action plan (national strategy) that is developed in accordance with the following principles:

- Vision: Promote the opening of public information in Spain through innovative and structuring actions in a global environment of collaboration with public and private partners.
- Mission: Make Spain a national and international benchmark for the opening of public information and the promoting of open data as a key element for improving the standard of living of citizens, the competitiveness of companies and the efficiency of public administrations.
- Objectives: 
o Generate relationships between the actors of the national and international open data ecosystem.
o Create awareness of the value of public data and its re-use, covering sectors in which innovation with data is presented as a key element.
o Guide publishers and re-users on the actions to be carried out in order to contribute to the success of the actions based on data they use.
o Identify business models, re-use companies and start-up success stories in order to favour the extrapolation of successful practices.
o Improve recognition of the public sector efforts on a national scale by making the data generated from this activity available to society.

.- The actions to develop fall within the following lines of action:
1.	Awareness and dissemination of the culture of data management, analysis and exploitation
2.	Sectoral Analysis and Statistics
3.	Regulation on the re-use of public sector information
4.	Strengthening of national cooperation
5.	Strengthening of international cooperation
6.	Enrichment and maintenance of the National Catalogue of reusable public information and support services
7.	Support for Innovation in the creation of data-based products and services

More info: https://datos.gob.es/es/acerca-de-la-iniciativa-aporta";Complement;Yes;"By the end of 2023, the national action plan (national strategy) for open data, whose actions are reflected in the datos.gob.es platform, has been complemented by:
- The creation of the Single National Information Point. This channel responds to the obligation set by the Data Governance Regulation for member countries. 
This channel is a mechanism to encourage the re-use of public sector data that, for certain reasons, cannot be made available as open data because it is protected for reasons of statistical or commercial confidentiality, intellectual property rights, or privacy issues. See here: https://datos.gob.es/es/acceso-nsip
- The recently approved Artificial Intelligence Strategy includes an important initiative linked to the Common Data Governance of the General State Administration. The objective pursued is the development of specialised language models that enable the development of applications for deployment in the public sector. The initiative determines that a common governance model will be established for the data and documentary corpus of the NSA to guarantee the standards of security, quality, interoperability and reuse of all data. See point 5.3 Common data governance of the NSA: https://www.lamoncloa.gob.es/consejodeministros/resumenes/Documents/2024/140524-Estrategia%20de%20Inteligencia%20Artificial%202024-completa.pdf.
- Royal Decree-Law 6/2023, of 19 December, which approves urgent measures for the implementation of the Recovery, Transformation and Resilience Plan for the public service of justice, civil service, local government and patronage, stresses the general principle of data orientation, referring to how: data are key to modern public policies. Data management will enable or facilitate the interoperability of systems, electronic processing, data search and analysis, anonymisation and pseudonymisation, dashboarding, document management and transformation, publication of information on open data portals, production of automated, assisted and proactive actions, use of artificial intelligence systems for public policy making, and transmission of data as determined."
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"Taking into account the guidelines set by national policy in Spain, regional and local administrations have been developing specific open data policies and strategies that complement the work developed at the national level. The following are examples of recent cases corresponding to each of the three levels of administration:

o At the local level, the data strategy of the City Council of Valencia seeks a paradigm shift in the city in terms of the provision and management of open data and encourages the opening of quality public and private data and information. More info: https://www.administracionpublicadigital.es/proyectos/2022/07/valencia-presenta-su-nueva-estrategia-de-datos-abiertos

o At the regional level, in June 2022 the Generalitat Valenciana took decisive steps on the path of open government, which are based on an ambitious open data strategy to produce complete and effective transparency, to enable results-based management and accountability, and to generate a network of relationships with different segments of reusers that can give value to the data and contribute to social, economic, environmental and democratic development.  Más info: https://portaldadesobertes.gva.es/documents/170052220/175652610/2022.06.01+Estrategia+post+consulta+revisada+DG.pdf/a54c9fcc-3559-41fa-9665-f7086af3501f

o At the central administration level, in November 2022, the Ministry of Justice launches the initiative called Data-driven Justice whose main purpose is the creation of a secure, interoperable and reuse-oriented public data space. Among other objectives, it establishes that, given that data must be considered a public good, it is considered a priority to guarantee free access to them. More info: https://datos.gob.es/en/blog/data-and-digital-transformation-justice-system
In addition to these examples, other strategies can be found in the column ""Open data strategy"" of the following file: https://datos.gob.es/es/iniciativas/csv";Complement;Yes;"The trend in Spain is evolving to consider the open data strategy as part of a data governance strategy. This approach ensures the success and sustainability of open data strategies over time. 
Therefore, as a complement to the examples of open data policies and strategies already mentioned, it is worth mentioning the data governance strategies being implemented by numerous administrations in Spain, which include specific actions linked to open plans. 
The following are examples of such strategies involving open data:
- The Basque Government has published the BAC public sector data governance strategy. See here: https://www.euskadi.eus/contenidos/informacion/estrateg_gobernanza_del_dato2/es_def/adjuntos/estrategia_de_gobernanza_de_los_datos_es.pdf
- The Generalitat de Catalunya establishes its data governance model. See here: https://dogc.gencat.cat/ca/document-del-dogc/?documentId=966011
- The Canarian government has approved three key decrees for data governance:
· Decree 89/2023 on the regime of governance and data analysis of the Statistical System of the Canary Islands. See here:  https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=79260
· Decree 84/2023 regulating the data governance and management model for administrative purposes. See here: https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=79252
· Decree 88/2023 establishing the reference model for strategic planning and management and management by objectives. See here: https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=79253
Also, over the last months, several bodies have published Public Sector Information Re-use Plans and Ordinances, linked to their open data policies. These include the following: 
- Ponferrada City Council: https://opendata.ponferrada.org/. Action carried out in accordance with the Plan of measures to promote the reuse of information in Ponferrada City Council: https://opendata.ponferrada.org/iniciativa-ponferrada-30/plan-de-reutilizacion
- Mutualidad General de Funcionarios Civiles del Estado: develops its open data portal: https://www.muface.es/muface_Home/muface/DATOS-ABIERTOS.html  according to a recently published re-use plan: https://www.muface.es/muface_Home/dam/jcr:91d0f33e-c421-487a-a108-21897ffcbeff/PLANDATOSABIERTOSYREUTILIZACIONVERSWEB.pdf
- Pinto City Council: develops its open data portal: https://gobiernoabierto.ayto-pinto.es/datos-abiertos-de-pinto according to a recently published reuse plan: https://gobiernoabierto.ayto-pinto.es/documents/1067857/1773798/Estrategia+y+Plan+Accion+Datos+Abiertos+AytoPinto+2022+reducido.pdf/8888d790-4248-436c-87d9-73321dd19272
- Government of the Balearic Islands: Agreement of the Governing Council of 17 April 2023 establishing measures to promote openness and re-use of data: https://www.caib.es/sites/opendatacaib/f/421020"
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"The open data strategy update, which is in the process of final approval, includes a set of actions. 

See here: https://datos.gob.es/sites/default/files/datosgobes/dimension1_2023_evidenciapregunta_3.png

From the key actions, in the action plan for the 2022-2023 period, the focus will be on the following:

o AWARENESS RAISING ACTIONS
.-> New 2023-24:
a.1. Development of materials linked to the latest European guidelines on high-value data, data Governance Act, data spaces, ethical use of data, etc. 
.-> In progress:
a.2. Development of materials of different nature aimed at:
-- Sensitize society as a whole about the value of data.
-- Enhance data production, sharing and use. 
-- Amplify the efforts made by administrations, companies and individuals in the promotion of data culture.
-- Generate synergies between publishers and reusers of data
-- Establish datos.gob.es as a reference in the field of data and open data.
-- Contribute to consolidate the data communities, and especially the community Contribute as a framework and reference for open public information initiatives in Spain.

a.3. Analysis of the communication strategy and actions carried out by other national and international initiatives, with the aim of strengthening collaboration ties and learning from the good practices of others.

o ANALYSIS AND STATISTICAL ACTIONS
.-> New 2023-24
b.1. X-ray of unmet open data needs. Remediation actions
.-> In progress:
b.2. Analysis of the evolution over time of the growth and queries by sector and by level of administration to the datasets housed in the National Catalog.
b.3. Prospective studies to guide agencies to publish data in line with what is being published by counterpart agencies in other countries.

o REGULATORY ACTIONS
.-> New 2023-24
c.1. Publication of the list of High Value Data Sets (HVDS) by the Data Office beyond those established at European level.
.-> In progress:
c.2. Evolution of the Adjustments of the Technical Standard for interoperability of information reuse in force in Spain towards the DCAT v2.0.1 application profile, and integration with consensus vocabularies on 40 datasets that are established as a reference in the context of smat cities. 

o NATIONAL and INTERNATIONAL COOPERATION ACTIONS
.-> New 2023-24
d.1. Empowerment of the NSDI as a central access point to all national geodata, consolidating information from different sources. Integration with sectoral and open source information from spatial observation.
.-> In progress:
d.2. Intensification of international cooperation, especially with the new European data portal.
d.3. Search for synergies with the digitization and data strategies that are being implemented both globally and by many public organizations.
d.5. Collaboration, participation/joint organization in events, and reinforcement of actions with business associations (e.g. ASEDIE) and civil society organizations.

o ACTIONS LINKED TO THE NATIONAL CATALOGUE AND SUPPORT
.-> New 2023-24
d.1. Evolution of the current platform to a new space in which open data coexist with shared data initiatives launched by different organizations.
.-> In progress:
e.2. Improve the visibility of high-value data offered through APIs, real-time data, as well as the quality of metadata accompanying published data.
e.3. Enrich the interactive map of open data initiatives in Spain: increase in the number of initiatives and information related to each of the initiatives referenced.
e.4. Evolution of the Adjustments to the Technical Standard for interoperability of information reuse in force in Spain in terms of typification of the conditions of use, incorporation of metadata agreed upon geo DCAT, stat DCAT, and integration with vocabularies agreed upon on 40 datasets that are established as a reference in the context of smat cities. 

o INNOVATION ACTIONS 
.-> New 2023-24
f.1. Development on the new platform of the Business Radar, a space from which to give visibility to national initiatives that promote data sharing and/or foster ecosystems that enable the creation of new data-driven products and services.
.-> In progress:
f.1. Promote engagement with communities of developers of open data-based solutions to analyze trends and identify needs and develop data science exercises and publish on the project's Github account (https://github.com/datosgobes).";Complement;Yes;"The 2024-2025 action plan of the national open data policy includes, for each policy area, the following relevant developments:
o AWARENESS RAISING ACTIONS
- Disseminate data and open data through the social network Instagram. The aim is to reach younger audiences between 16 and 35 years of age and thus raise awareness among the younger generation of the value of the great asset that is open data.  See here: https://datos.gob.es/sites/default/files/datosgobes/dimension1_2024_evidencia_p4.png
- Develop podcast interviews with experts in the field of data and open data. They will last between 15 and 20 minutes. Each interview will be associated with a 3–4-minute promotional video interview for use on social media.
o ANALYSIS AND STATISTICS ACTIONS
- Expansion and enrichment through Power BI report of the activity report offered to the public on the activity taking place in the National Open Data Catalogue and on the datos.gob.es platform. 
o REGULATORY ACTIONS
- Within the framework of actions linked to the Technical Interoperability Standard for the reuse of information resources, publication in the Official State Gazette of the DCAT-AP-ES and the associated application guide.
o NATIONAL and INTERNATIONAL COOPERATION ACTIONS
- Significant improvements in the map of initiatives published on datos.gob.es in terms of functionality and content. To enrich the representation, the mapping functionalities of Power BI will be used. To expand on the information provided, the answers provided by the administrations to the following questionnaire, Assessment of the reusable public data ecosystem in Spain 2024, will be used. See here: https://datos.gob.es/es/evaluacion-del-ecosistema-de-los-datos-publicos-reutilizables-en-espana-2024
o ACTIONS LINKED TO NATIONAL CATALOGUE AND SUPPORT
- We are working on a new version of the platform linked to the open data policy of the    Spanish government, with the aim of evolving the components of the current platform, im-proving its functionality, usability and accessibility, and responding to the obligations set by the current European regulations on open data, bringing together initiatives around the data with special attention to data spaces. It will take into account the obligations set in the scope of Directive (EU) 2019/1024 of the European Parliament and of the Council and the DCAT application profile for metadata catalogues in its latest consolidated version. To this end, the ‘Advanced Service for the new Datos.gob.es platform’ 024/23-SI has been tendered for 4 years for the value of 2,305,761.39 euros. See here: https://contrataciondelestado.es/wps/portal/!ut/p/b0/04_Sj9CPykssy0xPLMnMnMz0vMAfIjU1JTC3Iy87KtUlJLEnNyUuNzMpMzSxKTgQr0w_Wj9KMyU1zLcvQjk0qKSr3K3bxSc1ydAoKcKqJM8rxUDdJtbfULcnMdATu3a7M!/

o	INNOVATION ACTIONS
- The novel innovation action for the period 2024-2025 is associated with the development of complex, step-by-step documented open data analyses. The activity is presented as a training action that demonstrates the value of this asset when it comes to generating knowledge that helps innovation. To date, data visualisations have been carried out. For the new period, data analysis of a certain technical complexity is sought. See example here: https://datos.gob.es/es/documentacion/ruta-la-electrificacion-descifrando-el-crecimiento-del-vehiculo-electrico-en-espana"
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The national open data policy, reflected in the recently amended Law 37/2007, in its Article 5.4, refers: ""The subjects referred to in Article 2 shall make available the dynamic data available to them for reuse immediately after collection, through appropriate application programming interfaces (APIs) and, where appropriate, in the form of bulk download"". 

The policy as a whole, and this article in particular, is mandatory for the General State Administration, the Administrations of the Autonomous Communities and the Entities that make up the Local Administration, among other public bodies.
In turn, the Government of Spain is in the process of approving a Data Strategy in the General State Administration, which includes an axis 3 called ""Strengthening the generation and use of open data"" (see: https://datos.gob.es/sites/default/files/datosgobes/dimension1_evidenciapregunta_6a.png).  

This strategy states: ""The publication itself must be done considering the FAIR principles (findable, accessible, interoperable and reusable), considering current and historical information, evidencing the dynamic nature of the data, publishing under simple open licensing conditions and guaranteeing certain service conditions"".";Complement;Yes;In response to the constant push for the publication of dynamic data, the number of datasets referenced in the national catalogue with an update frequency of daily or less amounts to 1116 datasets in May 2024.
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"In the Data Strategy for the General State Administration, which is in the approval process, the importance of publication and access to geospatial data is emphasised through the following reference:

“Citizens, within “citizen science” initiatives, adopting a role as data donors, can contribute information that is very valuable in the preparation of the public sector data space, information to be included within the set of information accessible for public purposes, research and for its publication as open data. The data altruism policy must define the general interest objectives for which citizens would be willing to donate their data and create a platform that permits that altruism to be exercised. The policy should seek integration with the public sector data space and with distributed digital identity systems (“digital wallet”).”";Complement;Yes;"See examples here: 
· https://opendata.aragon.es/-/informacion-calidad-cobertura;
· https://www.planttes.com/mapa/index.php
· https://opendata.aragon.es/servicios/landing-open-social-data
· https://redcambera.org/proyectorios/"
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"The National Open Data Strategy refers the obligation to converge in National Catalogue with data.europa.eu in the following terms:
""The portal datos.gob.es should be consolidated as the single point of access to all open data sets by federating the data published by the different administrative levels. [..]. Likewise, datos.gob.es should interact with the European data portal (data.europa.eu) by federating its data catalogs.""
As well, the national open data action plan refers to the National Catalogue as “the single channel of communication with the European data portal, a space in which it is possible to locate data available for re-use from the various member countries and of a different nature (spatial, in real time, etc.).”
Likewise, it emphasizes the idea that thanks to the existence and compliance with European standards, it is possible to synchronize the data published by the Spanish administrations in the national Catalogue daily at data.europa.eu.
More info: https://datos.gob.es/es/acerca-de-la-iniciativa-aporta#tabs-2";Complement;Yes;"As a result of the permanent interest that the data published in Spain as open data are reflected in data.europa.eu, constant communication is maintained with those responsible for the maintenance of the European data catalogue to ensure permanent synchronisation between the Spanish national catalogue and the European catalogue. As a result of this synchronisation and the necessary adjustments, the number of datasets published in the National Catalogue: https://datos.gob.es/es/catalogo  corresponds to the number of datasets referenced in the European portal: https://data.europa.eu/data/datasets?locale=es&amp;dataScope=countryData&amp;country=es&amp;catalog=datos-gob-es&amp;page=1 
In this way, all types of data, including those generated by citizens, will be reflected in the National Catalogue. An example would be the data published by the Government of Aragon produced by citizens in their interaction with social networks. This type of data is present in the National Catalogue: See here: https://datos.gob.es/es/catalogo/a02002834-datos-de-open-social-data."
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Both, the National Open Data Strategy and the Data Strategy in the General State Administration, seeks to ensure that public administrations are the first beneficiaries of actions for the reuse of open data. 

.- The National Open Data Strategy, specifically in the chapter “Actions to be deployed”, establishes the commitment to encouraging the consumption of open data by the administrations themselves are highlighted.

.- The Data Strategy in the General State Administration, in its chapter on open data, stresses the need to promote the reuse of public sector information in the private and public spheres, and to promote the creation of new products and services from sectorial thematic ";Complement;Yes;"As an example of Spain's interest in public administrations being the main beneficiaries of the reuse of the data they generate as open data, a report is being developed by the central administration which includes applications, platforms and services that are being used by some municipalities and whose use could be extended to others if they were to publish the necessary data in the same format. The report, which runs under the title: ""Municipal Innovation through Open Data: Solutions to make Municipal Services more accessible"", will see the light of day in the coming weeks. 
Likewise, through the official courses offered by the National Institute of Electronic Administration (INAP), the publication of open data is supported to the extent that public employees are trained to do so. See here:
https://datos.gob.es/sites/default/files/datosgobes/dimension1_2024_evidencia_p28.pdf"
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The General State Administration Data Strategy and the National Open Data Strategy seek at all times to encourage the re-use of data by the private sector. 

 -. The General State Administration Data Strategy, in its chapter on open data, emphasizes the need to promote the re-use of public sector information in the private and public spheres, and to promote the creation of new products and services from sectoral thematic communities.

-. The main objectives of the National Open Data Strategy in force include “Identifying business models, reusing companies, success stories, start-ups, etc. in order to favour the extrapolation of successful practices.” In this regard, and in order to encourage the re-use of data by the private sector, they regularly document success stories of re-use companies that base their business on the use of open data. 

At this time, the Catalogue of companies includes 87 cases. See here: https://datos.gob.es/es/casos-exito. 

Likewise, specific solutions are also documented, which are collected in a Catalogue of solutions, which currently includes 424 uses. See here: https://datos.gob.es/es/aplicaciones.";Complement;Yes;To encourage the reuse of open data by the public sector, examples of use cases and data-driven business models are constantly being published on the datos.gob.es platform, a virtual space associated with the national open data policy. Since the last time information was provided, collections have increased to 452 applications and 90 business models. See here. https://datos.gob.es/es/aplicaciones and here: https://datos.gob.es/es/casos-exito
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"The Spanish Government's open data strategy, currently under revision, requires administrations to publish data on the General State Administration's data platform, which functions as a data inventory. This publication must be made under service conditions that enable both access to the data within the Administration and access to the general public.  

The objective is to advance in the role of administrations as consumers of information generated from other agencies, as reflected in the internal document: Inventory of Information Reuse Data of February 2023. See here: https://datos.gob.es/sites/default/files/datosgobes/dimension1_2023_evidenciapregunta_9a.png

This data inventory is based on the following conviction: ""The action and communication of administrations can be more effective, more transparent and more sustainable if they are based on valid and solid data provided in real time at the time of decision making.  An intensive use of data allows to boost innovation in public sector actions, facilitating the contrast of ideas, promoting creativity and the maximum use of resources in the general framework of a modern, participative, open and useful public management to solve or improve social problems and challenges"".";Complement;Yes;"Recently, the Generalitat de Catalunya, through the Directorate General for Open Data, Transparency and Collaboration, has drawn up a single inventory of databases as an ordered and descriptive register of each one of the data files available in the Administration of the Generalitat de Catalunya and in the entities of its public sector. See here: https://administraciodigital.gencat.cat/ca/dades/dades-obertes/projectes/inventari-de-dades/

Likewise, the Spanish Federation of Municipalities and Provinces (FEMP) approved at the end of 2023 a standard ordinance for local entities to establish their strategy on transparency and data governance. Article 9 of the standard ordinance establishes the requirement for local authorities to create an Inventory of datasets and information sources. Specifically, it establishes that ""the Administration of the local authority shall have an Inventory of data sets and sources of information, the content, format and means for management of which shall be adapted to the size and complexity of the local authority [...]"" As descriptive information on data sets and sources of information, the following should be included as far as possible: 
(a) Name and description of the data set. 
(b) the body or unit responsible for its management. 
(c) where appropriate, its constituent subsets and relationships or dependencies with other data sets. 
d) Fields, indicating which are mandatory and which are optional. 
(e) where appropriate, spatial resolution and level of disaggregation, with the applicable mini-mum threshold, where applicable. 
(f) information that facilitates the understanding of the data. 
(g) Minimum and, where appropriate, recommended update frequency. 
(h) the format(s) in which it is available, as well as any data structures, vocabularies or taxon-omies used, where appropriate.
i) In the data obtained, the origin or origins, including, where appropriate, the URL or URI, and the method of collection, with an indication of the reliability and other relevant circumstances. In the data generated, the methods and algorithms used. 
(j) if it contains personal data, a link to the information on it contained in the register of pro-cessing activities. 
(k) where appropriate, the categories of administrative acts and other decisions which are gen-erated automatically from the data, with the information provided for in Article 23(3). 
l) If applicable, the periodicity and form of generation of the historical files. 
m) A standard unique identifier, preferably the DOI. 
(n) the repository where it is kept and the computerised means used for its management. 

See more here: https://drive.google.com/file/d/1vam_TAcMrdXr0oKwbiFq1OyHpngi1Lpb/view"
