ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";other;"The Programme of the Prime Minister Marin's Government 2019 aligned that the Government will add depth to the management of information policy (https://valtioneuvosto.fi/en/marin/government-programme/best-public administration-in-the-world). Openness of public information is the overarching principle of information policy. The Government continued resolutely the earlier efforts to open up public information resources, and it drew up a quality criteria (https://www.stat.fi/org/tiedon-laatukehikko/index_en.html) that can facilitate the use of such resources.

Finland has transposed the Directive 2019/1024 on open data and the re-use of public sector information (ODD) by amending the Act on Public Administration Information Management (906/2019) and with the Openness of Government Activities Act (621/1999 with amendments, https://www.finlex.fi/en/laki/kaannokset/1999/en19990621) on the basis of the principle of openness contained in it.

The Openness of Government Activities Act (621/1999 with amendments, https://www.finlex.fi/en/laki/kaannokset/1999/en19990621) provides for the general right to access any official document, including electronic records, in the public domain held by public authorities and private bodies that exercise public authority. Applicants are not required to provide reasons for their request or to verify their identity unless they are requesting personal or other confidential information. Restrictions apply to non-official documents, documents relating to foreign affairs, criminal investigations, police matters, information concerning military intelligence and the armed forces, as well as confidential business activities. According to the Government Programme 2019, the need to update the Openness of Government Activities Act to extend its application to data and information more broadly will be examined. The Ministry of Justice has set up a working group for 2021-2023 for the update of the Openness of Government Activities Act (https://oikeusministerio.fi/julkisuuslain-ajantasaistaminen).

There is a wider information policy report which covers a larger scale of different information policy aspects, including public, private and 3rd sectors. The Report on Ethical Information Policy in an Age of Artificial Intelligence was published on December 2018 (https://vm.fi/en/information-policy-report). It covers open data as a part of information policy and emphasizes equal access to data, while stressing the ethical development of artificial intelligence. The policy goals are fostering the progress of entire society by advancing the creation of new skills and capabilities, encour-aging innovations and innovativeness, and by improving our national competitiveness. Open data is mentioned as one of the strengths of Finland, with wide swathes of public sector data already open, and as one of the policy goals with advance access to data, transferability and compatibility of data across the Single Digital Market. Open data is also inferred as one of the enablers for de-veloping artificial intelligence based on open information and technologies, and as one of the future development potentials, with further open data policies and as part of the future strategy development.
The Act on Public Administration Information Management (906/2019, https://www.finlex.fi/en/laki/kaannokset/2019/en20190906.pdf) aims to ensure harmonised and high-quality management of data as well as secure processing of datasets of authorities to implement the principle of openness. It aims to enable secure and efficient exploitation of the datasets of authorities so that an authority may attend to its tasks and provide its services suc-cessfully and in a qualitative manner in compliance with good governance; and to promote the interoperability of information systems and information resources.

Since 2020 several parliament parties are worked in a free-form and non-political working group with an interest to the cross-party discussion on information policy topics. The Working Group of Information Policy Actors from all parliamentary parties, in short, 'the collaborative group on information policy' tackles topics of interest that come up for discussion both nationally and internationally (https://tietopolitiikka.fi/information-policy-working-group/).";Confirm;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"The Government Resolution on the Opening Up and Use of Public Data with its measures to implement seeks to improve the opportunities of all central government organisations to utilise data. It is hoped that the same objectives will also be picked up by the rest of public administration. (https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/164023/VN_2022_33.pdf) 
The resolution sets out the strategic objectives for information policy, divided into four themes:
1. Steering, coordination and cooperation
2. Strategy and action
3. Information management 
4. Enabling factors

The Open Government Strategy 2030 for Finland (https://avoinhallinto.fi/assets/files/2021/03/Open_Government_Strategy2030.pdf) creates another strategical framework for openness with its key elements of open government as reinforcing dialogue in society, promoting everyone’s right to understand and to get across; and having leadership and competence ensure that everyone has the opportunity to participate. It also reminds Finland’s active role to promote open government on the international level. The strategy includes open data in its open government goal with progress measuring elements. 

The IV Finnish Open Government Action Plan 2019–2023 (https://avoinhallinto.fi/assets/files/2019/09/Avoin-hallinto_IV_toimintaohjelma_LOPULLINEN_240919.pdf, in Finnish and Swedish only) emphasises openness and inclusion in three different dimensions: openness as a shared value, a strong legal foundation to openness and the continuous development of openness. These themes encompassed the following commitments for the implementation phase: 1) lasting openness by pervading all government actions and development measures; 2) the implementation of the Open Government Strategy, 3) creation of a Transparency Register to offer citizens information on the parties that seek to influence decision making; and 4) commitment and measures on open data. The realisation of commitments are monitored and evaluated during the implementation and afterwards. A new V Finnish Open Government Action Plan 2023-2027 is currently being prepared (https://avoinhallinto.fi/v-toimintaohjelman-laadintaprosessin-taustamuistio/, in Finnish and Swedish only).";Complement;Yes;"The Government Resolution on the Opening Up and Use of Public Data, with its measures to implement it, seeks to improve the opportunities of all central government organisations to utilise data. It is hoped that the same objectives will also be picked up by other public sector bodies. (https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/164023/VN_2022_33.pdf) 
The resolution has set out the strategic objectives for information policy, divided into four themes:
1. Steering, coordination and cooperation
2. Strategy and action
3. Information management 
4. Enabling factors

The Open Government Strategy 2030 for Finland (https://avoinhallinto.fi/assets/files/2021/03/Open_Government_Strategy2030.pdf) creates another strategical framework for openness with its key elements of open government as reinforcing dialogue in society, promoting everyone’s right to understand and to get across; and having leadership and competence ensure that everyone has the opportunity to participate. It also reminds Finland’s active role to promote open government on the international level. The strategy includes open data in its open government goal with progress measuring elements. 

The V Finnish Open Government Action Plan 2023-2027 (https://avoinhallinto.fi/assets/files/2023/10/Avoin-hallinto_-V-toimintaohjelma_muutokset-vs-lausuntokierros-1.pdf, in Finnish and Swedish only) includes the following commitments: 1) opening data related to public procurements, 2) sharing best practices in the openness of the public sector, and 3) developing practices and expertise when it comes to sharing open data in exceptional circumstances in a safe manner. (page 5) Opening public sector data in open and machine readable formats remains one of the core pillars of Open Government work. (page 7)"
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"For example, the city of Helsinki has a data strategy (https://digi.hel.fi/english/helsinki-city-data-strategy/) and open data is a part of it. Usually open data measures have been included to local level open government strategies and work programmes. Such as city of Oulu's (https://www.ouka.fi/oulu/paatoksenteko-ja-hallinto/avoin-hallinto/-/asset_publisher/1WyBmeR573Xc/content/kaupunginhallituksen-paatoksia-24-1-2022/52058) and city of Turku's (https://www.turku.fi/avoindata) resolutions.

The Association of Finnish Local and Regional Authorities has a digital roadmap for municipalities to strengthen the management and understanding of digitalisation in municipalities. Interoperable digital public services are a key part of the roadmap. In this context, measures are proposed also related to open data, the reuse of open data and interface development. More information available in Finnish and Swedish: https://www.kuntaliitto.fi/tietoyhteiskunta-ja-digitalisaatio/kuntien-digitiekartta/ and https://miro.com/app/board/uXjVPC2xOJ8=/";Confirm;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;The Government Resolution on the Opening Up and Use of Public Data (http://urn.fi/URN:ISBN:978-952-383-752-2, a pdf-file with a description sheet in English) sets out the strategic objectives for information policy. The resolution is divided into four themes which are 1. Steering, coordination and cooperation,  2. Strategy and action, 3. Information management and 4. Enabling factors. Each theme describes certain strategic objectives which are divided into 16 main objectives and several sub-objectives that support it. The resolution contains objectives like “The organisation's strategy supports the using and opening up of information.”, “Data is used responsibly and steps are taken to prevent the dissemination of false information in society.” and “Data is interoperable and of high quality in accordance with national quality criteria.” A roadmap of measures to support the implementation of the objectives has been prepared for central government. The first version of the road map is included with the resolution. More detailed preparation, processing and other procedures relating to it will be agreed separately on the basis of the resolution.;Confirm;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The nation wide ‘The Opening Up and Using Public Data’ project coordinated by the Ministry of Finance of Finland developed several measures regarding open APIs, technical and semantic interoperability, as well as data quality in order to incentivise and support the publication of and access to real-time or dynamic data. The project created the API Principles to provide common instructions and recommendations for API development by adapting the JRC API Framework into Finnish public administration (https://joinup.ec.europa.eu/collection/api4dt/news/api-framework-implemented-finland/; http://urn.fi/URN:ISBN:978-952-367-915-3). The Act on Information Management in Public Administration (906/2019, https://www.finlex.fi/fi/laki/kaannokset/2019/en20190906.pdf) includes sections of the disclosure of datasets via a technical interface both to the authorities and to other than authorities (Sec. 22 & 24).

The existing Information Policy sets open APIs as a goal for the public sector, because open APIs are seen as the most future-proof way and as an incentive to avoid future maintenance when distributing high-quality always up-to-date and real-time data in a systematic, machine-readable format. New business models and new combinations of skills, from different fields and branches of public and private sector, enabled by the open APIs are seen as additional incentives. Open APIs are also seen as one of the key enablers for future growth.";Confirm;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";no;;Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The information policy report 'Report on Ethical Information Policy in an Age of Artificial Intelligence' (https://vm.fi/en/information-policy-report) emphasizes equal access to data, while stressing the ethical development of artificial intelligence. Open data is explicitly mentioned as one of the strengths of Finland, with wide swathes of public sector data already open, and as one of the policy goals with advance access to data, and transferability and compatibility of data across the Single Digital Market. Open data is also inferred as one of the enablers for developing artificial intelligence based on open information and technologies, and as one of the future development potentials with further open data policies.

In line with the objectives of Prime Minister Marin's Government Programme 2019, the efforts to open up public information resources have continued, and the Ministry of Finance and Statistics Finland have jointly drew up a quality criteria that can facilitate the use of such resources (https://www.stat.fi/org/tiedon-laatukehikko/index_en.html). A recommendation of the Information Management Board related to the quality criteria is currently being prepared (https://www.lausuntopalvelu.fi/FI/Proposal/Participation?proposalId=59eadc66-f50a-426a-abab-6808e777b6de, in Finnish only).

One of the aims of the Act on Public Administration Information Management (906/2019, https://www.finlex.fi/en/laki/kaannokset/2019/en20190906.pdf) is to enable secure and efficient exploitation of the datasets of authorities. Thus that, an authority may attend to its tasks and provide its services to public administration clients successfully and in a qualitative manner, in compliance with good governance.

The Ministry of Finance’s project ‘Opening Up and Using Public Data’ (2020-2022) promoted wider and more effective use of public data throughout society (https://vm.fi/en/opening-up-and-using-public-data). The project enhanced the use and share of public data in order to support the data holders and publishers. As a part of the project, the operational model for data sharing was created to make public sector data available more systematically either as open data or for wider use than at present, primarily via APIs (https://www.avoindata.fi/en/operating-model). The operating model supports data sharing by describing the stages, obligations and recommendations that public administration actors should take account when planning any data opening actions. Also the resolution of the strategic aims on using and opening up data to make the policy goals more concrete and enhance their implementation were adopted at the government session on 17 March 2022 (https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/164023/VN_2022_33.pdf).";Complement;Yes;"The information policy report 'Report on Ethical Information Policy in an Age of Artificial Intelligence' (https://vm.fi/en/information-policy-report) emphasizes equal access to data, while stressing the ethical development of artificial intelligence. Open data is explicitly mentioned as one of the strengths of Finland, with wide swathes of public sector data already open, and as one of the policy goals with advance access to data, and transferability and compatibility of data across the Single Digital Market. Open data is also inferred as one of the enablers for developing artificial intelligence based on open information and technologies, and as one of the future development potentials with further open data policies.

In line with the objectives of Prime Minister Marin's Government Programme 2019, the efforts to open up public information resources have continued, and the Ministry of Finance and Statistics Finland have jointly drew up a quality criteria that can facilitate the use of such resources (https://www.stat.fi/org/tiedon-laatukehikko/index_en.html). 

One of the aims of the Act on Public Administration Information Management (906/2019, https://www.finlex.fi/en/laki/kaannokset/2019/en20190906.pdf) is to enable secure and efficient exploitation of the datasets of authorities. Thus that, an authority may attend to its tasks and provide its services to public administration clients successfully and in a qualitative manner, in compliance with good governance.

The Ministry of Finance’s project ‘Opening Up and Using Public Data’ (2020-2022) promoted wider and more effective use of public data throughout society (https://vm.fi/en/opening-up-and-using-public-data). The project enhanced the use and share of public data in order to support the data holders and publishers. As a part of the project, the operational model for data sharing was created to make public sector data available more systematically either as open data or for wider use than at present, primarily via APIs (https://www.avoindata.fi/en/operating-model). The operating model supports data sharing by describing the stages, obligations and recommendations that public administration actors should take account when planning any data opening actions. Also the resolution of the strategic aims on using and opening up data to make the policy goals more concrete and enhance their implementation were adopted at the government session on 17 March 2022 (https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/164023/VN_2022_33.pdf)."
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The information policy report 'Report on Ethical Information Policy in an Age of Artificial Intelligence' (https://vm.fi/en/information-policy-report) covers both public and private sector, while emphasizing equal access to data and stressing the ethical development of artificial intelligence. Open data is inferred as one of the enablers for developing artificial intelligence based on open information and technologies, and as one of the future development potentials with further open data policies.

In accordance with the Prime Minister Marin's Government Programme 2019, the Government has continued resolutely the earlier efforts to open up public information resources for public and private sector use. The Ministry of Finance and Statistics Finland have jointly drew up quality criteria that can facilitate the use of such resources (https://www.stat.fi/org/tiedon-laatukehikko/index_en.html). A recommendation of the Information Management Board related to the quality criteria is currently being prepared (https://www.lausuntopalvelu.fi/FI/Proposal/Participation?proposalId=59eadc66-f50a-426a-abab-6808e777b6de).

The Ministry of Finance’s project ‘Opening Up and Using Public Data’ (2020-2022) promoted wider and more effective use of public data throughout society, both public and private sector, and strengthened and concretised these information policy and strategy goals (https://vm.fi/en/opening-up-and-using-public-data). The project enhanced the use and share of public data in order to support the data holders and publishers.";Complement;Yes;"The information policy report 'Report on Ethical Information Policy in an Age of Artificial Intelligence' (https://vm.fi/en/information-policy-report) covers both public and private sector, while emphasizing equal access to data and stressing the ethical development of artificial intelligence. Open data is inferred as one of the enablers for developing artificial intelligence based on open information and technologies, and as one of the future development potentials with further open data policies.

In accordance with the Prime Minister Marin's Government Programme 2019, the Government has continued resolutely the earlier efforts to open up public information resources for public and private sector use. The Ministry of Finance and Statistics Finland have jointly drew up quality criteria that can facilitate the use of such resources (https://www.stat.fi/org/tiedon-laatukehikko/index_en.html). 

The Ministry of Finance’s project ‘Opening Up and Using Public Data’ (2020-2022) promoted wider and more effective use of public data throughout society, both public and private sector, and strengthened and concretised these information policy and strategy goals (https://vm.fi/en/opening-up-and-using-public-data). The project enhanced the use and share of public data in order to support the data holders and publishers."
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"The mandate to describe and maintain a data inventory is a part of statutory task of maintaining the Information Management Model for the most of the public sector bodies since 2021. According to the Act on Information Management in Public Administration (906/2019, https://www.finlex.fi/fi/laki/kaannokset/2019/en20190906.pdf), each of public sector information management entity shall maintain an information management model, which defines and describes the information management in its operating environment. The Information Management Model is maintained to design and implement the management of services, consideration, and datasets; to implement the rights and restrictions relating to access to information; to decrease multiple collection of information; to implement the interoperability of information systems and information pools; and to maintain information security. The Ministry of Finance of Finland maintains the Public Sector Information Management Map, which describes the data resources to utilise and the procedures for accessing data from the data resources (https://www.exploreadministration.fi/information-management-map-of-public-administration/).

The Act on the Openness of Government Activities (621/1999, https://www.finlex.fi/en/laki/kaannokset/1999/en19990621) mandates the catalogues listing the data inventories to be published as open data. These catalogues give an indication on what each data or information repository holds, for example the City of Vantaa's catalogues of information systems (https://hri.fi/data/fi/dataset/vantaan-kaupungin-tietojarjestelmaluettelo). The dataset provides a list of all information systems in use at the city and information on system ownership, technical responsibility and a brief description of each information system.

The GDPR has also necessitated that all data providers review their data storages and identify personal data for the GDPR coverage, and as part of this review, build the necessary metadata to be able to properly catalogue and identify the data for each data repository.

To make the descriptive metadata of these models and lists better semantically interoperable, data holders and model maintainers, from both public and private sector, can utilise the Interoperability Platform (https://dvv.fi/en/interoperability-platform), a workbench and a set of tools, for defining and describing interoperable data content. The platform consists of glossaries, code sets and data models needed for data flows and in other areas of information management. The tools and the existing data specifications are available free of charge for terminology work, management of code sets, and data modelling. Data content producers are responsible for their own data specifications and their quality, and for keeping them up to date.";Confirm;;
