ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Open Data Policy
https://rdd.gov.hr/UserDocsImages//SDURDD-dokumenti//POLITIKA%20OTVORENIH%20PODATAKA.pdf 
The Right of Access to Information Act (RAIA) (Official Gazette 25/13, 85/15 and 69/22)
http://digarhiv.gov.hr/arhiva/1912/162307/FOI_Act-ENG_Version.pdf
In order to comply with requirements of the Directive (EU) 2019/1024 of the European Parliament and of the Council of 20 June 2019 on open data and the re-use of public sector information (OD Directive), the Croatian Parliament had adopted the Amendments to the RAIA (“Official Gazette”, No. 69/22), which entered into force in June 2022.
https://sredisnjikatalogrh.gov.hr/cadial/searchdoc.php?action=search&lang=hr&query=%22zakon+o+pravu+na+pristup+informacijama%22&searchText=on&searchTitle=on&resultdetails=basic&annotate=on&bid=F4NtHfvX0ieov0dK%2fqFcuw%3d%3d
We started activities drafting new Open Data Policy and the associated Action Plan.
The Croatian Parliament had adopted the Digital Croatia Strategy for the period  until 2032 (NN 002/2023).  The importance of open data is highlighted in the Strategy.
https://rdd.gov.hr/UserDocsImages//SDURDD-dokumenti//Strategija_Digitalne_Hrvatske_final_v1_EN.pdf";Complement;;Working Group (experts from the relevant public authorities) has drafted the text of the new Open Data Policy and the Action Plan for the Policy implementation (for year 2024 and 2025). The process of adoption and entry into force is under way. Expected adoption time: September 2024.
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";not applicable;There is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc.;Complement;;Working Group (experts from the relevant public authorities) has drafted the text of the new Open Data Policy and the Action Plan for the Policy implementation (for year 2024 and 2025). The process of adoption and entry into force is under way. Expected adoption time: September 2024. It is important to mention that the National Development Strategy of the Republic of Croatia until 2030 (https://hrvatska2030.hr/wp-content/uploads/2021/02/Nacionalna-razvojna-strategija-RH-do-2030.-godine.pdf) and The Digital Croatia Strategy for the period until 2032 ( https://rdd.gov.hr/UserDocsImages//SDURDD-dokumenti//Strategija_Digitalne_Hrvatske_final_v1_EN.pdf ), as an umbrella strategic document and the most important strategic document for digitization, addresses open data.
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";no;;Confirm;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";no ;Response to reviewer: Action plan for implementing Open Data policy was never formalized, so the measures were not implemented;Complement;;Working Group (experts from the relevant public authorities) has drafted the text of the new Open Data Policy and the Action Plan for the Policy implementation (for year 2024 and 2025). The process of adoption and entry into force is under way. Expected adoption time: September 2024.
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";No;"Measures implemented in open data policy promote publishing using the scoring system and the use of real-time data / dynamic data sets. 
Response to reviewer: please chanege our answer to NO";Complement;;Working Group (experts from the relevant public authorities) has drafted the text of the new Open Data Policy and the Action Plan for the Policy implementation (for year 2024 and 2025). The process of adoption and entry into force is under way. Expected adoption time: September 2024.
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";no;;Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Organizing public events that promote the re-use of open data for different target groups.
Providing online education (webinar) about re-use of open data.
Edukacija Povjerenika
Response to reviewer: Education for state, public and local servants within the State School of Public Administration
https://dsju.hr/workshop-details/3169
https://dsju.hr/workshop-details/2880
https://dsju.hr/workshop-details/2807
https://dsju.hr/workshop-details/2761";Complement;;https://www.dsju.hr/en/programi-i-usluge/raspored/program/?webid=330  The purpose of education is to professionally train and train officials in public authorities for the application of the provisions of the Act on the Right of Access to Information in the part that prescribes the obligation to proactively publish information on the website in an easily searchable manner and in machine-readable form, as well as in the identification and publication of datasets in order to make available information for re-use and provide information at the request of users.
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";No;"Organizing public events that promote the re-use of open data for different target groups.
Providing online education (webinar) about re-use of open data. 
Response to reviewer: please chanege our answer to NO";Complement;;Through Action Plan, Measure 3, it is necessary to provide support in raising awareness of public authorities, citizens and entrepreneurs about the social and economic benefits of open data, and to encourage innovative ways and promote best practices of the use of open data, as well as to ensure continuity of dialogue between competent state administration bodies, local and regional self-government units, the private sector, civil society organizations and academia regarding open floor management.
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"Such obligation is not explicitly stated in the Open Data Policy, but there is legal obligation stipulated by the Right to Access to Information Act – according to Art 10. Para 1. Pt. 5. all the public authority bodies (including local and regional self-government units) are obliged to publicise registers and databases from their domain, or the information on the registers and databases they possess, as well as publicising the conditions to access and re-use of the data. In addition, Art 28. Para 1. of the RAIA imposes the obligation of all the public bodies to publish the data for re-use, which should be easily searchable, described by metadata, available in machine-readable and open format, aligned to open standards.

In addition, publication of the metadata is necessary also within the open licence that we have protected some register (open licence is necessary). It is regulated by the Rulebook on the types and contents of permits that determines the conditions of reuse of information, Art 4. Para.5: Metadata is always published with an open license, regardless of what permission the publisher publishes a set of data to which the metadata relates.";Confirm;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"According to the Art 10. Para 1, pt. 5. of the RAIA, the public bodies are obliged to proactively publicise all the registers and databases within their scope of work, including the information on inventories containing data which can not be published as open data.   
For example, The State Geodetic Office maintains data inventory (link: https://dgu.gov.hr/UserDocsImages//dokumenti/Pristup%20informacijama/Zakoni%20i%20ostali%20propisi/Ostalo//Katalog_podataka_DGU_2018_v11.pdf), which also includes geospatial data that could not be published in open format  - however, the data is available upon request and charged in accordance with the Decree on Costs of Re-Use of Information (""""Official Gazette"""", No 87/18.).";Confirm;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"Through the Action Plan for the implementation of open data policy, work is being done to encourage the opening of datasets that are identified as high-value sets for state administration bodies and on establishing a list of high-value datasets and competent public authorities. The action plan defines concrete measures and activities for the opening of high-value gatherings in accordance with 6 areas in the implementing regulation. Some company and mobility datasets are marked ""N/A"" because certain institutions did not provide us with data for these topics."
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"https://dgu.gov.hr/otvoreni-podaci/6116 Above the data sets, DGU has put the title high-value data sets. For others, it is determined that such datasets are of high value. https://mingor.gov.hr/otvoreni-podaci/8611      https://mup.gov.hr/otvoreni-podaci/287522    https://poljoprivreda.gov.hr/otvoreni-podaci/5139   
Public sector organizations make HVDs available free of charge, in a machine-readable format, via an application programming interface (API) and, where appropriate, as a bulk download."
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;No;"Working Group (experts from the relevant public authorities) has drafted the text of the new Open Data Policy and the Action Plan for the Policy implementation (for year 2024 and 2025). The process of adoption and entry into force is under way. Expected adoption time: September 2024. 
The text of the Open Data Policy envisages Coordination made up of relevant bodies. https://rdd.gov.hr/politika-otvorenih-podataka/281?lang=en                     Recognizing the potential of open data for the overall development of the Republic of Croatia, the Government of the Republic of Croatia adopted the Open Data Policy at its 107th session on July 19, 2018, which represents the strategic direction of further development of the policy of openness and transparency of public administration, the implementation of which aims to create and develop a stimulating environment for opening the data of public authorities and their reuse in order to create new social and economic value."
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;"Local/regional bodies have autonomy in open data publishing. We are coordinated at multiple level (both national and regional). 
Response to reviewer: OK";Confirm;;
