ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Government Decree No. 1310/2015 (V. 21.) on the necessary measures for the widespread of the re-use of public data which requires the government to prepare a White Paper, including a model quantifying the socio-economic benefits, taking into account practical experience and good practices abroad, to establish a coherent government data policy to promote the re-use of public data, and to make it available for academic and public debate.

https://www.magyary.hu/wp-content/uploads/2019/07/AdatpolitikaiStrate%CC%81giaiJavaslat.20190627.Magyary.pdf

https://www.magyary.hu/wp-content/uploads/2019/09/Adatpolitikai_feher_konyv_201608.pdf

The White Paper on National Data-policy was published in 2016. The policy’s main focus is on the PSI re-use. In addition, the Government Decision 1573/2020 (IX. 9.) on Hungary's Artificial Intelligence Strategy (hereinafter: AI Strategy) and certain measures necessary for its implementation have a dedicated open data leg - since the availability of open data (and PSI) is a key factor in the success of any AI initiative. Within the framework of the AI Strategy, the National Data Asset Management Agency has been established. The National Data Asset Management Agency is responsible for establishing the legal framework for open data policy in Hungary.

https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf

The government's commitment to the development of the data economy and the reuse of public data was embodied when the Government adopted Act No. XCI of 2021 on the National Data Asset, which was follow up by the Government Decree No. 607/2021 (XI. 5.) on certain detailed rules related to the utilisation of national data assets. The Decree regulates in detail the tasks of the National Data Assets Management Agency and states that the Agency shall be responsible for the implementation of the provisions of the Decree. It specifies the tasks of the Agency which, according to the Act, may participate in the re-use of public data under Act No. LXIII on Public Data, thus contributing to a more efficient channeling of available public data sets into the domestic economy. The Agency operates the National Public Data Portal in accordance with Article 34(5) of the Act No. XCI of 2021 on the National Data Asset.
https://net.jogtar.hu/jogszabaly?docid=a1200063.tv
https://net.jogtar.hu/jogszabaly?docid=a2100091.tv
https://net.jogtar.hu/jogszabaly?docid=A2100607.KOR
Also there is a new strategy called National Digitalization Strategy (2022-2030). This is an official open data policy.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030";Complement;;"Government Decree No. 1310/2015 (V. 21.) on the necessary measures for the widespread of the re-use of public data which requires the government to prepare a White Paper, including a model quantifying the socio-economic benefits, taking into account practical experience and good practices abroad, to establish a coherent government data policy to promote the re-use of public data, and to make it available for academic and public debate.

https://www.magyary.hu/wp-content/uploads/2019/07/AdatpolitikaiStrate%CC%81giaiJavaslat.20190627.Magyary.pdf

https://www.magyary.hu/wp-content/uploads/2019/09/Adatpolitikai_feher_konyv_201608.pdf

The White Paper on National Data-policy was published in 2016. The policy’s main focus is on the PSI re-use. In addition, the Government Decision 1573/2020 (IX. 9.) on Hungary's Artificial Intelligence Strategy (hereinafter: AI Strategy) and certain measures necessary for its implementation have a dedicated open data leg - since the availability of open data (and PSI) is a key factor in the success of any AI initiative. Within the framework of the AI Strategy, the National Data Asset Management Agency has been established.

https://digitalisjoletprogram.hu/publications/mi_strategy_en/#page=1

The government's commitment to the development of the data economy and the reuse of public data was embodied when the Government adopted Act No. XCI of 2021 on the National Data Asset, followed by the Government Decree No. 607/2021 (XI. 5.) on certain detailed rules related to the utilisation of national data assets.  On 13 December 2023, the Hungarian Parliament adopted a new law, Act CI of 2023 on the System for the Utilisation of National Data Assets and Certain Services, which incorporated the previous regulations, including the provisions of Act LXIII of 2012 on the Re-use of Public Data. The new law regulates the tasks of the National Data Asset Management Agency and states that the Agency shall be responsible for implementing the provisions of the Decree. It defines the tasks of the Agency, which will be involved in the re-use of public data by providing a single information point and contact service, thereby contributing to a more efficient integration of available public data sets into the domestic economy.
The Agency operates the National Open Data Portal in accordance with Article 11(2) of the Act CI of 2023 on the System of Utilisation of National Data Assets and Certain Services.
https://njt.hu/jogszabaly/2023-101-00-00.0#PR

Also there is a new strategy called National Digitalization Strategy (2022-2030). This is an official open data policy.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030"
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"There is a new strategy called National Digitalization Strategy (2022-2030). This is an official open data policy.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030
The Strategy main highlights must be the folowing: It wishes to contribute to Hungary recognizing the necessity of digital transformation and putting digital infrastructure, economy, education and digital public services at the center of its competitiveness and modernization efforts. It focuses on improving every aspect of digitalization such as digital infrastructure, digital skills and competencies, digital economy and last but not least digital state.

Within the framework of the chapter 4.1.1 “Mathematical foundations of AI” of Hungary’s Artificial Intelligence Strategy Hungary's open data policy goals have been formulated. Such as, making data collection and re-use conscious,regulated and responsible data asset management in the public and private sectors. The English version of the Hungary's Artificial Intelligence Strategy is available here: https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf";Complement;;"There is a new strategy called National Digitalization Strategy (2022-2030). This is an official open data policy.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030
The Strategy's main highlights must be the folowing: It wishes to contribute to Hungary recognizing the necessity of digital transformation and putting digital infrastructure, economy, education and digital public services at the center of its competitiveness and modernization efforts. It focuses on improving every aspect of digitalization such as digital infrastructure, digital skills and competencies, digital economy and last but not least digital state.

Within the framework of the chapter 4.1.1 “Mathematical foundations of AI” of Hungary’s Artificial Intelligence Strategy Hungary's open data policy goals have been formulated. Such as, making data collection and re-use conscious,regulated and responsible data asset management in the public and private sectors. The English version of the Hungary's Artificial Intelligence Strategy is available here: https://digitalisjoletprogram.hu/publications/mi_strategy_en/#page=1"
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"Yes, the commitment to open data policies is also reflected at the local level in the smart city strategies of some Hungarian cities. Among the larger cities, Budapest, Debrecen, Zalaegerszeg and Szeged have already developed their own Smart City strategies. 
The Government has shown its commitment by adopting a government decree on the establishment and operation of the so-called ""smart city central platform service"". This decree names Monor as the municipality selected to test the services to be developed. The regional dimension does not apply to Hungary due to the size of the country.

https://otthonbudapesten.hu/sites/default/files/attachment/2021/ITS_2027_III_STRATEGIA_20210306.pdf
http://smartcity.debrecen.hu/en/strategy/ 
https://zalaegerszeg.hu/dokumentum/35747/Zalaegerszeg__Smart_city_koncepcio_es_strategia__roviditett.pdf 
https://docplayer.hu/17702150-Szeged-megyei-jogu-varos-smart-city-jovokep-es-koncepcio.html 
https://old.jozsefvaros.hu/tu_dokumentumok/6058_20181129_jegyzokonyv_mellek.pdf 
https://www.budapest13.hu/wp-content/uploads/2019/03/smart_city_koncepcio.pdf 

Also there is a new strategy called National Digital Citizenship Program, which aims to create a unified and excellent user experience online system for Hungarian citizens and the Hungarian public administration, which radically simplifies communication between the citizens and the various bodies of the government. https://www.dmu.gov.hu/documents/prod/DMU_nemzeti_digitalis_allampolgarsag_program_2022.pdf";Complement;;"Yes, the commitment to open data policies is also reflected at the local level in the smart city strategies of some Hungarian cities. Among the larger cities, Budapest, Debrecen, Zalaegerszeg and Szeged have already developed their own Smart City strategies. 
The Government has shown its commitment by adopting a government decree on the establishment and operation of the so-called ""smart city central platform service"". This decree names Monor as the municipality selected to test the services to be developed. The regional dimension does not apply to Hungary due to the size of the country.

https://otthonbudapesten.hu/sites/default/files/attachment/2021/ITS_2027_III_STRATEGIA_20210306.pdf
http://smartcity.debrecen.hu/en/strategy/ 
https://zalaegerszeg.hu/dokumentum/35747/Zalaegerszeg__Smart_city_koncepcio_es_strategia__roviditett.pdf 
https://docplayer.hu/17702150-Szeged-megyei-jogu-varos-smart-city-jovokep-es-koncepcio.html 
https://old.jozsefvaros.hu/tu_dokumentumok/6058_20181129_jegyzokonyv_mellek.pdf 
https://www.budapest13.hu/wp-content/uploads/2019/03/smart_city_koncepcio.pdf 

The Lechner Knowledge Center publishes recommendations, guidelines and rules based on local needs and EU guidance to enable the systemic implementation of efficient development models for smart settlements.
http://okosvaros.lechnerkozpont.hu/sites/default/files/2018-10/smart_city_development_model_methodological_basis.pdf
http://okosvaros.lechnerkozpont.hu/sites/default/files/2018-10/smart-city-tudasplatform-metodikai-javaslat.pdf
Furthermore, it has created an online database to demonstrate how diverse and complex the Smart City concept is in practice, and that it does not merely involve technology-based solutions. A smart city continuously measures and monitors the effects of its improvements. The settlement evaluation and monitoring system developed by the Lechner Knowledge Centre examines cities along six sub-systems in accordance with international practice - government, economy, environment, mobility, living, conditions, people. The projects in the database are classified according to which sub-system is most affected by a development. 
http://okosvaros.lechnerkozpont.hu/en/projects"
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"The National Digitalization Strategy outlines action pln eith measures to be implemented in the open data field, it can be found on page 22. Chapter 1., 1.4. Designation and justification of pillars. Also on page 88. Chapter 4. Vision and target system.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030

More than 30 actions were proposed in the White Paper on national data policy. The government will decide which of these will be applied. Decision making in this is in progress. The adopted AI strategy has dedicated actions of data policy and data economy (see Chapter 5 of the AI strategy)
https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf

Chapter V of the Data Strategy Proposal document deals in detail with the high-value data sets.
http://alfa-kozadat.ddns.net/uploads/page_images/2022-06-13-104746.691012AdatpolitikaiStrategiaiJavaslat.20190627.Magyary.pdf";Complement;;"The National Digitalization Strategy outlines action pln eith measures to be implemented in the open data field, it can be found on page 22. Chapter 1., 1.4. Designation and justification of pillars. Also on page 88. Chapter 4. Vision and target system.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030

More than 30 actions were proposed in the White Paper on national data policy. The government will decide which of these will be applied. Decision making in this is in progress. The adopted AI strategy has dedicated actions of data policy and data economy (see Chapter 5 of the AI strategy)
https://digitalisjoletprogram.hu/publications/mi_strategy_en/#page=1

ChapterI V.4 of the Data Strategy Proposal document deals in detail with the high-value data sets.
https://www.magyary.hu/wp-content/uploads/2019/07/AdatpolitikaiStrate%CC%81giaiJavaslat.20190627.Magyary.pdf"
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"In Chapter 2. of the National Digitalization Strategy it is emphasized separately for certain data types that it is necessary to provide access to real-time / dynamic data in order of the overall improvement.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030

More than 30 actions were proposed in the White Paper on national data policy. The government will decide which of these will be applied. Decision making in this is in progress. The adopted AI strategy has dedicated actions of data policy and data economy (see Chapter 5 of the AI strategy)
https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf";Complement;;"In Chapter 2. of the National Digitalization Strategy it is emphasized separately for certain data types that it is necessary to provide access to real-time / dynamic data in order of the overall improvement.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030

More than 30 actions were proposed in the White Paper on national data policy. The government will decide which of these will be applied. Decision making in this is in progress. The adopted AI strategy has dedicated actions of data policy and data economy (see Chapter 5 of the AI strategy)
https://digitalisjoletprogram.hu/publications/mi_strategy_en/#page=1"
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"National Digitalization Strategy: On page 8. you can see section called Goals:  Digital economy is one of the goals, it is emphasized there, that the priority goal of the state is to gather citizen-generated data in various fields and extend the national data asset by them. 
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030";Confirm;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"Yes, the Chapter VI. of the Data Strategy Proposal document initiates this goal.
https://www.magyary.hu/wp-content/uploads/2019/07/AdatpolitikaiStrate%CC%81giaiJavaslat.20190627.Magyary.pdf";Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;The Hungary's Artificial Intelligence Strategy outlines the development and establishment of Hungary's National Open Data Portal and initiates the Data Wallet which aims to support the re-use of open data by the private sector. The National Data Asset Management Agency will open public data bases in an organized way which can help businesses to develop high added-value products, such as apps, to make citizens' daily lives easier and simpler.;Complement;;"The Hungary's Artificial Intelligence Strategy outlines the development and establishment of Hungary's National Open Data Portal and initiates the Data Wallet which aims to support the re-use of open data by the private sector. The National Data Asset Management Agency will open public data bases in an organized way which can help businesses to develop high added-value products, such as apps, to make citizens' daily lives easier and simpler.

On 13 December 2023, the Hungarian Parliament adopted a new law, Act CI of 2023 on the System for the Utilisation of National Data Assets and Certain Services, which incorporated the previous regulations, including the provisions of Act LXIII of 2012 on the Re-use of Public Data.
Under the new law, the National Data Asset Management Agency provides a single information point and contact service. As part of this service, the Agency publishes information on re-use for all public bodies on the National Public Data Portal. Additionally, the Agency offers a centralised publication service, through which it publishes open data sets."
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;Yes, the National Data Asset Act  and the Government Decree No. 607/2021. (XI. 5.) on certain detailed rules relating to the use of national data assets defines the rules regarding the National Open Data Portal which is the core element of the re-use of public -data.;Complement;;"Yes, the Act XCI on National Data Assets and the Government Decree No. 607/2021. (XI. 5.) on certain detailed rules related to the utilisation of national data assets defines the rules regarding the National Open Data Portal which is the core element of the re-use of public data.
On 13 December 2023, the Hungarian Parliament adopted a new law, Act CI of 2023 on the System for the Utilisation of National Data Assets and Certain Services, which incorporated the previous regulations, including the provisions of Act LXIII of 2012 on the Re-use of Public Data.
The new law expands the functions of the National Open Data Portal."
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;Yes, the Government Decree No. 607/2021. (XI. 5.) on certain detailed rules relating to the use of national data assets set forth to prepare the National Data Asset Inventory containing a list of registers with personal data, public data and data of public interest by the National Data Asset Management Agency in cooperation with all the national public body.;Complement;;"Yes, the Government Decree No. 607/2021. (XI. 5.) on certain detailed rules related to the utilisation of national data assets sets forth to prepare the National Data Asset Inventory containing a list of registers with personal data, public data and data of public interest by the National Data Asset Management Agency in cooperation with all the national public body.
The new, Act CI of 2023 on the System for the Utilisation of National Data Assets and Certain Services establishes a system of Chief Data Officers (CDOs), who will be responsible for mapping the data assets belonging to public bodies and for uploading and updating their registries and catalogues in the National Data Asset Inventory."
