ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"POLICY:
Lithuania has a national open data policy and has reached tangible results in amending legislation in this regard recently. 
Main legislation on open data policy:
1) The Law on the Right to Receive Information and Re-use of Data
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.94745/asr 
Amendments to the Law on the Right to Receive Information and Re-use of Data entered into force in July 2021 transposing provisions of the Directive (EU) 2019/1024 on open data and the re-use of public sector information as well as establishing a Model for data opening which obliges institutions to inventory their data to know what data are owned by the state and open the data on user demand. The Law was revised on 01/01/2023.
https://eimin.lrv.lt/lt/naujienos/atveriami-dideles-vertes-duomenys-paskatins-nauju-produktu-kurima
2) Description of data opening procedure was approved by the Minister of Economy and Innovation on 01/04/2022
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/327dd210495011ebb394e1efb98d3e67/asr
https://eimin.lrv.lt/lt/naujienos/viesojo-sektoriaus-duomenu-atverimo-procesas-bus-bendras-ir-aiskus
It ensures the overall data opening process of institutions, the quality of the open data, and favorable conditions for the reuse of data. It determines the data opening activities of institutions: appointment of persons responsible for organizing data opening, data inventory and creation of data sets to be opened, preparation of descriptions of data structure, usage of the State Data Management Information System for data anonymisation, data sets publication on the Lithuanian open data portal and ensuring feedback to open data users. 
3) Amendments to the Regulations of Lithuanian open data portal were made by Lithuanian Government on 25/03/2022
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/6e0d9154391911eabd71c05e81f09716/asr
https://eimin.lrv.lt/lt/naujienos/verslui-paprastesnes-galimybes-gauti-trukstamu-duomenu
The essence of these changes is simpler and faster communication between data users (business) and data holders (public sector), as all communication takes place on the portal itself, without the need to write separate requests or inquiries. The business is able to request the missing data directly on the portal, if it cannot be found here. Thus, the data opening process becomes faster and of higher quality .";Complement;;"POLICY:
Lithuania has a national open data policy and has reached tangible results in amending legislation in this regard recently. 
Main legislation on open data policy:
1) The Law on the Right to Receive Information and Re-use of Data
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.94745/asr 
Amendments to the Law on the Right to Receive Information and Re-use of Data entered into force in July 2021 transposing provisions of the Directive (EU) 2019/1024 on open data and the re-use of public sector information as well as establishing a Model for data opening which obliges institutions to inventory their data to know what data are owned by the state and open the data on user demand. The Law was revised on 01/01/2023.
https://eimin.lrv.lt/lt/naujienos/atveriami-dideles-vertes-duomenys-paskatins-nauju-produktu-kurima
2) The Law of the Republic of Lithuania on Reuse of Health Data
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/72c77a52626411ecb2fe9975f8a9e52e/asr
This law regulates the process of using re-usable health data for public purposes, ensuring the right to privacy and protection of personal data. The legal act enables the use of health data collected in information systems for scientific research, experimental development, innovation, education, knowledge management in health and other purposes. Also for data-based decision-making both at the political and health system regulatory level - for the effective management process of health care institutions, quality assessment of health services, etc.
3) Description of data opening procedure was approved by the Minister of Economy and Innovation on 01/04/2022
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/327dd210495011ebb394e1efb98d3e67/asr
https://eimin.lrv.lt/lt/naujienos/viesojo-sektoriaus-duomenu-atverimo-procesas-bus-bendras-ir-aiskus
It ensures the overall data opening process of institutions, the quality of the open data, and favorable conditions for the reuse of data. It determines the data opening activities of institutions: appointment of persons responsible for organizing data opening, data inventory and creation of data sets to be opened, preparation of descriptions of data structure, usage of the State Data Management Information System for data anonymisation, data sets publication on the Lithuanian open data portal and ensuring feedback to open data users. 
4) Amendments to the Regulations of Lithuanian open data portal were made by Lithuanian Government on 25/03/2022
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/6e0d9154391911eabd71c05e81f09716/asr
https://eimin.lrv.lt/lt/naujienos/verslui-paprastesnes-galimybes-gauti-trukstamu-duomenu
The essence of these changes is simpler and faster communication between data users (business) and data holders (public sector), as all communication takes place on the portal itself, without the need to write separate requests or inquiries. The business is able to request the missing data directly on the portal, if it cannot be found here. Thus, the data opening process becomes faster and of higher quality ."
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"Lithuanian open data ecosystem is based on 4 main elements: 1) strategic documents (STRATEGY), 2) legislation (POLICY), 3) competent bodies/instruments (BODIES), 4) financial measures/projects (PROJECTS).
STRATEGY:
Open data governance is one of main priorities of the Lithuanian Government. The Government pays particular attention to the implementation of good data governance and management best practices in the public sector and the widest possible opening and reuse of data, while encouraging the development of business products.  

 - Open data is on the top in the Lithuanian government’s four-year programme – according to the programme, data is the cornerstone behind the government’s decisions and communication. Please see 17-29 paragraphs of the Programme -  https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/973c87403bc311eb8c97e01ffe050e1c 

 - Lithuania’s strategy for open data is part of the plan for the implementation of the provisions of the program of the Eighteenth Government of the Republic of Lithuania. Open data is one of horizontal themes of actions, that are marked in the Plan with the letters AD (open data theme) - https://www.e-tar.lt/portal/lt/legalAct/d698ded086fe11eb9fecb5ecd3bd711c
Actions of the plan for the implementation of the provisions of the program of the Eighteenth Government of the Republic of Lithuania:
9.2.2. Develop and submit to the Government the concept of an open data and digital transformation competence center.
9.2.4. Update the creation, prioritization, monitoring, evaluation and management of open data sets
methodology - to create incentives and an obligation for authorities to open data.
9.2.5. Create a state data architecture (centralized descriptions of all data processed in the state), establish its governance model and ensure its implementation.
9.2.8. To create an ecosystem for assessing and promoting the quality of state information resources, open data and digital transformation.
9.2.11. Integrate the data of the state information systems and registers in the State Data Management Information System, implement their centralized opening and experimentation platforms (sandbox), ensure efficient exchange of data required for decision-making between institutions and create a mechanism for data anonymisation and aggregation. registers of statistical operators.

 - Data opening, as one of the strategic goals of the Lithuanian state, has also been put forward in the Lithuanian Digitization Development Programme for 2021–2030. The State Digitization Development Program is implemented through 4 measures of progress. One of the measures - Progress instrument no. 05-002-01-07-07 - Promote data availability and reuse, which includes activities financed by the Recovery and Resilience Facility (RRF) plan. 
https://eimin.lrv.lt/lt/ekonomikos-ir-inovaciju-ministerija/administracine-informacija/planavimo-dokumentai/pletros-programos/valstybes-skaitmeninimo-pletros-programa-1

 - Also, Open Government initiative includes actions for data opening:
https://www.opengovpartnership.org/countries/lithuania
https://www.opengovpartnership.org/wp-content/uploads/2021/06/Lithuania_Action-Plan_2021-2023_EN.pdf";Complement;;"Lithuanian open data ecosystem is based on 4 main elements: 1) strategic documents (STRATEGY), 2) legislation (POLICY), 3) competent bodies/instruments (BODIES), 4) financial measures/projects (PROJECTS).
STRATEGY:
Open data governance is one of main priorities of the Lithuanian Government. The Government pays particular attention to the implementation of good data governance and management best practices in the public sector and the widest possible opening and reuse of data, while encouraging the development of business products.  

 - Open data is on the top in the Lithuanian government’s four-year programme – according to the programme, data is the cornerstone behind the government’s decisions and communication. Please see 17-29 paragraphs of the Programme -  https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/973c87403bc311eb8c97e01ffe050e1c 

 - Lithuania’s strategy for open data is part of the plan for the implementation of the provisions of the program of the Eighteenth Government of the Republic of Lithuania. Open data is one of horizontal themes of actions, that are marked in the Plan with the letters AD (open data theme) - https://www.e-tar.lt/portal/lt/legalAct/d698ded086fe11eb9fecb5ecd3bd711c
Actions of the plan for the implementation of the provisions of the program of the Eighteenth Government of the Republic of Lithuania:
9.2.2. Develop and submit to the Government the concept of an open data and digital transformation competence center.
9.2.4. Update the creation, prioritization, monitoring, evaluation and management of open data sets
methodology - to create incentives and an obligation for authorities to open data.
9.2.5. Create a state data architecture (centralized descriptions of all data processed in the state), establish its governance model and ensure its implementation.
9.2.8. To create an ecosystem for assessing and promoting the quality of state information resources, open data and digital transformation.
9.2.11. Integrate the data of the state information systems and registers in the State Data Management Information System, implement their centralized opening and experimentation platforms (sandbox), ensure efficient exchange of data required for decision-making between institutions and create a mechanism for data anonymisation and aggregation. registers of statistical operators.

 - Data opening, as one of the strategic goals of the Lithuanian state, has also been put forward in the Lithuanian Digitization Development Programme for 2021–2030. The State Digitization Development Program is implemented through 4 measures of progress. One of the measures - Progress instrument no. 05-002-01-07-07 - Promote data availability and reuse, which includes activities financed by the Recovery and Resilience Facility (RRF) plan. 
https://eimin.lrv.lt/lt/ekonomikos-ir-inovaciju-ministerija/administracine-informacija/planavimo-dokumentai/pletros-programos/valstybes-skaitmeninimo-pletros-programa-1

 - Also, Open Government initiative includes actions for data opening:
https://www.opengovpartnership.org/countries/lithuania
https://www.opengovpartnership.org/wp-content/uploads/2023/09/Lithuania_Action-Plan_2023-2025_December_EN.pdf"
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"The national open data policy is mandatory, but at the same time authorities at local level are allowed to have their own stratagies implementing national policy and national strategy. E.g. Vilnius municipality has its own agenda on open data and its open data web page OPEN DATA - OPEN ALGORITHM - OPEN INNOVATION - https://api.vilnius.lt/ . Vilnius municipality’s open data is used by both municipal employees and residents.
Other examples:
The 3D buildings layer of Klaipėda city includes buildings drawn in detail and generated according to the rules, as well as bridges located in the city territory. The attribute information of the layer contains the type of structure (tower, bridge, detailed building, procedural building, ship), height, slope angle, data source, detailed building author, unique identifier of the structure, functional zone information, solar energy potential information. (https://www.arcgis.com/home/group.html?id=e8473edeb12848ef827d656c484a1ce2&view=list#content)";Confirm;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"STRATEGY:
The plan for the implementation of the provisions of the program of the Eighteenth Government of the Republic of Lithuania  (https://www.e-tar.lt/portal/lt/legalAct/d698ded086fe11eb9fecb5ecd3bd711cActions) contains action plan with measures including  deadlines and responsible authorities in the field of open data:

9.2.2. Develop and submit to the Government the concept of an open data and digital transformation competence center. 
9.2.4. Update the creation, prioritization, monitoring, evaluation and management of open data sets 
methodology - to create incentives and an obligation for authorities to open data. 
9.2.5. Create a state data architecture (centralized descriptions of all data processed in the state), establish its governance model and ensure its implementation. 
9.2.8. To create an ecosystem for assessing and promoting the quality of state information resources, open data and digital transformation. 
9.2.11. Integrate the data of the state information systems and registers in the State Data Management Information System, implement their centralized opening and experimentation platforms (sandbox), ensure efficient exchange of data required for decision-making between institutions and create a mechanism for data anonymisation and aggregation. registers of statistical operators. 
9.2.6. Establish a management mechanism for state information resources and digital transformation, ensuring centralized management of creation and development, needs assessment, use of mandatory basic components (rights management, interoperability, classifiers, metadata structures, functional requirements, opening, e-services, etc.), costs and preparation and use of cost-benefit analyzes, identification of managerial responsibilities, and the creation of incentives and obligations for institutions to implement digitization projects.    
9.2.9. Design the central technical architecture of state information resources and digital transformation, including state information resources, electronic communications networks, state data center technologies, set minimum requirements for its components, mandatory data processing and technological development guidelines, ensure their mandatory application to all newly developed systems and implementation existing systems.                                                                                                                 
1.5.4. Develop a set of tools to enable researchers to share Lithuanian research results through the European Open Science Cloud and access international research resources (international science databases and infrastructures) and start implementing these tools, etc.";Complement;;"STRATEGY:
1) The plan for the implementation of the provisions of the program of the Eighteenth Government of the Republic of Lithuania  (https://www.e-tar.lt/portal/lt/legalAct/d698ded086fe11eb9fecb5ecd3bd711cActions) contains action plan with measures including  deadlines and responsible authorities in the field of open data:

9.2.2. Develop and submit to the Government the concept of an open data and digital transformation competence center. 
9.2.4. Update the creation, prioritization, monitoring, evaluation and management of open data sets 
methodology - to create incentives and an obligation for authorities to open data. 
9.2.5. Create a state data architecture (centralized descriptions of all data processed in the state), establish its governance model and ensure its implementation. 
9.2.8. To create an ecosystem for assessing and promoting the quality of state information resources, open data and digital transformation. 
9.2.11. Integrate the data of the state information systems and registers in the State Data Management Information System, implement their centralized opening and experimentation platforms (sandbox), ensure efficient exchange of data required for decision-making between institutions and create a mechanism for data anonymisation and aggregation. registers of statistical operators. 
9.2.6. Establish a management mechanism for state information resources and digital transformation, ensuring centralized management of creation and development, needs assessment, use of mandatory basic components (rights management, interoperability, classifiers, metadata structures, functional requirements, opening, e-services, etc.), costs and preparation and use of cost-benefit analyzes, identification of managerial responsibilities, and the creation of incentives and obligations for institutions to implement digitization projects.    
9.2.9. Design the central technical architecture of state information resources and digital transformation, including state information resources, electronic communications networks, state data center technologies, set minimum requirements for its components, mandatory data processing and technological development guidelines, ensure their mandatory application to all newly developed systems and implementation existing systems.                                                                                                                 
1.5.4. Develop a set of tools to enable researchers to share Lithuanian research results through the European Open Science Cloud and access international research resources (international science databases and infrastructures) and start implementing these tools, etc. 

ACTION PLAN AND PROGRAMS:
2) Digital Health System Development Action Plan 2023-2027 is a document that establishes the goal, tasks, directions of development of the digital health system, expected results, evaluation indicators and measures for the implementation of the action plan (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/2d9e4b906af511e7aefae747e4b63286/asr). 

Object 6. Create opportunities for the implementation and integration of digital health analytics tools in order to use LNSS resources more rationally and improve the quality of health services and the work efficiency of health professionals, as well as monitor health trends:
13.5. Promote the reuse of health data and optimize implementation processes by improving the availability and quality of health data.
13.6. Ensure the efficiency of data management, raise the level of data maturity and enable health data by opening it up to the public.

3) State Data Agency implements national State data management programs, in which the planned tasks are related to the opening and publishing of public sector data for reuse (https://vda.lrv.lt/lt/administracine-informacija/planavimo-dokumentai/valstybes-duomenu-valdysenos-vdv-programos/). 
State data management in 2024 program: 
No. 3. Creation and provision of health data sets for re-use, including the examination and issuance of an application for a permit for the re-use of health data.
No. 7. High-value datasets expected in 2022 December 21 The Commission's implementing regulation (EU) 2023/138, which compiles a list of specific high-value data sets and determines the procedure for their publication and reuse, opens in priority order until 2024 May 9.

State data management in 2023 program: 
No. 1. Centralized and automated opening of public sector data through the State Data Management information system.
No. 4. Creation and provision of health data sets for re-use, including the examination and issuance of an application for a permit for the re-use of health data."
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"STRATEGY:
According to Programme of the Eighteenth Government of the Republic of Lithuania: “Where possible, the Government will make and interpret decisions based on open data. We will ensure timely and orderly communication of open data to citizens and businesses. This would enable people, businesses and scientists to respond quickly and effectively to emerging challenges and to closely participate in decision-making”.
„RESPONSE TO REVIEWER“: Please see 19 Article at the Programme of the Eighteenth Government of the Republic of Lithuania (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/973c87403bc311eb8c97e01ffe050e1c). One of Governement‘s targets is that open data would be published and available on real time.

POLICY:
The Law on the Right to Receive Information and Reuse of Data (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/77d2b640dd6711eb866fe2e083228059?positionInSearchResults=0&searchModelUUID=cc1dc85c-32fd-4295-a64c-b3ba508bc7fe) transposes the provisions of Directive (EU) 2019/1024 on open data and the re-use of public sector information and includes concrete provisions on the dynamic and real-time data (please see Articles 3(10), 13(5)(6)(7)).
„RESPONSE TO REVIEWER“: The concept of dynamic and real-time data is defined in the law (Article 3(10)). The law also contains provisions on the provision of information and data: 
•	Access to variable data is provided through API that allows downloading this data in one go (Article 13(5))
•	The institution or state-run entity must ensure that the possibility to use dynamic data is provided as soon as it is collected or updated, with the exception of the exception established in paragraph 7 of this article (Article 13(6))
•	If an institution or a state-controlled entity ensures the possibility of using dynamic data immediately, as soon as it is collected or updated, the financial and technical burden would disproportionately increase, the possibility of re-using these variable data must be provided during such a period or by applying such technical restrictions that would not cause disruptions repeatedly use variable data (Article 13(7))";Complement;;"STRATEGY:
According to Programme of the Eighteenth Government of the Republic of Lithuania: “Where possible, the Government will make and interpret decisions based on open data. We will ensure timely and orderly communication of open data to citizens and businesses. This would enable people, businesses and scientists to respond quickly and effectively to emerging challenges and to closely participate in decision-making”.
Please see 19 Article at the Programme of the Eighteenth Government of the Republic of Lithuania (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/973c87403bc311eb8c97e01ffe050e1c). One of Governement‘s targets is that open data would be published and available on real time.

POLICY:
The Law on the Right to Receive Information and Reuse of Data (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/77d2b640dd6711eb866fe2e083228059?positionInSearchResults=0&searchModelUUID=cc1dc85c-32fd-4295-a64c-b3ba508bc7fe) transposes the provisions of Directive (EU) 2019/1024 on open data and the re-use of public sector information and includes concrete provisions on the dynamic and real-time data (please see Articles 3(10), 13(5)(6)(7)).
 The concept of dynamic and real-time data is defined in the law (Article 3(10)). The law also contains provisions on the provision of information and data: 
•	Access to variable data is provided through API that allows downloading this data in one go (Article 13(5))
•	The institution or state-run entity must ensure that the possibility to use dynamic data is provided as soon as it is collected or updated, with the exception of the exception established in paragraph 7 of this article (Article 13(6))
•	If an institution or a state-controlled entity ensures the possibility of using dynamic data immediately, as soon as it is collected or updated, the financial and technical burden would disproportionately increase, the possibility of re-using these variable data must be provided during such a period or by applying such technical restrictions that would not cause disruptions repeatedly use variable data (Article 13(7))"
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";No;"It is possible for citizens to register and provide data same way as other government institutions do, but currently we don't have such cases. We avoid adding generated or derived data as separate datasets and instead, publish such dervied data, as data usecases [1], because we have quite strict quality requirements for datasets and usecases are much easier to publish. In future, we do have plans, to integerate with citizen-generated data such as data from OpenStreenMap project. The OpenStreetMap community is very active and has already done a lot of work [2].

[1] https://data.gov.lt/usecases/examples
[2] https://openmap.lt/
https://blog.openmap.lt/category/duomenys/
https://lists.openstreetmap.org/pipermail/talk-lt/2023-May/002882.html

„RESPONSE TO REVIEWER“:  No";Complement;;"It is possible for citizens to register and provide data same way as other government institutions do, but currently we don't have such cases. We avoid adding generated or derived data as separate datasets and instead, publish such dervied data, as data usecases [1], because we have quite strict quality requirements for datasets and usecases are much easier to publish. In future, we do have plans, to integerate with citizen-generated data such as data from OpenStreenMap project. The OpenStreetMap community is very active and has already done a lot of work [2].

[1] https://data.gov.lt/usecases/examples
[2] https://openmap.lt/
https://blog.openmap.lt/category/duomenys/
https://lists.openstreetmap.org/pipermail/talk-lt/2023-May/002882.html"
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;Yes, all datasets published in our national data portal are synced with the data.europa.eu, but currently we do not publish data usecases, we do not know if data.europe.eu can accept such data.;Complement;;"In the Law on the Right to Receive Information and Reuse of Data (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.94745/asr) it is implied obligation that all inventoried and opened data must be published on the Lithuanian open data portal (articles No.15 and 16 (2)). 
All datasets published in our national data portal are synced with the data.europa.eu, but currently we do not publish data usecases, we do not know if data.europe.eu can accept such data."
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"STRATEGY:
- The Programme of the Government includes the chapter “Open Data” stating: „<...> 18. We undertake to make open data a key element in Government decision-making and communication. We will seek to make it serve as the basis in judging the necessity for decisions, in proposing decision mechanisms and in measuring outcomes. Where possible, the Government will make and interpret decisions based on open data <…>”.
- The Government Programme’s implementation plan provides the following action - To integrate data of the existing state information systems, realizing their opening and sandboxes, ensuring centralized data necessary for making decisions, efficient exchange between institutions, and creating a mechanism for anonymization and interconnection of data (deadline – 3rd Quarter 2024)
- Also, Open Government initiative contains measures that promote concepts for data-driven government, policy-making and decision-making 
https://www.opengovpartnership.org/countries/lithuania
https://www.opengovpartnership.org/wp-content/uploads/2021/06/Lithuania_Action-Plan_2021-2023_EN.pdf 

All institutions are required to re-use existing data from official registers and we are trying to deduplicate open data by rating if a data field comes from another dataset [1]. All open data are published as a single API service [2] to make re-use of data as easy as possible.

[1] https://atviriduomenys.readthedocs.io/dsa/level.html
[2] https://get.data.gov.lt/

PROJECTS:
 - In order to speed up the process of data opening in state institutions, strengthen strategic management processes and data literacy, the Government Chancellery performes a project  financed with the funds of the European Union. Employees of the public sector participate in the dedicated trainings. During the implementation of the project, in April and May of 2022, a survey of employees of the ministries and the Government Chancellery was conducted. During it, it was requested to self-assess the knowledge and abilities of open data and its use. The results of the survey showed that a large part of the respondents are not yet sufficiently familiar with open data management, and rate their knowledge and abilities as average. For this purpose, the Government Chancellery acquired open data management practical skills training services. The training that took place in the fall 2022 provided practical skills in open data management. Around 75 employees of the Government Office and ministries participated in these trainings.
https://www.delfi.lt/uzsakomasis-turinys/aktualijos/vyriausybes-kanceliarija-siekia-sparciau-tobulinti-atviru-duomenu-valdyma-90667525
https://www.delfi.lt/uzsakomasis-turinys/premium/duomenu-ir-atviru-duomenu-valdymas-dalis-viesojo-sektoriaus-specialistu-kompetenciju-92395709";Complement;;"STRATEGY:
- The Programme of the Government includes the chapter “Open Data” stating: „<...> 18. We undertake to make open data a key element in Government decision-making and communication. We will seek to make it serve as the basis in judging the necessity for decisions, in proposing decision mechanisms and in measuring outcomes. Where possible, the Government will make and interpret decisions based on open data <…>”.
- The Government Programme’s implementation plan provides the following action - To integrate data of the existing state information systems, realizing their opening and sandboxes, ensuring centralized data necessary for making decisions, efficient exchange between institutions, and creating a mechanism for anonymization and interconnection of data (deadline – 3rd Quarter 2024)
- Also, Open Government initiative contains measures that promote concepts for data-driven government, policy-making and decision-making 
https://www.opengovpartnership.org/countries/lithuania
https://www.opengovpartnership.org/wp-content/uploads/2023/09/Lithuania_Action-Plan_2023-2025_December_EN.pdf 

All institutions are required to re-use existing data from official registers and we are trying to deduplicate open data by rating if a data field comes from another dataset [1]. All open data are published as a single API service [2] to make re-use of data as easy as possible.

[1] https://atviriduomenys.readthedocs.io/dsa/level.html
[2] https://get.data.gov.lt/

PROJECTS:
 - In order to speed up the process of data opening in state institutions, strengthen strategic management processes and data literacy and data use in public sector, the Government Chancellery performed a project  financed with the funds of the European Union. Employees of the public sector participated in the dedicated trainings. During the implementation of the project, in April and May of 2022, a survey of employees of the ministries and the Government Chancellery was conducted. During it, it was requested to self-assess the knowledge and abilities of open data and its use. The results of the survey showed that a large part of the respondents are not yet sufficiently familiar with open data management, and rate their knowledge and abilities as average. For this purpose, the Government Chancellery acquired open data management practical skills training services. The training that took place in the fall 2022 provided practical skills in open data management. Around 75 employees of the Government Office and ministries participated in these trainings.
https://www.delfi.lt/uzsakomasis-turinys/aktualijos/vyriausybes-kanceliarija-siekia-sparciau-tobulinti-atviru-duomenu-valdyma-90667525
https://www.delfi.lt/uzsakomasis-turinys/premium/duomenu-ir-atviru-duomenu-valdymas-dalis-viesojo-sektoriaus-specialistu-kompetenciju-92395709"
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"POLICY:
The Regulations of the Lithuanian open data portal sets conditions for opening data and managing requests on this portal. The Lithuanian open data portal https://data.gov.lt/ allows businesses and the public to conveniently receive and use data managed by public sector institutions on a one-stop basis. It is envisaged that data not published on this portal will be mandatory to open if such a request from data user is received and such data is not confidential. The responsible institution has to answer the requester within 5 working days from the date of submission of the request, what decision has been taken regarding the opening and submission of the requested data to the portal. The essence is simpler and faster communication between business and public sector data holders, as all communication takes place on the portal itself, without the need to write separate requests or inquiries. The business is able to request the missing data directly on the portal, if it cannot be found here. 

PRACTICE:
All data is provided in an easy to use and flexible API servcie [1], where all data are normalized, linked together and provided in various formats. Also we periodically do demos [2] with examples, how data can be used and interpreted. We do demos with experts of a field were data comes from.
[1] https://get.data.gov.lt/
[2] https://www.youtube.com/watch?v=JQ9nFFHpipI&list=PLtptnWie_iVvLbVihFZIvcErEZz4_Vc08

PROJECTS:
Additional funding for empowering the use of open data is planned under EU Structural Funds investments for the period 2021-2027. The project aims to encourage the use of open data by businesses so that demand-driven data from public authorities are used to develop innovative solutions and digital services. Accordingly, the following activities are formulated in the project: 
•	Performance of joint public-private initiatives for the use of open data (show-case of use examples);
•	Business investments in the development of new innovative solutions using open data;
•	Business investments in the development of new digital services using open data;
The activities for the implementation of the measure are performed for the period 2021-2027. Funding is planned to be allocated through a call for proposals, with a joint call for proposals for all three of the above activities.

Generally, Lithuanian legislation does not oblige private businesses to open data, but also does not prohibit it. Business representatives can use all learning material and data opening tools, and some of them open data sets on their own initiative and publish them on the Lithuanian Open Data Portal - https://data.gov.lt/dataset/automatizuotu-buitiniu-vartotoju-valandiniai-duomenys-agreguoti-pagal-regiona.";Complement;;"""POLICY:
The Regulations of the Lithuanian open data portal sets conditions for opening data and managing requests on this portal. The Lithuanian open data portal https://data.gov.lt/ allows businesses and the public to conveniently receive and use data managed by public sector institutions on a one-stop basis. It is envisaged that data not published on this portal will be mandatory to open if such a request from data user is received and such data is not confidential. The responsible institution has to answer the requester within 5 working days from the date of submission of the request, what decision has been taken regarding the opening and submission of the requested data to the portal. The essence is simpler and faster communication between business and public sector data holders, as all communication takes place on the portal itself, without the need to write separate requests or inquiries. The business is able to request the missing data directly on the portal, if it cannot be found here. 

PRACTICE:
All data is provided in an easy to use and flexible API servcie [1], where all data are normalized, linked together and provided in various formats. Also we periodically do demos [2] with examples, how data can be used and interpreted. We do demos with experts of a field were data comes from.
[1] https://get.data.gov.lt/
[2] https://www.youtube.com/watch?v=JQ9nFFHpipI&list=PLtptnWie_iVvLbVihFZIvcErEZz4_Vc08

PROJECTS:
Additional funding for empowering the use of open data is planned under EU Structural Funds investments for the period 2021-2027. The project aims to encourage the use of open data by businesses so that demand-driven data from public authorities are used to develop innovative solutions and digital services. Accordingly, the following activities are formulated in the project: 
•	Performance of joint public-private initiatives for the use of open data (show-case of use examples);
•	Business investments in the development of new innovative solutions using open data;
•	Business investments in the development of new digital services using open data;
The activities for the implementation of the measure are performed for the period 2021-2027. Funding is planned to be allocated through a call for proposals, with a joint call for proposals for all three of the above activities. First call „Use of open data“ was published in 11.2023-04.2024, funding – 6 000 000 EUR. There were received 99 applications from private sector. These applications are beeing ranked and in the begining of 2024 autumn will be signed contacts.

Generally, Lithuanian legislation does not oblige private businesses to open data, but also does not prohibit it. Business representatives can use all learning material and data opening tools, and some of them open data sets on their own initiative and publish them on the Lithuanian Open Data Portal - https://data.gov.lt/dataset/automatizuotu-buitiniu-vartotoju-valandiniai-duomenys-agreguoti-pagal-regiona."""
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"POLICY:
The legal amendments address obligations on opening relevant data and seek to increase reuse of publicly funded information and to bring the legislative framework up to date with the advances in digital technologies. The Law on the Right to Receive Information and Reuse of Data (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/77d2b640dd6711eb866fe2e083228059?positionInSearchResults=0&searchModelUUID=cc1dc85c-32fd-4295-a64c-b3ba508bc7fe) establishes Data opening model which obliges institutions to inventory their data to know what data are owned by the State and open data on user demand (Article 15 of the Law).";Confirm;;
