ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Wet Hergebruik Overheidsinformatie  https://wetten.overheid.nl/BWBR0036795/2021-07-01
In this law, the Open Data Directive will be implemented.";Complement;;"Wet Hergebruik Overheidsinformatie:  https://wetten.overheid.nl/BWBR0036795/2021-07-01
The law implementing the Open Data Directive is recently finalised and accepted (June 2024)."
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"https://www.rijksoverheid.nl/documenten/rapporten/2021/10/31/nl-digitaal-interbestuurlijke-datastrategie-nederland
The IBDS describes the ambition and the approach for reaching these goals. The key points are:
- working towards technically, legally and ethically better considerations regarding data use
- develop government-wide system functions, like a federative data system
- Using concrete use cases with social value.";Confirm;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;Yes for example Amsterdam: https://www.amsterdam.nl/innovatie/digitalisering-technologie/data/amsterdamse-datastrategie;Complement;;"Yes, there are multiple municipalities and provinces with datastrategies that include open data. In general, these strategies describe plans for working with data, becoming a more 'data-driven' organization, with a focus on how to do it responsibly, respecting human values. For example: 1) province of Utrecht: ""Datastrategie 2024-2026, op weg naar verantwoord datagebruik"" https://www.provincie-utrecht.nl/sites/default/files/2024-04/Datastrategie_2024_-_2026.pdf, 2) the municipality of Haarlem ""Data, de Haarlemmerolie van nu, datastrategie 2023-2026"": https://gemeentebestuur.haarlem.nl/bestuurlijke-stukken/20221754574-2-Bijlage-1-Datastrategie-2023-2026-1.pdf"
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"https://www.rijksoverheid.nl/documenten/rapporten/2021/10/31/nl-digitaal-interbestuurlijke-datastrategie-nederland
Some of the measures/actions:
- publish a data manifest
- develop a federative data system
- assign responsibilities
- develop a 'toolkit' for data experts
- develop data leadership";Confirm;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";no;;Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;The IBDS (national data strategy) supports the reuse of open data by creating a federative data system, that will make data easier findable and usable, aiming to increase the number of reuse cases, especially for social issues.;Confirm;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";no;;Confirm;;
