ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"A Law was approved and published in August 2021 (Law No. 68/2021) that transposes Directive 1024/2019. URL: https://dre.pt/dre/detalhe/lei/68-2021-170221042. Among several topics, this Law focuses on catalogs and inventories of documents and data available for reuse, including dynamic data, real-time data; with special importance for high-value datasets, (made available using API, with accessible quality metadata). This Law reinforces  formally, the central open data portal (dados.gov) as the national repository for the open datasets from the PA - Public Administration. Other aspects in line with the national policy for open data: 
1 - Resolution of the Council of Ministers (RCM) No. 30/2020, Measure 12 - ""Circular Data Economy"", that approves the Action Plan for the Digital Transition,""RCM No. 30 2020"";
2 - Law No. 26/2016, Article 10º |3, Article 19º |6 , that regulates access to administrative and environmental information and the reuse of administrative documents. One of its highlights it’s the implementation of the principle of active dissemination of information, on which the entities subject to this Law should make available a set of updated information on their websites, without the citizen having to ask for it; ""Law 26_2016"";
3 - Commission for Access to Administrative Documents (CADA), an independent administrative entity that works with the Assembly of the Republic and aims to ensure compliance with legal provisions regarding access to administrative information, in particular, Law No. 26/2016;
4 - RCM No. 91/2012, which Approves the National Digital Interoperability Regulation; ""RCM No. 91 2012"".
5 - Decree-Law No. 149/2015, CHAPTER IV, Article 28º |2, that establishes the legal regime for safeguarding intangible cultural heritage, ""Decree-Law No. 149/2015"";
6 - Decree-Law No. 47/2020. Article 6 |5, which designates entities to ensure the registration and processing of data in the National Register of Animals Used in Circuses, ""Decree-Law No. 47/2020"";
7 - Decree-Law No. 156/2019, CHAPTER III, Article 13 | 3, which regulates the creation and maintenance of a system for the collection, registration, and analysis of data on science and technology, ""Decree-Law No. 156/2019"";
8 - National Geographic Information System (SNIG) https://snig.dgterritorio.gov.pt/saber-mais/legislacao.";Confirm;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";not applicable;"Does not exist a formal National Open Data Strategy published yet. Since 2021, a project is underway for the National Data Strategy, (URL: https://portugaldigital.gov.pt/en/accelerating-digital-transition-in-portugal/get-to-know-the-digital-transition-strategies/national-data-strategy/). The document should be finshed until the end of 2022 but to our knowledge that was not accomplished.
Another project coordenated by the AMA (Administrative Modernization Agency) is in execution since August 2022 for the definition if the Data Strategy in the Public Administration (URL: not available); Both projects addresses open data as well. 
Other relevant informations are:
The Recovery and Resilience Plan (PRR) has a mission framework that also defines strategic objectives for open data. (URL: https://recuperarportugal.gov.pt/wp-content/uploads/2021/10/PRR.pdf). In addition to these references, there are others; that are also related to open data: 1 - In regards to public open data, the strategy is embedded in our ICT government strategy, as an enabler of innovation and competitiveness, with measures including: the extension of the open data disclosure and use via the national data portal; the disclosure of execution indicators and benefits accomplished by executing public administration policies, initiatives and projects; and, the provision of instruments that facilitate the participation of citizen in public decision processes. 2 - It is part of the National Strategy for AI to guarantee an ethical-by-design AI, where open data plays a relevant role. Please see URL: https://tic.gov.pt/pt/web/tic/guia .
View ""AI strategy"" on https://www.incode2030.gov.pt/sites/default/files/julho_incode_brochura.pdf. 3 - It is part of the INCoDE.2030's competencies to elaborate the ""National Open Data Strategy"" view more on this link https://www.incode2030.gov.pt/sites/default/files/portugal_incode_en_web_single_0.pdf. There is currently a preliminary report. See appendix ""preliminary-report"". Also within INCoDE.2030 there is a plan on data life cycle management in the Public Administration, which includes an extensive re-qualification of Public Administration agents and a training program for Chief Data Officers. INCoDE.2030 is an integrated public policy initiative dedicated to strengthening digital skills. 4 - The Portuguese simplification programme - SIMPLEX, which acts as a general purpose action plan for the modernization of the public administration, has measures related to open data. https://www.simplex.gov.pt/medidas. 5 - There are strategies for open data portals, sectoral or local, as an example: Lisbon City Council specific strategy http://lisboaaberta.cm-lisboa.pt/index.php/pt/estrategia-de-dados-abertos . 6 - A project is being executed at present time named ""Public Administration's Data National Strategy and Action Plan"" (""Estratégia Nacional de Dados na AP e respetivo Plano de Ação"") in which are included measures for the public administration's open data. Information about this project can be found in the transparency portal, URL: https://www.base.gov.pt/Base4/pt/detalhe/?type=contratos&id=9502376.";Change;Yes;"The National Data Strategy is a finalized document that was supposed to be published by the end of 2023. However, due to political changes, the caretaker government postponed its publication. The new executive is expected to publish it within the next few months. This strategy (document attached to the survey with the name ""Estratégia Nacional de Dados_20231219_v1.0.pdf"") aims to ensure that Portugal is one of the pioneering countries participating in the European data ecosystem, thus enhancing its value, creating new services and products both in Portugal and beyond its borders.
The National Data Strategy provides continuity and strengthen national open data initiatives and the re-use of public sector information, whose general principles are approved in Law No. 68/2021 (already rectified by Rectification Declaration No. 31/2021), which in turn transposes into national law Directive (EU) 2019/1024 of 20 June 2019. This aspect of the strategy has been embodied by the open data initiative promoted by the Agency for Administrative Modernization, IP (AMA), through the dados.gov portal that already provides a wide range of data from various public agencies that can be openly accessed, with a clear aim to be an engine for economic, societal and environmental development.
The National Data Strategy, covers the national open data initiatives and the re-use of public sector information, whose general principles are approved in Law No. 68/2021 (already rectified by Rectification Declaration No. 31/2021), which in turn transposes into national law Directive (EU) 2019/1024 of 20 June 2019. 

Other relevant informations are:
The Recovery and Resilience Plan (PRR) has a mission framework that also defines strategic objectives for open data. (URL: https://recuperarportugal.gov.pt/wp-content/uploads/2021/10/PRR.pdf). In addition to these references, there are others that are also related to open data: 1 - In regards to public open data, the strategy is embedded in our ICT government strategy, as an enabler of innovation and competitiveness, with measures including: the extension of the open data disclosure and use via the national data portal; the disclosure of execution indicators and benefits accomplished by executing public administration policies, initiatives and projects; and the provision of instruments that facilitate the participation of citizen in public decision processes. 2 - It is part of the National Strategy for AI to guarantee an ethical-by-design AI, where open data plays a relevant role. Please see URL: https://tic.gov.pt/pt/web/tic/guia .
View ""AI strategy"" on https://www.incode2030.gov.pt/sites/default/files/julho_incode_brochura.pdf. 3 - It is part of the INCoDE.2030's competencies to elaborate the ""National Open Data Strategy"" view more on this link https://www.incode2030.gov.pt/sites/default/files/portugal_incode_en_web_single_0.pdf. There is currently a preliminary report. See appendix ""preliminary-report"". Also within INCoDE.2030 there is a plan on data life cycle management in the Public Administration, which includes an extensive re-qualification of Public Administration agents and a training program for Chief Data Officers. INCoDE.2030 is an integrated public policy initiative dedicated to strengthening digital skills. 4 - The Portuguese simplification programme - SIMPLEX, which acts as a general purpose action plan for the modernization of the public administration, has measures related to open data. https://www.simplex.gov.pt/medidas. 5 - There are strategies for open data portals, sectoral or local, as an example: Lisbon City Council specific strategy http://lisboaaberta.cm-lisboa.pt/index.php/pt/estrategia-de-dados-abertos . 6 - A project is being executed at present time named ""Public Administration's Data National Strategy and Action Plan"" (""Estratégia Nacional de Dados na AP e respetivo Plano de Ação"") in which are included measures for the public administration's open data. Information about this project can be found in the transparency portal, URL: https://www.base.gov.pt/Base4/pt/detalhe/?type=contratos&id=9502376."
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"It exists at the level of some municipal councils. Example 1: Lisbon City Council (Lisboa Aberta, URL: https://lisboaaberta.cm-lisboa.pt/index.php/pt/estrategia-de-dados-abertos). Example 2: Cascais City Council (URL: https://data.cascais.pt/pt-pt/node/253). Example 3: Porto City Council (URL:https://www.portodigital.pt/wp-content/uploads/2021/03/Plano-de-Gestão-e-Valorização-de-Dados-do-Município-do-Porto-_VFinal.pdf); etc.";Complement;Yes;Ex 4: Intermunicipal  Community (CIM) Viseu Dão Lafões has launched its own open data portal (https://www.cimvdl.pt/cim-lanca-portal-dos-dados-abertos/). Ex 5: The Autonomous regions of Azores and Madeiras have also launched their open data portals - https://dadosabertos.madeira.gov.pt/ and https://dados.azores.gov.pt/
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"By the Law No. 68/2021. Examples: The entities covered must ensure the publication of available documents and data, inventories of accessible documents and related metadata, as well as search possibilities, under the terms of the regime of access to administrative and environmental information and the reuse of administrative documents. The data.gov portal is the central catalog of open data in Portugal, with the function of aggregating, referencing, publishing and hosting open data from different bodies and sectors of Central, Regional and Local Public Administration, also functioning as an indexing portal, of content hosted on other open, sectoral or decentralized data portals or catalogs:
• The open data made available therein must maintain levels of updating and permanent quality, so that they can be reliably reused by other computer applications;
• If the entity producing the open data does not make them accessible from its own systems, it must make them available on the data.gov portal, and must also ensure that they are always updated there. The related metadata must always be made available in an updated form to the data.gov portal, in order to facilitate their search and location as open data, including in cases where the entity producing the open data makes them accessible from of own systems; etc.
The  concrete action/measures planned for the fulfilling of those obligation are laid down in the document ""Plano de Ação Transversal para a Transformação Digital da AP 2021-2023""  (https://tic.gov.pt/documentos/plano-de-acao-para-a-transformacao-digital-da-ap-2021-2023), which corresponds to the Action Plan for ""Estratégia de Transformação Digital da AP 2021-2023"" (https://tic.gov.pt/estrategias/estrategia-2021-2026), Action 2 comprehends several measures relating to the open data filed.";Complement;;The National Data Strategy provides continuity and strengthen national open data initiatives and the re-use of public sector information, whose general principles are approved in Law No. 68/2021 (already rectified by Rectification Declaration No. 31/2021), which in turn transposes into national law Directive (EU) 2019/1024 of 20 June 2019. This aspect of the strategy has been embodied by the open data initiative promoted by the Agency for Administrative Modernization, IP (AMA), through the data.gov portal that already provides a wide range of data from various public agencies that can be openly accessed, with a clear aim to be an engine for economic, societal and environmental development.
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Of common scope to some of the strategies/policies, it is referred: The creation of infrastructures to support the consumption of data in real-time on the open data national portal; The identification of services that produce and optimize the consumption of data in real-time; The increase of real-time datasets on the national open data portal. One of ""CTIC TIC 2021-2023-2026 Strategy"" key goals is a single, integrated system allowing to enrich operational databases with geolocation, cartographic, socio-economic, populational, meteorological information, and points of interest. Real-time updates with smart business information and analysis tools. In the Simplex program, it is referred the following measures that feature real-time data: Measure # 119 Work Suitability Form with a model that will allow obtaining statistical indicators, in real-time, of anonymized (aggregated) data on work capacity by sector of activity, profession, geographic area, gender, among others; Measure # 144 Single Agriculture Portal that aims to promote the simplification and streamlining of the relationship with farmers, citizens, companies and other economic agents, functioning as an online service point, with progressive availability of all information and services provided by the bodies of the Governmental Area of";Complement;;"The National Data Strategy envisages a governance model that includes the development of a collaborative and dynamic ecosystem that enhances data altruism and the creation of value synergies between the various stakeholders. In this sense, the strategic pillar “Governance” materializes in a set of three strategic objectives: 1) the establishment of solid guidelines for the ethical and efficient management of data, promoting their reliability and security throughout their life cycle; 2)effective collaboration between stakeholders, encouraging the exchange of data and resources in a mutually beneficial way to drive innovation and value creation; 3)continuous monitoring and monitoring of the progress of data-related actions, using models to assess the impact that the initiatives proposed in the strategy have on society and the economy."
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Change;Yes;"Law 68/2021 , which replaces law 26/2016, approves the general principles on open data and transposes Directive (EU) 2019/1024 of the European Parliament and of the Council, of 20 June 2019, on open data and the reuse of public sector information and states that any singular person who possesses information can publish and access data via the national open data portal. 
Also, one of the 4 pillars of its first Open Administration National Action Plan (URL: https://ogp.eportugal.gov.pt/monitorizacao) is precisely open data. OGP Portugal aims to guarantee concrete commitments from governments to promote transparency, encourage public participation, fight corruption, and use new technologies to strengthen participatory democracy - https://ogp.eportugal.gov.pt/inicio. 
In December of 2022, following the pillars of the second Open Administration National Action Plan 2022 (URL: https://ogp.eportugal.gov.pt/ii-panaa), AMA launched the Mosaico platform (URL: https://mosaico.gov.pt/), which promotes universal access to information between the state and the citizen. 
The third Open Administration National Action Plan (2024-27) is now underway (URL: https://ogp.eportugal.gov.pt/iii-panna)

Besides OGP, other examples are:
Despite the fact that there is not yet a formally approved strategy for open data (https://portugaldigital.gov.pt/en/accelerating-digital-transition-in-portugal/get-to-know-the-digital-transition-strategies/national-data-strategy/; https://www.incode2030.gov.pt/dados-abertos/), open data and data reuse are set as priorities for Portugal. In the Transversal Action Plan for Public Administration Digital Transformation (which contains transversal actions contributing for the implementation of the Strategy for Public Administration Digital Transformation 2021-2026), it is set up as transversal measure (https://tic.gov.pt/estrategias/plano-de-acao-transversal/valorizacao-dados-acao-transversal). It is emphasized that data literacy capacity building is crucial, as well as a great focus on inclusion and digital literacy. This is consistent with the Open Data Guide, in which there is a clear outline of the advantages for open data for different users and the emphasis on the importance of establishing an open data ecosystem that involves various stakeholders (examples below) in the process of open data and reuse (https://www.ama.gov.pt/documents/24077/24804/guia_dados_abertos_ama.pdf/aa97d8e8-c5fe-47ab-9500-734948c02b19, especially pages 7-8 and 23).
An important example of establishing an open data ecosystem that involves various stakeholders, namely citizens, is citizen science projects. Several entities foster these data ecosystems to provide services to the community and contribute to science. Examples of such projects are: IPMA (https://www.ipma.pt/) and CIIMAR (https://www.ciimar.up.pt/), which have a project for monitoring jellyfish on the Portuguese coast, GelAvista (https://www.cienciacidada.pt/project/15); the RadAR project (https://eu-citizen.science/project/467), in which three Portuguese schools participate in an international effort to reduce indoor radon exposure; and CCMAR (https://ccmar.ualg.pt/en/our-strategy), which has several projects for citizen data sharing related to the marine environment (https://ccmar.ualg.pt/en/citizen-science). Several others can be found on this site: https://www.cienciacidada.pt/projects.
1) Arquivo.pt, which promotes an annual contest for innovative works based on open data (preserved by Arquivo.pt). Arquivo.pt is developed by the Scientific Computing Unit of FCT - Foundation for Science and Technology - https://sobre.arquivo.pt/pt/colabore/premios-arquivo-pt/premio-arquivo-pt-2024/. 
2) The Urban Co-Creation Data Lab project aims to support decision-making at the city level regarding high-quality services for citizens. The project is a collaboration between the Portuguese government (AMA) and NOVA IMS University. The project supports new planning and management approaches with new tools to evaluate the impact and predict various service demands (URL: https://www.urbandatalab.pt/). 
3) The DSPA represents the Data Science sector and promotes data science in Portugal and internationally. The association also promotes regulation, ethics, and security in the field of data science. It shares experiences, innovations, case-studies, and success stories and promotes innovation and entrepreneurship of Portuguese companies (URL: https://dspa.pt/)

#Reply following questions form the research team:
Despite the fact that there is not yet a formally approved strategy for open data (https://portugaldigital.gov.pt/en/accelerating-digital-transition-in-portugal/get-to-know-the-digital-transition-strategies/national-data-strategy/; https://www.incode2030.gov.pt/dados-abertos/), open data and data reuse are set as priorities for Portugal. In the Transversal Action Plan for Public Administration Digital Transformation (which contains transversal actions contributing for the implementation of the Strategy for Public Administration Digital Transformation 2021-2026), it is set up as transversal measure (https://tic.gov.pt/estrategias/plano-de-acao-transversal/valorizacao-dados-acao-transversal). It is emphasized that data literacy capacity building is crucial, as well as a great focus on inclusion and digital literacy. This is consistent with the Open Data Guide, in which there is a clear outline of the advantages for open data for different users and the emphasis on the importance of establishing an open data ecosystem that involves various stakeholders (examples below) in the process of open data and reuse (https://www.ama.gov.pt/documents/24077/24804/guia_dados_abertos_ama.pdf/aa97d8e8-c5fe-47ab-9500-734948c02b19, especially pages 7-8 and 23).
An important example of establishing an open data ecosystem that involves various stakeholders, namely citizens, is citizen science projects. Several entities foster these data ecosystems to provide services to the community and contribute to science. Examples of such projects are: IPMA (https://www.ipma.pt/) and CIIMAR (https://www.ciimar.up.pt/), which have a project for monitoring jellyfish on the Portuguese coast, GelAvista (https://www.cienciacidada.pt/project/15); the RadAR project (https://eu-citizen.science/project/467), in which three Portuguese schools participate in an international effort to reduce indoor radon exposure; and CCMAR (https://ccmar.ualg.pt/en/our-strategy), which has several projects for citizen data sharing related to the marine environment (https://ccmar.ualg.pt/en/citizen-science). Several others can be found on this site: https://www.cienciacidada.pt/projects."
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";no;"Only by events like webinars, workshops and public presentations; Not explicitly fostered in strategy/policy.";Change;Yes;Datasets published on the national open data portal dados.gov.pt are discoverable and accessible thorugh the data.europa.eu portal. URL: https://data.europa.eu/data/datasets?query=Portugal&locale=en&dataScope=countryData&country=countryData&catalog=dados-gov-pt&page=1
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Providing free data analysis and visualization tools, on the national open data portal (dados.gov). Through awareness, public events, webinars, workshops, etc. 
The following national policy/strategy foresees these mentioned actions to support the re-use of open data by the public sector:
""Plano de Ação Transversal para a Transformação Digital da AP 2021-2023""  (https://tic.gov.pt/documentos/plano-de-acao-para-a-transformacao-digital-da-ap-2021-2023), which corresponds to the Action Plan for ""Estratégia de Transformação Digital da AP 2021-2023"" (https://tic.gov.pt/estrategias/estrategia-2021-2026), Action 2, Measure 2.1 (in page 6) several measures are presented to support the re-use of open data by the public sector.";Complement;;Also, the National Data Strategy sets out a path to maximize the creation of value in the use of data, including open, personal, non-personal and industrial data, promoting their sharing, accessibility and reuse
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";no;;Change;Yes;"The National Data Strategy foresees a reinforced collaboration and cooperation between the public, private, third sector, academia and research centers
research, through the creation of collaborative networks to share resources, knowledge and experiences. This cooperation should also promote the development of data-based solutions that consider data quality, privacy and security, integrity and transparency
Also, the national open government partnerships include 1) government entities, 2) academia, and 3) business associations and civil society. One of the 4 pillars of its first Open Administration National Action Plan (URL: https://ogp.eportugal.gov.pt/monitorizacao) is precisely open data. OGP Portugal aims to guarantee concrete commitments from governments to promote transparency, encourage public participation, fight corruption, and use new technologies to strengthen participatory democracy - https://ogp.eportugal.gov.pt/inicio. 
In December of 2022, following the pillars of the second Open Administration National Action Plan 2022 (URL: https://ogp.eportugal.gov.pt/ii-panaa), AMA launched the Mosaico platform (URL: https://mosaico.gov.pt/), which promotes universal access to information between the state and the citizen. The third Open Administration National Action Plan (2024-27) is now underway (URL: https://ogp.eportugal.gov.pt/iii-panna)
Besides OGP, other examples are: 
1) Arquivo.pt, which promotes an annual contest for innovative works based on open data (preserved by Arquivo.pt). Arquivo.pt is developed by the Scientific Computing Unit of FCT - Foundation for Science and Technology - https://sobre.arquivo.pt/pt/colabore/premios-arquivo-pt/premio-arquivo-pt-2024/. 
2) The Urban Co-Creation Data Lab project aims to support decision-making at the city level regarding high-quality services for citizens. The project is a collaboration between the Portuguese government (AMA) and NOVA IMS University. The project supports new planning and management approaches with new tools to evaluate the impact and predict various service demands (URL: https://www.urbandatalab.pt/). 
3) The DSPA represents the Data Science sector and promotes data science in Portugal and internationally. The association also promotes regulation, ethics, and security in the field of data science. It shares experiences, innovations, case-studies, and success stories and promotes innovation and entrepreneurship of Portuguese companies (URL: https://dspa.pt/)"
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"[Response to reviewer]
Correction: The provided answer was a mistake, we keep last year's reply.
By the Law No. 68/2021, entities must make available, on their website, updated lists of documents and data available for reuse; inventories must be made available, with accessible related metadata, and a multilingual search of documents and data must be possible.";Complement;Yes;"By the Law No. 68/2021, entities must make available, on their website, updated lists of documents and data available for reuse; inventories must be made available, with accessible related metadata, and a multilingual search of documents and data must be possible."
