ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";other;Republic of Serbia has adopted Law on Electronic Government in April 2018, which includes open data (definition, right to reuse, regulation of the National Open Data Portal, etc), in the following sections: article 4, article 25, article 26, and article 27. URL: https://www.ite.gov.rs/tekst/130/zakon-o-elektronskoj-upravi-i-podzakonska-akta.php;Confirm;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";not applicable;There is no national open data strategy, however, open data is prominently mentioned in the Programme for Development of Electronic Government in the Republic of Serbia for the period 2023 - 2025 with the Action Plan for its Implementation. Open data is part of the following sections: Special Goal 4, measures 4.1, 4.2, and 4.3. https://mduls.gov.rs/wp-content/uploads/Program-razvoja-elektronske-uprave-za-period-od-2023.-do-2025.-godine-sa-Akcionim-planom.pdf Additionaly, open data is prominently mentioned within the Strategy for the Development of Artificial Intelligence in the Republic of Serbia for the period 2020 - 2025. Open data is part of the following sections: 4.3, 4.3.2.1, 4.3.2.2, and 6.4.2 URL: https://www.srbija.gov.rs/tekst/en/149169/strategy-for-the-development-of-artificial-intelligence-in-the-republic-of-serbia-for-the-period-2020-2025.php;Confirm;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;The City of Priboj has mentioned open data in their Plan for Development of the Municipality of Priboj for 2022 - 2028, in the development direction 4 (4.1. Digitalization and establishing the open administration, 4.2. Improving data management, opening the data and implementing the Smart City solutions). URL: http://www.priboj.rs/docs/plan_razvoja_opstine_Priboj_2022-2028.pdf;Confirm;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"Within the Programme for Development of the Electronic Government in the Republic of Serbia for 2020 - 2022, and the specific goal 4, there are four measures to be implemented in the open data field: 1. Successful implementation of the Open Data legal framework; 2. Support to open data reuse; and 3. Introducing the ""Smart City"" concept.";Complement;Yes;"Within the Programme for Development of the Electronic Government in the Republic of Serbia for 2023 - 2025, and the specific goal 4, there are four measures to be implemented in the open data field: 1. Succesfull open data release 2. Successful implementation of the Open Data legal framework; 3. Support to open data reuse; and 4. Introducing the ""Smart City"" concept."
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";no;;Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Within the measure 4.2. Support to open data usage, one of the measurement units is ""Number of authorities supported for opening and/or reuse of open data"", with target value 62 by 2025 (baseline value was 28 in 2022)";Confirm;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Within the measure 4.2. Support to open data usage, one of the activities is ""Conducting trainings towards opening and reuse of data (for public, private and civil sector, academia and media)""";Confirm;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";no;;Confirm;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";no;;Confirm;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Not Applicable;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;Not Applicable
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;Governance structure includes Open Data Working Group (new mandate to be confirmed in Q3 2024), which contains members from the government, local self government, civil society, tech community, academia, media. Additionaly, Office for IT and eGovernment coordinates Open Data Hub, which includes relevant experts from tech, academia, government and other sectors of society.
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;Most of the decision-making process and open data ecosystem building goes by the bottom-up model, however in some cases a top-down model is more applicable, in order to produce more effective results (usually in cases of implementation of already agreed, planned, and publicly discussed measures/plans);Confirm;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;Both Office for IT and UNDP cooperate with multiple stakeholders to ensure support for local and regional open data initiatives. Open Data Portal has more than 50% of accounts opened by LSGs, in the past 7 years project suppported multiple events on the local level, and launched open data challenge focused on local open data. In April 2024 Office for IT and eGovernment gave expert suppport to the Regional Open Data Challenge, facilitated by UNDP and ReSPA. More info: https://www.ite.gov.rs/vest/sr/7467/regionalni-izazov-otvorenih-podataka-2024.php
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";approximately half of the public bodies;;Confirm;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";no;This answer is changed in light of the comment of the reviewer to the previous question. ;Change;Yes;The open data team is displayed in here: https://hub.data.gov.rs/en/community/ (our team) Open Data Hub is directly linked at the Open Data Portal: https://data.gov.rs/sr/
P18;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;Since the national open data team and the team maintaining the national open data portal are seated within the same institution - the Office for IT and eGovernment - there is a regular exchange ;Confirm;;
