ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Yes, there is a data strategy in Sweden since October 2021, and in chapter 4 about ""Styrning, reglering och uppföljning"" (in eng. governance, regulations, and follow-ups) the transposition of the open data directive into national law is specifically outlined as a strategically important area. 
LINK: https://www.regeringen.se/informationsmaterial/2021/10/data--en-underutnyttjad-resurs-for-sverige/

However, the actual investigation preseeding the national law was handled as a separate process, so the data strategy could be said to point to that work in a supportive manner, rather than investigation being a part of the data strategy. 
LINK to the government investigation: https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2020/09/sou-202055/

2022 (vi kan ta bort detta tycker jag):
Since 1th of August 2022, there is a new law in Sweden that fullfills the requirements layed out in the open data directive.
The government is proposing a new law on making data from the the public sector available. The amendments to the law are proposed to enter into force on 1 August 2022  (https://www.regeringen.se/rattsliga-dokument/proposition/2022/04/prop.-202122225/)  The Swedish Government outlined  a broader national digitalisation strategy already 2017 (https://www.regeringen.se/regeringens-politik/digitaliseringsstrategin/) how the digitization policy should contribute to competitiveness, full employment and economic, social and environmentally sustainable development. The strategy outlines the importance of public sector information and open data as a fuel for digital innovation and new services, improved efficiencies and for our democratic and transparent society in Sweden. The information produced or collected in the public sector is an asset that is common to state and municipal authorities and society in general. By refining, compiling and using information in other ways, different actors can create new commercial and non-profit services and thereby provide the conditions for society to take advantage of the value that the information can have when used for purposes other than the authorities' own activities. Operators who want to re-use public information should, as far as possible, access data. The Government believes that it should be as simple as possible for as many people as possible to assimilate the value of this information collection. Authorities should actively strive to enable efficient re-use of public information to facilitate the emergence of an information market.

To implement the  this strategy the Agency for Digital Government (DIGG) was established in September 2018 with the purpose to support digitalisation in public administration with infrastructure and shared digital services. DIGG are mandated to promote open and datadriven innovation, the re-use of public information. 

Efforts supporting the strategy
- DIGG is responsible for the national framework of Europeean Interoperability Framework (EIF) where ""open by default"" is one pillar, see q1. https://www.digg.se/utveckling-av-digital-forvaltning/svenskt-ramverk-for-digital-samverkan. 
- DIGG is responsible for the national open data portal and the open data strategy with guidelines and recommendations incl API strategy and access and quality of standardised basic data, methodological support and guidelines.";Complement;Yes;"Yes, there is a data strategy in Sweden since October 2021, and in chapter 4 about ""Styrning, reglering och uppföljning"" (in eng. governance, regulations, and follow-ups) the transposition of the open data directive into national law is specifically outlined as a strategically important area. 
LINK: https://www.regeringen.se/informationsmaterial/2021/10/data--en-underutnyttjad-resurs-for-sverige/ 
However, the actual investigation preseeding the national law was handled as a separate process, so the data strategy could be said to point to that work in a supportive manner, rather than investigation being a part of the data strategy. 
LINK to the government investigation ahead of the national law: https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2020/09/sou-202055/ 
LINK to the national law: https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/lag-2022818-om-den-offentliga-sektorns_sfs-2022-818/"
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"Yes, the national data strategy is called (translated to english) ""Data - an underutilized resource for Sweden: A strategy for increased access to data for e.g. artificial intelligence and digital innovation.

Following the digitalization strategy from 2017  (https://www.regeringen.se/regeringens-politik/digitaliseringsstrategin/) there was a national data strategy published 2021 to increase the amount of data being published and used for innovation, AI-analyses etc. The aim of the data strategy is  strengthening welfare, competitiveness and a sustainable society. The strategy contains goals with timelines as: 1) All state administrative authorities that can streamline operations and simplify for companies and citizens with the help of shared data, AI and data-driven analysis must have started this work by 2025 at the latest. 2) Publicly funded research data must, where appropriate, be open and accessible by 2026 and 3)  Swedish companies should be leading players in the internal market for data in 2030. 
LINK: https://www.regeringen.se/informationsmaterial/2021/10/data--en-underutnyttjad-resurs-for-sverige/";Complement;Yes;"Yes, the national data strategy is called (translated to english) ""Data - an underutilized resource for Sweden: A strategy for increased access to data for e.g., artificial intelligence and digital innovation.
Following the digitalization strategy from 2017 there was a national data strategy published 2021 to increase the amount of data being published and used for innovation, AI-analyses etc. The aim of the data strategy is strengthening welfare, competitiveness and a sustainable society. The strategy contains goals with timelines as: 1) All state administrative authorities that can streamline operations and simplify for companies and citizens with the help of shared data, AI and data-driven analysis must have started this work by 2025 at the latest. 2) Publicly funded research data must, where appropriate, be open and accessible by 2026 and 3) Swedish companies should be leading players in the internal market for data in 2030. 
LINK: https://www.regeringen.se/informationsmaterial/2021/10/data--en-underutnyttjad-resurs-for-sverige/"
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"Yes, there are also other open data policies, for example the following:

# The Swedish Environmental Protection Agency has a policy for ""smart environmental  information"" that includes strategies  for open data, see: https://www.naturvardsverket.se/om-miljoarbetet/smart-miljoinformation/strategi-for-miljodatahantering

# The Land Survey agency is responsible for a strategy about geografical data which includes strategies for open data: https://www.lantmateriet.se/sv/webb/nationell-geodatastrategi/

# The Sundsvall municipality has a digitalisation strategy that includes sections for open data and data as a strategic resource: https://utveckling.sundsvall.se/malbild-och-strategi/strategiska-omraden-for-att-lyckas-med-digitalisering

# The Region Västra Götaland has a regional development strategy, and in the focal area ""Digitalisation"" (page 18), the importance of access to digital information that can be used freely is highlighted: https://www.vgregion.se/regional-utveckling/regional-utvecklingsstrategi/regional-utvecklingsstrategi/";Confirm;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"Yes, the national datastrategy outlines six strategic areas, and in each strategic area there are a number of strategic efforts/action plan described. The national datastrategy has goals including the open data field for 2023-2025. These can be for example specific goverment assignments or other types of actions and described goals. In particular the following strategic sections are related to open data: ""Insatsområde 1: Ökad tillgång till data"" (in eng. Increased access to data), ""Insatsområde 2: Öppen och kontrollerad datadelning"" (in eng. Open and controlled data sharing), ""Insatsområde 3: Samverkan och kultur (in eng. Cooperation and culture), and ""Insatsområde 4: Styrning, reglering och uppföljning"" (in eng. Governance, regulations and follow-up).

There are also policy documents from the Agency for Digital Government for example: https://www.digg.se/kunskap-och-stod/oppna-och-delade-data/offentliga-aktorer/nationella-principer-for-att-tillgangliggora-information.";Confirm;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";No;UPDATED ANSWER:The values of dynamic data  and real time data are described in the datastrategy and the strategy outlines that the Agency for digital government shall outline measures. But the Agency of digital government has not received a governmental mission to actually follow up on the strategy or to outline measures based on the strategy. ;Confirm;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;Yes, the national datastrategy states that metadata about datasets are to be shared through Sveriges dataportal which is shown on data.europa.eu.;Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"This is the goal of both the national strategy and the new datalaw implementing the Open data directive in Sweden. For example by increasing the amount of data. This will be measured in an annual  follow-up.There are also principles and guidelines from the Agency for Digital Government which include recommendations for increased interoperability etc which could be used for the follow-up, see:

# https://www.digg.se/kunskap-och-stod/oppna-och-delade-data/offentliga-aktorer/nationella-principer-for-att-tillgangliggora-information 
# https://www.digg.se/kunskap-och-stod/oppna-och-delade-data/offentliga-aktorer/vagledning-for-att-tillgangliggora-information ";Confirm;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"For example in the the goal for ""Increased access to data"" in the National data strategy:
Goal: Access to data shared openly or controlled to increase continuously.
In 2023, there must be shared data to meet prioritized societal challenges
as well as within a majority of data areas defined in the EU's data strategy.
The following areas are prioritized: priority societal challenges, European
common data areas, areas with identified valuable data sets
as well as areas where data is requested by e.g. business.";Complement;;The measures mentioned has not been followed up, see also P5.
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;Yes, but indirectly since the data strategy points out the new open data law as an important step for achieving increased data sharing and data use, and the requirements related to maintaining a data inventory is regulated in that law. The Agency for digital government (digg.se) is responsible for holding the national open data inventory via the national dataportal (dataportal.se).;Confirm;;
