ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The Slovenian Open Data Policy consists of a framework of the following:

-The provisions of the Access to Public Information Act that implements the EU Open Data Directive (last amended in Nov. 2022); http://pisrs.si/Pis.web/pregledPredpisa?id=ZAKO3336
- the Integrity and Prevention of Corruption Act that establishes the publication of all financial transactions from public sector bodies and their publication as Open Data on the National Open Data Portal, Art. 75b, Para 13-The respective Decree – that explicitly defines the metadata for publishing the databases; http://www.pisrs.si/Pis.web/pregledPredpisa?id=URED6941#
-The national Open Data Portal, established in 2016; https://podatki.gov.si/-The central roles of the Ministry of Public Administration – MPA (in charge of legislation) and the Ministry for Digital Transformation (MDT) that is running the national open data portal (main editors of the portal are from both ministries) and the network of editors at the other state bodies;
- The Open Data of the Public Sector – the Strategic Working Plan for 2022-2023:
https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strateški%20delovni%20načrt%202022%202023_0.pdf 
-the Decree on the provision and re-use of public information (last amended in November 2022), including the Annexes:
http://www.pisrs.si/Pis.web/pregledPredpisa?id=URED6941 
-The educational activities of the Administrative academy of the MPA;
-The Manual for opening of the PSI which promotes the use of the CC 4.0 licence; https://podatki.gov.si/posredovanje-podatkov
-the Study on the state of digitalised databases in the field of Culture, 2017 (Analiza stanja) ; https://podatki.gov.si/knjiznica/dodatna-gradiva
-all the various regular activities for the promotion of the Open Data and Portal OPSI



-	In March 2023, the Government adopted the national strategy in the field of digital transfromation – entitled »Digitalna Slovenija 2030« -  hereinafter: Digital (Transformation) Strategy 2030 (March 2023)that contains a special section on Digital Data Economy, including Open Data (Chapter 4: POT V PAMETNO DRUŽBO 5.0; 4.1 Podatki v korist družbe): https://www.gov.si/assets/ministrstva/MDP/Dokumenti/DSI2030-potrjena-na-Vladi-RS_marec-2023.pdf (see below).
-	
-	In Dec. 2022, the Government adopted also the Strategy of digital Public Services  which includes chapter IV. on »trusted Data Management« and refers to the Open Data regulation:
-	»We will establish a common framework of processes, rules, relations and standards for responsible data management, based on the European Data Strategy, to ensure data quality, transparency, availability, connectivity, security and legality. In cooperation with stakeholders, we will establish interoperable public administration data spaces (including in compliance with the General Data Protection Regulation (GDPR), the Data Governance Act and the Open Data and Re-use of Public Sector Information Directive, following the INSPIRE Directive and other EU and international guidelines.«
-	https://nio.gov.si/nio/asset/strategija+digitalnih+javnih+storitev
-	 (available in English, see page 26) 
-	
-	Also, in 2021, the Government adopted the National Programme for the promotion of development and use of Artificial Intelligence (2025), which recognizes Open Data and National Open Data Portal as important elements/infrastructure in the process.

According to the Access to Public Information Act, which transposes the EU Open Data Directive, (Article 10.b) – the open Data policy – obligations of the public sector bodies are as follows:
Article 10.b – Slovenian Access to Public Information Act
(1) The public sector bodies should allow re-use of public sector information by publication on the World Wide Web by publishing in open formats and in machine-readable form, together with metadata, except where this would involve disproportionate effort, going beyond a simple operation.
(2) The authorities should publish at the national open data portal a list of all databases within its competence with the relevant metadata and databases as such in the form of open data or links to websites where these are published as open data.
(3) Anyone may re-use the data published on the national open data portal, free of charge, under the conditions that:
-         Re-use of data is carried out in accordance with the law governing the protection of personal data and
-         At each re-use the user provides the source of data.

2022 amendments to the Access to Public Information Act implemented the part of the Open Data Directive on High Value Datasets.

Regarding the field of Open Science - st the end of March 2022, the National Assembly of the Republic of Slovenia adopted the Resolution on the Slovenian Scientific Research and Innovation Strategy 2030 which was published in the Official Gazette of the Republic of Slovenia in April 2022. This is a key Slovenian strategic document for research and innovation until 2030 and is based on the Article 10 of the new Scientific Research and Innovation Activities Act, which introduces Open Science as an important integral part of the scientific research. In the context of the horizontal objectives under Item 6.2., the Strategy defines six key measures in the field of Open Science, as follows:
1. Effective management and financing of the development of the national Open Science ecosystem and related national structures and infrastructures, ensuring their international alignment as well as integration into international associations and infrastructures.
2. Introduction of modern approaches to the evaluation of scientific research activity in accordance with Open Science principles to increase the quality and impact of research (e.g., DORA - San Francisco Declaration on Research Assessment, Leiden Manifesto for Research Metrics, ERAC - European Research Area and Innovation Committee Guidelines).
3. Ensuring that the results of scientific research comply with the FAIR principles (Findable, Accessible, Interoperable, and Reusable), and that full and immediate open access is provided (subject to legitimate exceptions).
4. Establishment of a National Open Science Community for the introduction and monitoring of Open Science in Slovenia, as well as its integration into ERA and beyond.
5. Promoting the development of citizen science and public involvement in scientific research.
6. Promoting the development of a national scientific publishing system to operate according to the principles of Open Science.
These measures, which are recognised as essential for the development of Open Science in Slovenia, will be the  basis for the Action Plan on Open Science, which is in the process of preparation. 
-	
Slovenian Government adopted (April 2015) a Strategy on development of public administration 2015-2020. The strategy had a special section devoted to transparency, re-use and open data (Chapter 6.4.1). On the basis of this Strategy, the Action plan of the Slovenian Government 2018-2019 provided for the following fundamental commitments  in this field, which continue to be followed by the public sector bodies - open data publishers:
oGreat emphasis has been put on the online publication of public sector open data, i.e. data in open, machine-readable formats, which enables anyone: citizens, non-governmental organisations, media, etc to further reuse them.
oGood practice in the reuse of public sector data shows that applications with significant added value may be created on the basis of raw public data.
•Therefore, it must be ensured that bodies will open their data for re-use, especially through the Slovenian open data portal – Portal OPSI 
•In accordance with the transposition of the Open Data Directive, additional activities have been anticipated in this field (legal framework, hackathons, data challenges, consultations, guidelines, up-date of the open data portal etc).
•Regarding databases of the public sector, special attention has been paid to the provision of transparency in terms of what sort of databases have been managed by public administration bodies (clear metadata), and of better connectivity between those databases, in order to provide simple access of citizens and other public administration bodies to data.

Strategic Working Plan for Open Data 2022-2023 includes the following measures (some of which have already been concluded), inter alia:
• preparing a list of high value data sets - HVDs
• amendments to the Act on Access to Public Information
• Preparation of the first amendments to the Decreeon transmission and reuse of public information
• Preparation of a list of high-value databases (based on the implementing Act of the European Commission of Dec. 2022) and preparation of the second amendment to the Decreeon transmission and reuse of public information
• International cooperation in the field of open data
• Establishment of a single information point in accordance with Article 8 of the EU Data Governance Act (DGA)
• Participation in the preparation of the new Strategy for the Development of Digital Services in Public Administration and the Development Strategy of Slovenia 2030
• Adding more datasets from the museums, public undertaking, municipalities and local governments to the national portal
• Implementation of open data training for civil servants at the Administrative Academy of the Ministry of Public Administration
• Improve the quality, quantity and scope of open data and associated metadata (applies to data providers (editors at authorities)).
• Improve the quality and range of services provided through the OPSI portal
o Stylistic redesign of the portal (renewal of menus and front page)
o Additional functionalities to help the work of content and chief editors (suggest a correction, a new collection - addition of functionality, notifications to users, etc.)
• Establishment of the OPSI API module
• Establishment of the OPSI LAB module
• Revision of the Manual for opening of public sector data (December 2023)
• Establishment of a fund to promote the reuse of open data, which will be a tool for improving the accessibility and use of data on the national open data portal. Financial support will be intended for the following contents:
o Open data awareness
o Reuse of government open data from various fields(environment, society, ...)
o Increasing the efficiency of public services
o Projects, studies on the benefits of open data
o Projects, studies on the effects of open data from an environmental, social, political or economic impact

• Cooperation with all interested stakeholders - promotion and encouragement of re-use of open data within the EZOP and OPSI HUB (see EZOP and OPSI HUB chapters):
o Organization of various events (conferences, workshops, hackathons, trainings and other activities) in which all stakeholders will participate;
o Other activities related to the opening, reuse and promotion of open data.

Link to the 2022-2023 working plan: https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strate%C5%A1ki%20delovni%20na%C4%8Drt%202022%202023_0.pdf";Confirm;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"It is included in the 

Digital (Transformation) Strategy 2030 adopted by the Government of Slovenia in March 2023; the Strategy includes a special section on Digital Data Economy including Open Data (Chapter 4: POT V PAMETNO DRUŽBO 5.0; 4.1 Podatki v korist družbe 
: https://www.gov.si/assets/ministrstva/MDP/Dokumenti/DSI2030-potrjena-na-Vladi-RS_marec-2023.pdf and Strategic Working Plan for Open Data 2022-2023

- The Digital (TRansformation) Strategy 2030 (March 2023) defines data as a strategic raw material and driver of a smart society 5.0 and emphasizes that it is extremely important to provide up-to-date, timely and comprehensive data. It emphasizes the importance of high-value data from six thematic areas: geospatial data; observing the Earth and the environment; meteorological data; statistics; businesses and business ownership; mobility. The aim of the data strategy is to facilitate the sharing of data and thereby accelerate the use of data, including open data.
-The aim is to establish a dynamic data ecosystem, with data standards and tools, in which data providers, data analysts and application developers who, in cooperation and partnership, will be able to develop data applications that will offer smart digital services as responses to social challenges. 
-The data ecosystem which will be founded upon the national open data portal will thus represent the basis of innovation and entrepreneurship.
-In this way, the 2030 Strategy follows one of the goals of the European Data Strategy, which aims to establish a single data space in the European Union, which will consist of different substantive data spaces.

-	In Dec. 2022, the Government adopted also the Strategy of digital Public Services  which includes chapter IV. on »trusted Data Management« and refers to the Open Data regulation:
-	»We will establish a common framework of processes, rules, relations and standards for responsible data management, based on the European Data Strategy, to ensure data quality, transparency, availability, connectivity, security and legality. In cooperation with stakeholders, we will establish interoperable public administration data spaces (including in compliance with the General Data Protection Regulation (GDPR), the Data Governance Act (DGA) and the Open Data and Re-use of Public Sector Information Directive (ODD), following the INSPIRE Directive and other EU and international guidelines.«
-	https://nio.gov.si/nio/asset/strategija+digitalnih+javnih+storitev
 (available in English)

Strategic Working Plan for Open Data 2022-2023 includes the following measures (some of which have already been concluded), inter alia:
• preparing a list of high value data sets - HVDs
• amendments to the Act on Access to Public Information
• Preparation of the first amendments to the Decreeon transmission and reuse of public information
• Preparation of a list of high-value databases (based on the implementing Act of the European Commission of Dec. 2022) and preparation of the second amendment to the Decreeon transmission and reuse of public information
• International cooperation in the field of open data
• Establishment of a single information point in accordance with Article 8 of the EU Data Governance Act (DGA)
• Participation in the preparation of the new Strategy for the Development of Digital Services in Public Administration and the Development Strategy of Slovenia 2030
• Adding more datasets from the museums, public undertaking, municipalities and local governments to the national portal
• Implementation of open data training for civil servants at the Administrative Academy of the Ministry of Public Administration
• Improve the quality, quantity and scope of open data and associated metadata (applies to data providers (editors at authorities)).
• Improve the quality and range of services provided through the OPSI portal
o Stylistic redesign of the portal (renewal of menus and front page)
o Additional functionalities to help the work of content and chief editors (suggest a correction, a new collection - addition of functionality, notifications to users, etc.)
• Establishment of the OPSI API module
• Establishment of the OPSI LAB module
• Revision of the Manual for opening of public sector data (December 2023)
• Establishment of a fund to promote the reuse of open data, which will be a tool for improving the accessibility and use of data on the national open data portal. Financial support will be intended for the following contents:
o Open data awareness
o Reuse of government open data from various fields(environment, society, ...)
o Increasing the efficiency of public services
o Projects, studies on the benefits of open data
o Projects, studies on the effects of open data from an environmental, social, political or economic impact

• Cooperation with all interested stakeholders - promotion and encouragement of re-use of open data within the EZOP and OPSI HUB (see EZOP and OPSI HUB chapters):
o Organization of various events (conferences, workshops, hackathons, trainings and other activities) in which all stakeholders will participate;
o Other activities related to the opening, reuse and promotion of open data.

Link to the 2022-2023 working plan: https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strate%C5%A1ki%20delovni%20na%C4%8Drt%202022%202023_0.pdf

In February 2023, a 4- year Programme of Government of Republic of Slovenia to strengthen integrity and transparency in Public Sector 2023-2026 was adopted. The Programme focuses on measures to strengthen the integrity of institutions, public employees, high officials, and other employees in the public sector, as well as measures to increase the transparency of operations in the public sector. 
The Programme includes the measure 3A.1c »TRANSPARENCY – PROMOTE PUBLIC DATA PUBLICATION IN OPEN FORMATS«. The purpose of the measures is to train civil servants and officials in government and ministries on the importance of data, its management and the value of opening up data in terms of transparency and its impact on the functioning of society. The final aim is to empower public officials and public servants to take into account the relevance of data for the wider benefit of society in the performance of their duties; 
Method of implementation: training in the framework of a specific training course at the Administrative Academy (ministry responsible for public administration);
Published at: https://www.gov.si/teme/integriteta/ (see below in English)";Confirm;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";not applicable;In Slovenia, we do not have regions, but due to the large number of municipalities (212) and small population in municipalities (https://sl.wikipedia.org/wiki/Seznam_ob%C4%8Din_v_Sloveniji ), this type of policy is prepared at the national level and coordinated with the local level. All state policies are coordinated with all stakeholders, including the local communities, during the process. Due to the specificity of the organization of local self-government and the lack of an intermediate management level in the form of regions (no regions), all policies for the area of open data are prepared at the national level. Legal obligations under the law in relation to Open Data (including the publication of open data at the national open data portal) as well as the commitment to implement the open data policy are equal for institutions at the national level as well as for municipalities. Thus, municipalities are equally bound as other public institutions.;Confirm;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"The Strategic Working Plan for Open Data 2022-2023 is an action plan and includes the following measures (some of which have already been concluded) in line with the 2030 Digital (Transformation) Strategy and other relevant programmes and strategies, inter alia:
• List of high value data set - HVD
• Preparation and adoption of the amendments to the Access to Public Information Act
• Preparation of the first amendment to the Decreeon the transmission and reuse of public information
• Preparation of a list of high-value databases (based on the implementing act of the European Commission) and preparation of the second amendment to the Decree on transmission and reuse of public information
• International cooperation in the field of open data
• Establishment of a single information point in accordance with Article 8 of the EU Data Governance Act (DGA)
• Participation in the preparation of the new Strategy for the Development of Digital Services in Public Administration and the Development Strategy of Slovenia 2030
• Adding more datasets from the museums, public undertaking, municipalities and local governments to the national portal
• Implementation of open data training for civil servants at the Administrative Academy of the Ministry of Public Administration
• Improve the quality, quantity and scope of open data and associated metadata (applies to data providers (editors at authorities)).
• Improve the quality and range of services provided through the OPSI portal
o Stylistic redesign of the portal (renewal of menus and front page)
o Additional functionalities to help the work of content and chief editors (suggest a correction, a new collection - addition of functionality, notifications to users, etc.)
• Establishment of the OPSI API module
• Revision of the Manual for opening public sector data (December 2023)
• Establishment of a fund to promote the reuse of open data, which will be a tool for improving the accessibility and use of data on the national open data portal. Financial support will be intended for the following contents:
o Open data awareness
o Reuse of government open data from various contents (environment, society, ...)
o Increasing the efficiency of public services
o Projects, studies on the benefits of open data
o Projects, studies on the effects of open data from an environmental, social, political or economic impact

• Cooperation with all interested stakeholders - promotion and encouragement of re-use of open data within the EZOP and OPSI HUB (see EZOP and OPSI HUB chapters):
o Organization of various events (conferences, workshops, hackathons, trainings and other activities) in which all stakeholders will participate;
o Other activities related to the opening, reuse and promotion of open data.

Link to the working plan:  https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strate%C5%A1ki%20delovni%20na%C4%8Drt%202022%202023_0.pdf

In February 2023, a Programme of Government of Republic of Slovenia to strengthen integrity and transparency in Public Sector 2023-2026 was adopted. The Programme focuses on measures to strengthen the integrity of institutions, public employees, high officials, and other employees in the public sector, as well as measures to increase the transparency of operations in the public sector. 
The Programme includes the measure 3A.1c »TRANSPARENCY – PROMOTE PUBLIC DATA PUBLICATION IN OPEN FORMATS«. The purpose of the measures is to train civil servants and officials in government and ministries on the importance of data, its management and the value of opening up data in terms of transparency and its impact on the functioning of society. The final aim is to empower public officials and public servants to take into account the relevance of data for the wider benefit of society in the performance of their duties; 
Method of implementation: training in the framework of a specific training course at the Administrative Academy (ministry responsible for public administration);
Published at: https://www.gov.si/teme/integriteta/ (see below in English)";Confirm;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Strategic Working Plan for Open Data 2022-2023 includes a measure - an IoT call for smart cities that will encourage local communities to establish a real-time data flow through IoT sensors. 
Also in line with the EU Directive, the national Law will be amended with an explicit obligations on providing real time data.
-  A proposal for further amendments to the Access to Public Information Act to implement the part of the Open Data Directive on High Value Datasets has been prepared and will be sent to the National Assembly in July. The draft law contains new Article 10.č which states that bodies that create or obtain dynamic data in the performance of public tasks shall enable their re-use immediately after they are collected and enable their mass transfer or transfer via application programming interfaces.                                                                                                                                                                             In addition, Strategic Working Plan for Open Data 2022-2023 includes the following measures inter alia:
• Establishment of the OPSI API module (access to the data via API)
• Improve the quality, quantity and scope of open data and associated metadata (applies to data providers (editors at authorities)).
• Improve the quality and range of services provided through the OPSI portal
• Establishment of a fund to promote the reuse of open data, which will be a tool for improving the accessibility and use of data on the national open data portal. Financial support will be intended for the following contents:
o Reuse of government open data from various contents (environment, society, ...)
o Increasing the efficiency of public services

Link to Strategic Working Plan for Open Data 2022-2023: https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strate%C5%A1ki%20delovni%20na%C4%8Drt%202022%202023_0.pdf";Confirm;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"The Strategic Working Plan for Open Data 2022-2023 includes harvesting from national open data portal to EU data portal.                                                                                                                                                                                                         ""The Strategic Working Plan for Open Data 2022-2023 includes harvesting from national open data portal to EU data portal.

Link to Strategic Working Plan for Open Data 2022-2023: https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strate%C5%A1ki%20delovni%20na%C4%8Drt%202022%202023_0.pdf""";Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Strategic Working Plan for Open Data 2022-2023 includes:
 
• Training on Open Data (for open data editors at the ministries) at the Administrative Academy of the MPA

According to the Slovenian Open Data policy the central role has been performed by the Ministry of Public Administration- MPA that runs the national Open Data portal, and at the same time has the central editorial role, meaning that it is the central point to keep the network of editors at various ministries and state bodies active. 
This has been done by regular e-mails on the novelties regarding the portal, by the educational activities regarding Open Data at the Administrative Academy of the MPA, bi-lateral meetings and annual meetings for all the editors (e.g. https://podatki.gov.si/content/delovno-sre%C4%8Danje-urednikov-portala-opsi )
The opening of PSI is promoted also on the basis of the Manual of Open Data (2016): https://podatki.gov.si/posredovanje-podatkov. 
The re-use of data within the public sector has been encouraged also by the Guidelines for Development of Applications (2020): https://nio.gov.si/nio/asset/smernice+mju+za+razvoj+informacijskih+resitev-768 ; these Guidelines contain a special section on Open Data (section 6.2) which emphasizes the importance of using Open Data when developing new applications in the public sector.
Support has been given also by the national open data portal editors to the local authorities who also publish data at the national open data portal in the form of workshops (e.g. a workshop on 8. March 2021, in relation to an IoT call for smart cities that will encourage local communities to establish a real-time data flow through IoT sensors):
https://skupnostobcin.si/tedenske-novice/tedenske-novice-sos-st-9-26-2-2021-5-3-2021/#post-38852
Upgrade of the national portal with the APIs will also support greater publication of open data by the public sector bodies for re-use. 
Support will in addition be provided also by the upgrades of the portal and preparation of IT Technical standards for open data for the wider public sector.                                                                                                                                                    In addition, Strategic Working Plan for Open Data 2022-2023 includes the following measures inter alia:
• Establishment of a fund to promote the reuse of open data, which will be a tool for improving the accessibility and use of data on the national open data portal. Financial support will be intended for the following contents:
o Open data awareness
o Reuse of government open data from various contents (environment, society, ...)
o Increasing the efficiency of public services
o Projects, studies on the benefits of open data
o Projects, studies on the effects of open data from an environmental, social, political or economic impact

• Cooperation with all interested stakeholders - promotion and encouragement of re-use of open data within the EZOP and OPSI HUB (see EZOP and OPSI HUB chapters):
o Organization of various events (conferences, workshops, hackathons, trainings and other activities) in which all stakeholders will participate;
o Other activities related to the opening, reuse and promotion of open data.

Link to Strategic Working Plan for Open Data 2022-2023: https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strate%C5%A1ki%20delovni%20na%C4%8Drt%202022%202023_0.pdf";Confirm;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The measures include actions supporting the reuse of open data by the public sector:
- Collaboration with the Chamber of Commerce of Slovenia in the form of the »Open Data Hub« (regular events, consultations with the actors from the private sector)
- Collaboration with the academia, Universities and students (Hackathons, presentations on Open Data to the students, preparation of the open data projects by the students)
- Collaboration with the civil society (NGOs etc)

The national Digital (TRansformation) Strategy 2030 (adopted by the Government in March 2023) specifically emphasises the importance of supporting re-use of open data by the private sector (page 29-last paragraph and 30-first paragraph):
»Based on the example of the public sector, the private sector should also be encouraged to open up and exchange data, where appropriate. In Slovenia, the first step in this direction was the establishment of the Open Data Hub of Slovenia (OPSI Hub), whose founders were Tehnološki Park Ljubljana d.o.o. and the Chamber of Commerce of Slovenia (ZIT), with the support of the Ministry of Public Administration. The OPSI portal represents a good basis on which private sector databases (the so-called data market, etc.) will be transparently presented and made available under different conditions (e.g. different licenses, SLAs). The goal is to facilitate the voluntary publication of data by companies and in this way accelerate the use of data as a raw material of the digital society«.

In 2019 the MPA started to work with the Chamber of Commerce of Slovenia and organised a first meeting on Open Data and Digital Economy: https://ikthm.gzs.si/Novice/ArticleId/70728/odprti-podatki-javnega-sektorja-in-digitalno-gospodarstvo. In March 2020 the MPA started a long-term collaboration with the Chamber of Commerce and founded together ""the Open Data Hub"", the goal of which is to promote use of open data by the companies: https://podatki.gov.si/content/ustanovitev-sti%C4%8Di%C5%A1%C4%8Da-za-odprte-podatke-slovenije. 
Also in May 2020, the MPA and the Open Data Hub organised an on-line conference: Open Data - accelerators of the economy: https://www.gov.si/novice/2020-05-07-konferenca-odprti-podatki-pospesevalci-digitalne-ekonomije/. The minister of public administration, Mr. Bostjan Koritnik opened the conference: https://www.gov.si/assets/ministrstva/MJU/Open-Data-nagovor-ministra-07052020.docx We intend to continue this collaboration. 

Hackathon on dementia with stakeholders from the private sector (22nd, 23rd Oct 2022)
https://transformation-lighthouse.com/hackathon-roche/en/main-page/

Also the following general activities are supporting the re-use by the private sector: 
• Promotion in media (press releases); 
• promotional videos: https://www.youtube.com/watch?v=WKfLZ7kk_t0&feature=youtu.be ;
• Promotion at the fairs (for various stakeholders, eg. Students, business etc)
• Common activities with the academia intended for students, start-ups (hackathons, data challenges etc)
• Consultations and promotion with businesses and the Chamber of Commerce;
• Consultations and promotion with the NGO’s
• Preparation and publication of videos promoting the Open data and the use of Open Data
 In addition, Strategic Working Plan for Open Data 2022-2023 includes the following measures inter alia:
• Establishment of a fund to promote the reuse of open data, which will be a tool for improving the accessibility and use of data on the national open data portal. Financial support will be intended for the following contents:
o Open data awareness
o Reuse of government open data from various contents (environment, society, ...)
o Increasing the efficiency of public services
o Projects, studies on the benefits of open data
o Projects, studies on the effects of open data from an environmental, social, political or economic impact

• Cooperation with all interested stakeholders - promotion and encouragement of re-use of open data within the EZOP and OPSI HUB (see EZOP and OPSI HUB chapters):
o Organization of various events (conferences, workshops, hackathons, trainings and other activities) in which all stakeholders will participate;
o Other activities related to the opening, reuse and promotion of open data.
• Prepare a tender for smart cities.

Link to Strategic Working Plan for Open Data 2022-2023: https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strate%C5%A1ki%20delovni%20na%C4%8Drt%202022%202023_0.pdf";Confirm;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"According to the Access to Public Information Act (Article 8), the public bodies must publish a so called Catalogue of Public Information (data inventory). The content of the Catalogue is determined by the respective by-law, the Decree on communication and re-use of public sector information (Article 2 of the Decree). In practice this information has been published at the OPSI portal; for example metadata on 47 datasets of the MPA are available here: https://podatki.gov.si/data/search?publisher=ministrstvo_za_javno_upravo&q=Ministrstvo+za+javno+upravo  The list of metadata has been prescribed in the Annex 1 of the Decree: http://www.pisrs.si/Pis.web/npb/2016-01-0994-p1.pdf";Confirm;;
