Tabelle 1
question_id;dimension;indicator;question;response_scoring;
P1;policy_dimension;policy_framework;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";{'yes': 40, 'no': 0, 'other': 40};
P2;policy_dimension;policy_framework;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";{'yes': 40, 'no': 0, 'not applicable': 40};
P3;policy_dimension;policy_framework;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";{'yes': 20, 'no': 0, 'not applicable': 20};
P4;policy_dimension;policy_framework;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";{'yes': 20, 'no': 0};
P5;policy_dimension;policy_framework;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";{'yes': 20, 'no': 0};
P6;policy_dimension;policy_framework;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";{'yes': 20, 'no': 0};
P7;policy_dimension;policy_framework;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";{'yes': 20, 'no': 0};
P8;policy_dimension;policy_framework;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";{'yes': 20, 'no': 0};
P9;policy_dimension;policy_framework;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";{'yes': 20, 'no': 0};
P10-a;policy_dimension;policy_framework;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";{'yes': 20, 'no': 0};
