key;value
D1;Dimension 1: Open Data Policy
D1.0;Info
D1.1;1.1 Policy framework
D1.2;1.2 Governance of open data
D1.3;1.3 Open data implementation
D2;Dimension 2: Open Data Portal 
D2.1;2.1 Portal features
D2.2;2.2 Portal usage
D2.3;2.3 Data provision
D2.4;2.4 Portal sustainability
D3;Dimension 3: Open Data Quality
D3.1;3.1 Currency and completeness
D3.2;3.2 Monitoring and measures
D3.3;3.3 DCAT-AP Compliance
D3.4;3.4 Deployment quality and linked data
D4;Dimension 4: Open Data Impact
D4.1;4.1. Strategic awareness
D4.2;4.2 Measuring reuse
D4.3;4.3 Created impact
D4.3a;4.3a Governmental impact
D4.3b;4.3b Social impact
D4.3c;4.3c Environmental impact
D4.3d;4.3d Economic impact
P0;"Please describe the highlights and key developments in your country in the past year related to the policy dimension. This information will be used for the factsheets as part of your country profile."
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data."
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc."
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe."
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan."
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures."
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures."
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how."
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures."
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures."
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify."
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify."
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised."
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model "
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country"
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why."
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why."
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. "
P18;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items)."
P19;"Does the governance model include the appointment of official roles in civil services that are dedicated to open data (e.g. open data officers)?

For Explanation:
* If yes, please describe how this task is fulfilled at public body level."
