ID;Weight;value1;score1;value2;score2;value3;score3;value4;score4;value5;score5;value6;score6
P1;40;yes;40;no;0;other;40;;;;;;
P2;40;yes;40;no;0;not applicable;40;;;;;;
P3;20;yes;20;no;0;not applicable;20;;;;;;
P4;20;yes;20;no;0;;;;;;;;
P5;20;yes;20;no;0;;;;;;;;
P6;20;yes;20;no;0;;;;;;;;
P7;20;yes;20;no;0;;;;;;;;
P8;20;yes;20;no;0;;;;;;;;
P9;20;yes;20;no;0;;;;;;;;
P10-a;20;yes;20;no;0;;;;;;;;
P10-b;20;yes;20;no;0;;;;;;;;
P11;40;yes;40;no;0;not applicable;40;;;;;;
P12;20;yes;20;no;0;not applicable;20;;;;;;
P13;40;yes;40;no;0;;;;;;;;
P14;0;top-down;0;bottom-up;0;hybrid;0;;;;;;
P15;20;yes;20;no;0;not applicable;20;;;;;;
P16;20;all public bodies;20;the majority of public bodies;15;approximately half of the public bodies;10;few public bodies;5;none of the public bodies;0;not applicable;20
P17;20;yes;20;no;0;;;;;;;;
P18;20;yes;20;no;0;;;;;;;;
P19;20;yes;20;no;0;;;;;;;;
P20;20;yes;20;no;0;;;;;;;;
P21;20;yes;20;no;0;;;;;;;;
P22;20;yes;20;no;0;;;;;;;;
P23;20;yes;20;no;0;i don't know;0;;;;;;
P24;20;yes;20;no;0;;;;;;;;
P25;20;yes;20;no;0;i don't know;0;;;;;;
P26-a;0;None;0;;;;;;;;;;
P26-b;0;yes;0;no;0;;;;;;;;
P27;20;yes;20;no;0;;;;;;;;
P28;20;yes;20;no;0;;;;;;;;
P29;20;yes, >9;20;yes, 6-9;15;yes, 3-5;10;yes, 1-2;5;no;0;;
PT1;20;yes;20;no;0;;;;;;;;
PT2;0;None;0;;;;;;;;;;
PT3;10;yes;10;no;0;;;;;;;;
PT4;10;yes;10;no;0;;;;;;;;
PT5;10;yes;10;no;0;;;;;;;;
PT6;10;yes;10;no;0;;;;;;;;
PT7;10;yes;10;no;0;;;;;;;;
PT8;10;yes;10;no;0;;;;;;;;
PT9;10;yes;10;no;0;;;;;;;;
PT10;10;yes;10;no;0;;;;;;;;
PT11;10;yes;10;no;0;;;;;;;;
PT12;10;yes;10;no;0;;;;;;;;
PT13;10;yes;10;no;0;;;;;;;;
PT14;10;yes;10;no;0;;;;;;;;
PT15;10;yes;10;no;0;;;;;;;;
PT16;10;yes;10;no;0;;;;;;;;
PT17;10;yes;10;no;0;;;;;;;;
PT18;10;yes;10;no;0;;;;;;;;
PT19;10;yes;10;no;0;;;;;;;;
PT20;10;yes;10;no;0;;;;;;;;
PT21;10;yes;10;no;0;;;;;;;;
PT22;20;yes;20;no;0;not applicable;20;;;;;;
PT23;20;yes;20;no;0;;;;;;;;
PT24;20;yes;20;no;0;;;;;;;;
PT25;20;yes;20;no;0;;;;;;;;
PT26;20;yes;20;no;0;;;;;;;;
PT27;20;yes;20;no;0;;;;;;;;
PT28;20;yes;20;no;0;;;;;;;;
PT29;20;yes;20;no;0;;;;;;;;
PT30;20;yes;20;no;0;;;;;;;;
PT31;20;yes;20;no;0;;;;;;;;
PT32;20;all public sector data providers;20;the majority of public sector data providers;15;approximately half of the public sector data providers;10;few public sector data providers;0;;;;
PT33;20;yes, or all public sector data providers already publish data;20;no;0;;;;;;;;
PT34;20;yes, or all public sector data providers already publish data;20;no;0;;;;;;;;
PT35;0;yes;0;no;0;;;;;;;;
PT36;20;yes;20;no;0;not applicable;20;;;;;;
PT37;20;all datasets;20;the majority of datasets;15;approximately half of the datasets;10;few datasets;5;none of the datasets;0;not applicable;20
PT38;0;yes;0;no;0;;;;;;;;
PT39;20;yes;20;no;0;;;;;;;;
PT40;20;yes;20;no;0;;;;;;;;
PT41;40;yes;40;no;0;;;;;;;;
PT42;20;yes;20;no;0;;;;;;;;
PT43;10;yes;10;no;0;;;;;;;;
PT44;20;yes;20;no;0;;;;;;;;
PT45;20;yes;20;no;0;;;;;;;;
Q1;20;yes;20;no;0;;;;;;;;
Q2;20;100 %;20;90-99%;18;70-89%;15;50-69%;10;30-49%;5;<30%;0
Q3;40;within one day;40;within one week;15;within one month;5;longer than one month or i don't know;0;;;;
Q4;20;yes;20;no;0;;;;;;;;
Q5;20;yes;20;no;0;not applicable;20;;;;;;
Q6;20;yes;20;no;0;not applicable;20;;;;;;
Q7;20;yes;20;no;0;;;;;;;;
Q8;20;yes;20;no;0;;;;;;;;
Q9;20;yes;20;no;0;;;;;;;;
Q10;20;yes;20;no;0;;;;;;;;
Q11;20;yes;20;no;0;;;;;;;;
Q12;20;>90%;20;71-90%;15;51-70%;10;31-50%;5;10-30%;2;<10%;0
Q13;20;1-4;20;5-10;5;>10;0;i don't know;0;;;;
Q14;20;yes;20;no;0;;;;;;;;
Q15;20;yes;20;no;0;;;;;;;;
Q16;25;>90%;25;71-90%;20;51-70%;15;31-50%;10;10-30%;5;<10%;0
