ID;Answer from 2024;Explanation from 2024;Confirm, change or complement answer/explanation from 2024;Provide updated answer (if applicable);Provide updated explanation (if applicable)
D1.1;;;;;
P1;yes;"Yes, there is an open data law at federal level. In July 2017, Section 12a of the E-Government Act (EGovG) entered into force (First Open Data Act), which for the first time created a legal basis for the mandatory provision of open administrative data by federal authorities. The Second Open Data Act, which entered into force in July 2021, further adapted the content of the existing obligations under Section 12a of the EGovG and extended them to the entire federal administration.

The Data Use Act (DNG) which also entered into force on 23 July 2021 aims to modernise and replace the Information Re-Use Act (IWG). In order to improve the usability of data, open data will need to be used in machine-readable formats. In addition, the DNG stimulates open data initiatives beyond the boundaries of the federal administration and establishes the principle of ‘open by default’ also for the use of data by the Länder, municipalities and public undertakings in the areas of water, transport and energy supply. The DNG also transposes EU Directive 2019/1024 (Open Data and Public Sector Information-Directive), which was recast in 2019.

Link sources:
(Second) Open Data Act: http://www.gesetze-im-internet.de/egovg/__12a.html
Data Use Act (DNG): http://www.gesetze-im-internet.de/dng/index.html";Confirm;;
P2;yes;"Link sources:
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.html

The Federal Government’s Open Data Strategy, adopted on 6 July 2021, provides a framework for action to improve the Federal Open Data Ecosystem. The Federal Government’s data strategy forms the overarching data policy framework for the Open Data Strategy. Over a period of five years, the Open Data Strategy covers three areas of action, with a total of 68 implementation measures taken by different federal ministries and authorities. The three strands of action include improving the provision of data and developing data infrastructures, increasing innovative, public-interest and responsible use of data, and promoting data literacy and a data culture to increase the quality and usability of data provided. The implementation of the Open Data Strategy is accompanied by continuous monitoring.";Confirm;;
P3;Yes;"Policies at regional level (examples):
Berlin (state)
Open Data is embedded in §13 E Government Law of Berlin (https://gesetze.berlin.de/perma?j=EGovG_BE_!_13);
In addition to the aforementioned Open Data law, an ordinance with detailed specifications was published: https://www.berlin.de/moderne-verwaltung/e-government/open-data/rvo.pdf?ts=1673410120;

Hanseatic City Hamburg (HH, state)
Transparency Act since 2012: https://transparenz.hamburg.de/gesetzestext-des-hmbtg-796514/

North Rhine-Westphalia (NRW, state)
Open Data Regulation (providing governmental data, §16a EGovG NRW): https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085
Open Data-Verordnung (an ordinance prescribing how data should be published): https://recht.nrw.de/lmi/owa/br_vbl_detail_text?anw_nr=6&vd_id=20121&ver=8&val=20121&sg=0&menu=0&vd_back=N 

Schleswig-Holstein (state)
Open Data Act (Offene-Daten-Gesetz, ODaG): https://www.gesetze-rechtsprechung.sh.juris.de/bssh/document/jlr-OpenDataGSHrahmen


Strategies at regional level (examples):
Berlin (state)
Berlin has published its Open Data strategy in 2023, which was developed in a wide participation form with the stakeholders from the economy, administration, science and civil community.
Download-Link: https://www.berlin.de/moderne-verwaltung/e-government/open-data/strategieprozess/artikel.1257333.php (at the bottom of the webpage)

North Rhine-Westphalia (NRW, state)
Open.NRW-Strategy: Part 1: https://open.nrw/system/files/media/document/file/opennrwt1web.pdf / Part 2: https://open.nrw/system/files/media/document/file/opennrwt2web.pdf

Rhineland-Palatinate (Rheinland-Pfalz, state)
As part of an open data policy see: https://www.landesrecht.rlp.de/bsrp/document/jlr-TranspGRPrahmen;
The law regulates that the information defined in a definite list in § 7 para. 1 and 2 LTranspG must be published proactively by the bodies subject to transparency obligations.

at local level:
A reference can be made also to the city of Braunschweig:
https://www.braunschweig.de/digitalisierung-online-services/open-data.php#:~:text=The%20city%20of%20Braunschweig%20has%20measured%20values%20from%20sensors%20";Confirm;;
P4;Yes;"The Open Data Act obliges the Federal Government to report regularly to the German Parliament (Bundestag) every two years on the progress made in implementing open data (Section 12a (11) of the EGovG), see: http://www.gesetze-im-internet.de/egovg/__12a.html.
A new progress report is currently under preparation and will be published in 2024.

The Open Data Strategy provides for various implementation measures, such as initiatives, projects and digital solutions. Parallel to this, a monitoring process has started in 2022 to document the implementation of individual measures, including through milestones and regular status reports.
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html;jsessionid=65E5C4C2408071FC3ABAB79141BF2AED.intranet251";Confirm;;
P5;yes;"Under Section 12a EGovG, all types of administrative data that do not relate to persons are covered by the obligation to provide open data by the federal administration (e.g. spatial data, statistics, static or dynamic data).

The Open Data Strategy of the government includes 68 measures among the dimensions data provision and infrastructures, data usage and data competences, building a  competitive and sustainable open data infrastructures and support ecosystem to enable the publication and access to real-time and dynamic data. (See the complete summary of measures as attachment).
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5 (from page 19 onwards)";Confirm;;
P6;No;"The Open Data Strategy contains at least some measures that involve civil society actors in the debate.
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5

Individual measures as an example:
- Make digital city oriented towards the common good through community data skills (BMSWB) (page 28)
""We support research projects aimed at identifying and increasing data literacy in local government. The aim is, among other things, to collect which strategies and infrastructures steer local data management and to what extent qualification measures are being implemented for administrative staff. It will also explore the provision of data to citizens and civil society actors.""
- Annual Round Table Open Data (BMI) (page 27)
""We promote the intensification and perpetuation of exchanges between the Federal Government and the Länder, involving representatives of civil society from relevant stakeholder groups.""";Confirm;;
P7;yes;With the legal obligation to place the metadata in the national metadata portal GovData (see § 12a(5) EGovG), these data are automatically made available or visible there due to the GovData interface with the European Data Portal.;Confirm;;
P8;yes;"The re-use of Data is especially supported by increasing the quality of data, which eases its re-use.

Furthermore, the Federal German government funds the re-use of Open Data by the C opernicus Project amount of total funding to be handed in in later progress.

The data strategy and also the open data strategy of the government outline that the state should become the frontrunner / leader in the field of data usage and provision. This includes increasing the provision of open data; data literacy and using the data for policy making (data driven government). The potential of data is increasingly being used for more efficient and citizen-friendly service. On top the implementation and evaluation of political measures through the use of open data will be 
improved. See the statements of the government in the data strategy here: https://www.bundesregierung.de/resource/blob/975226/1693626/60b196d5861f71cdefb9e254f5382a62/2019-11-18-pdf-datenstrategie-data.pdf?download=1";Confirm;;
P9;Yes;"There is a pan-European initiative of creating a cloud for data sharing between the public sector and the private sector. The national Open Data Portal (GovData) is included in that initiative bringing together open data and ""closed"" data: https://www.bmwk.de/Redaktion/DE/Dossier/gaia-x.html

In this context, a funding competition was launched in 2021 (duration until 12/2024) to submit ideas for applications, see: https://www.bmwk.de/Redaktion/DE/Dossier/Dateninfrastruktur-GAIA-X/gaia-x-foerderwettbewerb.html

Furthermore, the Federal Goverment's open data strategy specifies incentivising the usage of government data by the private sector (but no specific measures).";Confirm;;
